"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","1413d694eea1",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 04:12:09 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 04:12:09,0.094,0.086,99.682,0.137,0,111925.110,693767.262,423911424,14580731904,16519168,1413394432,6.541,15.188,
09-10 04:12:10,2.833,1.667,86.500,9,0,40960,44580864,462114816,14497759232,16547840,1457963008,0,0,
09-10 04:12:11,16.418,0.995,71.476,11.111,0,2367488,188416,463298560,14651576320,2064384,1319251968,0,0,
09-10 04:12:12,4.013,1.338,94.649,0,0,0,0,463695872,14651179008,2068480,1319247872,0,0,
09-10 04:12:13,14.430,4.530,80.537,0.503,0,12288,0,464048128,14650798080,2076672,1319251968,0,0,
09-10 04:12:14,14.141,4.545,81.313,0,0,0,0,464048128,14650798080,2076672,1319251968,0,0,
09-10 04:12:15,14.213,3.892,81.557,0.338,0,270336,0,463630336,14650814464,2478080,1319251968,0,0,
09-10 04:12:16,14.020,4.223,78.716,3.041,0,1118208,28672,463400960,14650052608,3473408,1319247872,0,0,
09-10 04:12:17,13.367,4.230,82.403,0,0,0,0,463650816,14649798656,3473408,1319251968,0,0,
09-10 04:12:18,14.118,3.866,82.017,0,0,0,0,463650816,14649798656,3473408,1319251968,0,0,
09-10 04:12:19,13.950,4.202,81.849,0,0,0,0,463650816,14649798656,3473408,1319251968,0,0,
09-10 04:12:20,13.659,4.216,82.125,0,0,0,0,463650816,14649798656,3473408,1319251968,0,0,
09-10 04:12:21,13.997,3.879,82.125,0,0,0,0,463650816,14649798656,3473408,1319251968,0,0,
09-10 04:12:22,13.903,4.355,81.742,0,0,0,0,463650816,14649798656,3473408,1319251968,0,0,
09-10 04:12:23,12.733,4.584,82.683,0,0,0,0,463777792,14649671680,3473408,1319251968,0,0,
09-10 04:12:24,12.860,4.569,82.572,0,0,0,0,463777792,14649671680,3473408,1319251968,0,0,
09-10 04:12:25,13.536,4.061,82.403,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:26,14.116,3.061,82.823,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:27,13.220,4.237,82.542,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:28,12.712,4.746,82.542,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:29,13.682,3.885,82.432,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:30,13.706,3.892,82.403,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:31,13.636,4.377,81.987,0,0,0,0,463904768,14649544704,3473408,1319251968,0,0,
09-10 04:12:32,14.118,4.034,81.849,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:33,13.782,4.202,82.017,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:34,13.109,5.042,81.849,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:35,12.963,5.051,81.987,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:36,13.176,4.392,82.432,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:37,13.659,4.216,82.125,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:38,13.367,4.230,82.403,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:39,13.682,3.885,82.432,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:40,13.322,4.553,82.125,0,0,0,0,464031744,14649417728,3473408,1319251968,0,0,
09-10 04:12:41,13.735,4.690,81.575,0,0,0,192512,463998976,14649450496,3473408,1319251968,0,0,
09-10 04:12:42,13.828,4.047,82.125,0,0,0,0,463998976,14649450496,3473408,1319251968,0,0,
09-10 04:12:43,12.941,5.042,82.017,0,0,0,0,463998976,14649450496,3473408,1319251968,0,0,
09-10 04:12:44,14.238,4.188,81.575,0,0,0,0,463998976,14649450496,3473408,1319251968,0,0,
09-10 04:12:45,12.542,4.915,82.542,0,0,0,0,463998976,14649450496,3473408,1319251968,0,0,
09-10 04:12:46,13.805,4.040,82.155,0,0,0,0,463998976,14649450496,3473408,1319251968,0,0,
