"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ba1d1b58b2ea",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 03:21:17 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 03:21:17,0.089,0.085,99.689,0.137,0,111738.193,693631.330,260579328,15468875776,344707072,272445440,6.542,15.195,
09-10 03:21:18,12.876,5.853,78.930,2.341,0,73728,17424384,309448704,15352311808,344772608,339873792,0,0,
09-10 03:21:19,19.088,5.574,65.203,10.135,0,4096,99581952,316063744,15297179648,345092096,387801088,0,0,
09-10 03:21:20,14.858,8.013,70.618,6.511,0,0,85913600,314425344,15297970176,345432064,388194304,0,0,
09-10 03:21:21,16.244,5.415,76.481,1.861,0,0,28053504,314273792,15291478016,345530368,394723328,0,0,
09-10 03:21:22,15.567,6.937,74.112,3.384,0,4096,50528256,314589184,15267536896,345731072,418095104,0,0,
09-10 03:21:23,18.430,6.314,65.358,9.898,0,4096,118075392,314667008,15225012224,346165248,459988992,0,0,
09-10 03:21:24,19.631,6.040,66.107,8.221,0,4096,144199680,314507264,15176486912,346726400,507961344,0,0,
09-10 03:21:25,18.197,5.782,71.259,4.762,0,0,101969920,312979456,15131250688,347258880,554024960,0,0,
09-10 03:21:26,18.089,6.485,70.478,4.949,0,4096,114397184,314359808,15076995072,347844608,606158848,0,0,
09-10 03:21:27,18.951,5.922,69.712,5.415,0,4096,120446976,313122816,15035834368,348430336,647811072,0,0,
09-10 03:21:28,17.918,6.314,70.137,5.631,0,4096,113930240,312856576,14982676480,348975104,700514304,0,0,
09-10 03:21:29,19.667,6.500,68.167,5.667,0,8192,124424192,314007552,14936690688,349614080,744570880,0,0,
09-10 03:21:30,18.060,7.023,71.070,3.846,0,4096,96579584,314470400,14889127936,350052352,791076864,0,0,
09-10 03:21:31,17.003,6.229,74.242,2.525,0,4096,48414720,315588608,14840811520,350367744,837894144,0,0,
09-10 03:21:32,18.013,6.061,72.727,3.199,0,4096,72310784,315629568,14791499776,350736384,886661120,0,0,
09-10 03:21:33,17.259,7.783,70.558,4.399,0,4096,127102976,315531264,14739038208,351178752,938627072,0,0,
09-10 03:21:34,19.120,6.091,69.882,4.907,0,8192,131702784,315310080,14689464320,351719424,987688960,0,0,
09-10 03:21:35,18.846,5.772,70.798,4.584,0,4096,124678144,315359232,14646013952,352206848,1030422528,0,0,
09-10 03:21:36,18.500,7.500,69.833,4.167,0,4096,124502016,316530688,14597091328,352604160,1077637120,0,0,
09-10 03:21:37,18.707,5.952,70.918,4.422,0,4096,122793984,315932672,14546108416,353087488,1128513536,0,0,
09-10 03:21:38,18.121,7.383,69.799,4.698,0,0,131874816,314851328,14497312768,353615872,1177673728,0,0,
09-10 03:21:39,18.814,6.102,70.847,4.237,0,0,122675200,315838464,14452330496,354107392,1221046272,0,0,
09-10 03:21:40,18.581,6.419,70.777,4.223,0,0,122011648,315797504,14402105344,354611200,1270689792,0,0,
09-10 03:21:41,18.305,6.780,70.847,4.068,0,4096,120332288,315027456,14350532608,355065856,1322426368,0,0,
09-10 03:21:42,17.311,8.067,70.252,4.370,0,8192,121831424,316022784,14309183488,355577856,1362059264,0,0,
09-10 03:21:43,19.088,6.250,70.270,4.392,0,4096,124510208,316006400,14258606080,356024320,1412030464,0,0,
09-10 03:21:44,18.928,6.868,69.682,4.523,0,4096,134311936,315027456,14208446464,356503552,1462546432,0,0,
09-10 03:21:45,19.934,3.654,60.299,16.113,0,2027520,16736256,316129280,15908806656,2138112,207597568,0,0,
09-10 03:21:46,1.165,0,98.170,0.666,0,659456,0,316481536,15907790848,2142208,208257024,0,0,
09-10 03:21:47,9.732,4.362,83.557,2.349,0,95358976,0,314957824,15813922816,2142208,303616000,0,0,
09-10 03:21:48,9.459,5.068,83.446,2.027,0,86896640,0,315039744,15726944256,2142208,390512640,0,0,
09-10 03:21:49,9.710,4.259,83.646,2.385,0,79949824,0,314957824,15647076352,2150400,470454272,0,0,
09-10 03:21:50,10.642,4.561,80.236,4.561,0,75137024,28672,315076608,15571779584,3416064,544366592,0,0,
09-10 03:21:51,10.888,4.690,82.747,1.675,0,65433600,0,314941440,15506513920,3416064,609767424,0,0,
