"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","68a1fd273992",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 05:52:54 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 05:52:54,0.105,0.090,99.668,0.137,0,111987.731,693183.515,264069120,14728237056,18960384,1415958528,6.543,15.174,
09-10 05:52:55,2.848,1.843,87.605,7.705,0,380928,44449792,303194112,14643875840,18980864,1460969472,0,0,
09-10 05:52:56,19.231,0.836,68.562,11.371,0,2334720,217088,303611904,14810206208,2072576,1320067072,0,0,
09-10 05:52:57,0.669,0.167,99.164,0,0,0,0,303865856,14809935872,2072576,1320067072,0,0,
09-10 05:52:58,15.294,4.034,80.672,0,0,0,0,304119808,14809681920,2072576,1320067072,0,0,
09-10 05:52:59,14.430,5.034,80.537,0,0,0,0,304119808,14809681920,2072576,1320067072,0,0,
09-10 05:53:00,14.573,4.858,77.219,3.350,0,1249280,0,303996928,14808555520,3321856,1320067072,0,0,
09-10 05:53:01,13.997,4.047,79.258,2.698,0,974848,24576,303894528,14807683072,4308992,1320054784,0,0,
09-10 05:53:02,14.214,4.348,80.936,0.502,0,4096,4096,303882240,14807683072,4308992,1320067072,0,0,
09-10 05:53:03,13.828,4.047,82.125,0,0,0,0,303882240,14807683072,4308992,1320067072,0,0,
09-10 05:53:04,13.636,4.714,81.481,0.168,0,135168,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:05,13.029,4.569,82.403,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:06,13.230,3.093,83.677,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:07,14.118,4.034,81.849,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:08,13.729,3.559,82.712,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:09,12.969,3.925,83.106,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:10,14.261,3.056,82.683,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:11,13.468,4.545,81.987,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:12,12.799,4.096,83.106,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:13,13.118,3.918,82.964,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:14,13.413,3.735,82.852,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:15,14.696,3.041,82.264,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:16,13.243,4.075,82.683,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:17,13.922,3.396,82.683,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:18,14.310,3.704,81.987,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:19,14.430,3.691,81.879,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:20,13.605,3.741,82.653,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:21,13.288,3.748,82.964,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:22,13.729,3.729,82.542,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:23,13.435,3.741,82.823,0,0,0,0,304128000,14807302144,4444160,1320067072,0,0,
09-10 05:53:24,14.382,3.215,82.403,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:25,13.880,4.682,81.438,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:26,13.926,4.362,81.711,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:27,13.559,3.898,82.542,0,0,0,192512,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:28,13.682,4.054,82.264,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:29,12.947,4.089,82.964,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:30,13.559,3.898,82.542,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:31,13.367,4.230,82.403,0,0,0,0,304001024,14807429120,4444160,1320067072,0,0,
09-10 05:53:32,14.646,3.367,81.650,0.337,0,0,24576,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:33,13.243,4.075,82.683,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:34,13.007,4.730,82.264,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:35,13.445,4.706,81.849,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:36,13.682,4.054,82.264,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:37,13.322,4.553,82.125,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:38,13.233,5.193,81.575,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:39,13.390,4.068,82.542,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:40,13.536,4.061,82.403,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:41,13.898,3.559,82.542,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:42,13.288,3.748,82.964,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:43,14.165,3.710,82.125,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:44,13.659,4.216,82.125,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:45,13.950,4.202,81.849,0,0,0,0,303992832,14807429120,4452352,1320067072,0,0,
09-10 05:53:46,13.445,4.706,81.513,0.336,0,4096,0,303988736,14807429120,4452352,1320071168,0,0,
09-10 05:53:47,14.478,4.209,81.313,0,0,0,0,303988736,14807429120,4452352,1320071168,0,0,
09-10 05:53:48,13.140,3.754,83.106,0,0,0,0,303988736,14807429120,4452352,1320071168,0,0,
09-10 05:53:49,13.345,4.392,82.264,0,0,0,0,303988736,14807429120,4452352,1320071168,0,0,
09-10 05:53:50,13.514,4.223,82.264,0,0,0,0,303988736,14807429120,4452352,1320071168,0,0,
09-10 05:53:51,13.851,4.054,81.926,0.169,0,0,12288,303988736,14807429120,4460544,1320062976,0,0,
09-10 05:53:52,13.007,4.730,82.264,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:53,13.903,4.523,81.575,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:54,13.243,4.075,82.683,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:55,13.636,4.377,81.987,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:56,13.805,4.209,81.987,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:57,13.029,4.569,82.403,0,0,0,8192,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:58,13.591,4.698,81.711,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:53:59,13.243,4.075,82.683,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:54:00,13.491,4.384,82.125,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:54:01,14.070,4.355,81.575,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:54:02,13.468,4.545,81.987,0,0,0,0,303980544,14807429120,4460544,1320071168,0,0,
09-10 05:54:03,13.636,4.209,81.650,0.505,0,0,12288,303980544,14807429120,4468736,1320062976,0,0,
09-10 05:54:04,12.650,4.103,83.248,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:05,13.805,4.209,81.987,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:06,13.875,3.723,82.403,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:07,13.367,4.399,82.234,0,0,0,16384,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:08,13.559,3.898,82.542,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:09,13.636,4.377,81.987,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:10,14.286,3.866,81.849,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:11,13.481,3.413,83.106,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:12,14.430,3.859,81.711,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:13,12.925,4.252,82.823,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:14,12.947,4.089,82.964,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:15,12.733,4.584,82.683,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:16,13.729,3.559,82.712,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:17,12.712,4.746,82.542,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:18,13.220,4.237,82.542,0,0,0,4096,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:19,12.564,4.754,82.683,0,0,0,0,303972352,14807429120,4468736,1320071168,0,0,
09-10 05:54:20,13.345,4.730,80.912,1.014,0,655360,0,303939584,14806794240,5128192,1320079360,0,0,
09-10 05:54:21,13.095,4.082,82.823,0,0,0,0,303939584,14806794240,5128192,1320079360,0,0,
09-10 05:54:22,13.805,4.040,82.155,0,0,0,0,303939584,14806794240,5128192,1320079360,0,0,
09-10 05:54:23,13.682,4.054,81.926,0.338,0,0,20480,303939584,14806794240,5136384,1320071168,0,0,
09-10 05:54:24,13.243,4.075,82.683,0,0,0,0,304058368,14806667264,5136384,1320079360,0,0,
09-10 05:54:25,13.413,3.905,82.513,0.170,0,0,12288,304058368,14806667264,5144576,1320071168,0,0,
09-10 05:54:26,12.881,4.576,82.542,0,0,0,0,304050176,14806667264,5144576,1320079360,0,0,
09-10 05:54:27,12.648,5.228,82.125,0,0,0,0,304050176,14806667264,5144576,1320079360,0,0,
09-10 05:54:28,13.220,4.068,82.712,0,0,0,8192,304050176,14806667264,5144576,1320079360,0,0,
09-10 05:54:29,13.367,4.230,82.403,0,0,0,0,304050176,14806667264,5144576,1320079360,0,0,
09-10 05:54:30,12.795,5.219,81.987,0,0,0,0,304050176,14806667264,5144576,1320079360,0,0,
09-10 05:54:31,12.821,3.932,83.248,0,0,0,0,304050176,14806667264,5144576,1320079360,0,0,
