"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","eec0b3cd90aa",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 05:02:34 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 05:02:34,0.100,0.088,99.675,0.137,0,111942.655,693472.642,263708672,14740279296,16539648,1414459392,6.540,15.181,
09-10 05:02:35,3.512,2.341,87.124,7.023,0,344064,40660992,302620672,14656270336,16551936,1459314688,0,0,
09-10 05:02:36,19.167,0.667,66.833,13.333,0,2220032,3645440,302460928,14812073984,2031616,1319645184,0,0,
09-10 05:02:37,0.166,0,99.834,0,0,167936,0,302755840,14811693056,2031616,1319731200,0,0,
09-10 05:02:38,11.885,4.754,83.362,0,0,0,0,303116288,14811353088,2031616,1319907328,0,0,
09-10 05:02:39,13.007,3.885,83.108,0,0,0,0,303116288,14811353088,2031616,1319907328,0,0,
09-10 05:02:40,12.563,5.360,79.732,2.345,0,1249280,0,303136768,14810083328,3280896,1319907328,0,0,
09-10 05:02:41,11.824,4.561,83.108,0.507,0,4096,28672,303124480,14810083328,3293184,1319907328,0,0,
09-10 05:02:42,12.521,3.553,83.926,0,0,0,0,303124480,14810083328,3293184,1319907328,0,0,
09-10 05:02:43,12.373,3.559,84.068,0,0,0,0,303124480,14810083328,3293184,1319907328,0,0,
09-10 05:02:44,12.669,3.547,83.446,0.338,0,135168,0,303116288,14809956352,3428352,1319907328,0,0,
09-10 05:02:45,12.101,4.538,83.361,0,0,0,0,303243264,14809829376,3428352,1319907328,0,0,
09-10 05:02:46,11.525,4.407,84.068,0,0,0,0,303243264,14809829376,3428352,1319907328,0,0,
09-10 05:02:47,12.876,4.013,83.110,0,0,0,0,303243264,14809829376,3428352,1319907328,0,0,
09-10 05:02:48,12.669,3.547,83.784,0,0,0,0,303243264,14809829376,3428352,1319907328,0,0,
09-10 05:02:49,12.167,5,82.833,0,0,0,0,303243264,14809829376,3428352,1319907328,0,0,
09-10 05:02:50,13.689,3.673,82.638,0,0,0,0,303370240,14809702400,3428352,1319907328,0,0,
09-10 05:02:51,12.228,4.690,83.082,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:52,11.913,4.866,83.221,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:53,12.034,3.729,84.237,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:54,11.864,4.068,84.068,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:55,12.354,4.841,82.805,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:56,12.060,4.858,83.082,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:57,13.065,3.685,83.250,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:58,12.101,4.538,83.361,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:02:59,12.121,4.377,83.502,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:03:00,12.626,3.704,83.670,0,0,0,0,303497216,14809575424,3428352,1319907328,0,0,
09-10 05:03:01,12.436,3.407,82.283,1.874,0,970752,0,303415296,14808686592,4399104,1319907328,0,0,
09-10 05:03:02,12.081,4.698,83.221,0,0,0,0,303415296,14808686592,4399104,1319907328,0,0,
09-10 05:03:03,12.142,4.047,83.811,0,0,0,0,303415296,14808686592,4399104,1319907328,0,0,
09-10 05:03:04,11.804,4.553,83.642,0,0,0,0,303415296,14808686592,4399104,1319907328,0,0,
09-10 05:03:05,11.925,3.578,84.497,0,0,0,0,303415296,14808686592,4399104,1319907328,0,0,
09-10 05:03:06,11.577,5.201,83.221,0,0,0,0,303415296,14808686592,4399104,1319907328,0,0,
09-10 05:03:07,12.034,3.898,84.068,0,0,0,192512,303448064,14808653824,4399104,1319907328,0,0,
09-10 05:03:08,11.925,3.578,84.497,0,0,0,0,303448064,14808653824,4399104,1319907328,0,0,
09-10 05:03:09,12.060,4.690,83.250,0,0,0,0,303448064,14808653824,4399104,1319907328,0,0,
09-10 05:03:10,12.158,2.911,84.932,0,0,0,0,303448064,14808653824,4399104,1319907328,0,0,
09-10 05:03:11,12.269,4.370,83.361,0,0,0,0,303448064,14808653824,4399104,1319907328,0,0,
09-10 05:03:12,12.648,3.710,83.305,0.337,0,0,24576,303443968,14808653824,4407296,1319903232,0,0,
09-10 05:03:13,11.242,5.369,83.389,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:14,11.279,5.219,83.502,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:15,12.458,4.040,83.502,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:16,12.985,3.373,83.642,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:17,13.087,3.523,83.389,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:18,11.675,4.399,83.926,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:19,11.616,4.714,83.670,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:20,12.626,4.040,83.333,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:21,11.715,3.905,84.380,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:22,11.844,4.230,83.926,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:23,12.919,3.859,83.221,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:24,11.933,4.538,83.529,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:25,11.565,4.082,84.354,0,0,0,0,303439872,14808653824,4407296,1319907328,0,0,
09-10 05:03:26,12.795,3.704,83.333,0.168,0,4096,0,303435776,14808653824,4407296,1319911424,0,0,
09-10 05:03:27,11.655,4.561,83.784,0,0,0,0,303435776,14808653824,4407296,1319911424,0,0,
09-10 05:03:28,11.298,4.890,83.811,0,0,0,0,303435776,14808653824,4407296,1319911424,0,0,
09-10 05:03:29,12.310,4.047,83.642,0,0,0,0,303435776,14808653824,4407296,1319911424,0,0,
09-10 05:03:30,12.898,4.020,83.082,0,0,0,0,303435776,14808653824,4407296,1319911424,0,0,
09-10 05:03:31,11.993,4.223,83.277,0.507,0,0,12288,303431680,14808653824,4415488,1319907328,0,0,
09-10 05:03:32,12.395,4.523,83.082,0,0,0,0,303427584,14808653824,4415488,1319911424,0,0,
09-10 05:03:33,11.655,4.392,83.953,0,0,0,0,303427584,14808653824,4415488,1319911424,0,0,
