"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","09c571c0c925",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 02:30:38 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 02:30:38,0.083,0.082,99.702,0.133,0,111272.848,666922.843,260980736,15341858816,455876608,272572416,6.540,15.202,
09-10 02:30:39,2.676,2.676,89.298,5.351,0,847872,44453888,300027904,15257042944,455901184,318095360,0,0,
09-10 02:30:40,20.266,0.997,67.774,10.963,0,2166784,204800,300269568,15965900800,2064384,173879296,0,0,
09-10 02:30:41,1,0,99,0,0,167936,0,300838912,15965155328,2064384,174055424,0,0,
09-10 02:30:42,12.777,5.792,80.920,0.511,0,155648,4300800,305704960,15954853888,2224128,179314688,0,0,
09-10 02:30:43,16.054,6.522,76.254,1.171,0,0,17281024,308391936,15932686336,2289664,198742016,0,0,
09-10 02:30:44,17.905,8.108,63.851,10.135,0,139264,151625728,312324096,15881469952,3076096,245145600,0,0,
09-10 02:30:45,17.036,6.985,68.995,6.985,0,1261568,113205248,314765312,15830753280,4853760,291512320,0,0,
09-10 02:30:46,17.317,6.791,71.647,4.244,0,8192,100159488,314621952,15787196416,5455872,333930496,0,0,
09-10 02:30:47,18.274,6.430,70.051,5.245,0,0,111190016,314503168,15737880576,6144000,381247488,0,0,
09-10 02:30:48,18.456,6.879,69.966,4.698,0,12288,110735360,314437632,15690682368,6852608,426647552,0,0,
09-10 02:30:49,17.707,6.914,71.332,4.047,0,0,93229056,314576896,15646687232,7434240,468733952,0,0,
09-10 02:30:50,17.736,6.926,70.946,4.392,0,4096,94576640,316456960,15604281344,8019968,507432960,0,0,
09-10 02:30:51,17.966,6.271,71.017,4.746,0,4096,103460864,317341696,15557693440,8671232,551329792,0,0,
09-10 02:30:52,18.412,6.588,69.932,5.068,0,8192,117002240,315637760,15509889024,9416704,598597632,0,0,
09-10 02:30:53,18.707,5.272,70.748,5.272,0,4096,113201152,316260352,15460188160,10158080,645660672,0,0,
09-10 02:30:54,18.698,7.346,67.446,6.511,0,4096,122425344,316645376,15409385472,11096064,693575680,0,0,
09-10 02:30:55,18.960,5.369,72.148,3.523,0,4096,74498048,314732544,15364268032,11558912,738963456,0,0,
09-10 02:30:56,18.814,6.780,68.814,5.593,0,4096,148606976,315576320,15314415616,12333056,785670144,0,0,
09-10 02:30:57,18.655,7.059,69.412,4.874,0,4096,132390912,317505536,15264559104,12959744,831774720,0,0,
09-10 02:30:58,19.015,5.772,70.628,4.584,0,4096,124366848,315650048,15217745920,13545472,878538752,0,0,
09-10 02:30:59,17.376,6.814,71.550,4.259,0,0,124919808,314724352,15165104128,14127104,930078720,0,0,
09-10 02:31:00,17.376,7.155,70.869,4.600,0,0,123514880,316018688,15115882496,14716928,976375808,0,0,
09-10 02:31:01,18.105,6.768,68.866,6.261,0,974848,124776448,316125184,15064723456,16289792,1024282624,0,0,
09-10 02:31:02,17.905,7.095,70.608,4.392,0,4096,121925632,315314176,15019720704,16871424,1068359680,0,0,
09-10 02:31:03,18.121,7.215,70.638,4.027,0,8192,112050176,316817408,14976868352,17436672,1107644416,0,0,
09-10 02:31:04,17.436,6.838,71.111,4.615,0,4096,124870656,317771776,14927044608,18051072,1154531328,0,0,
09-10 02:31:05,19.024,6.229,70.370,4.377,0,4096,121524224,316997632,14879870976,18649088,1200492544,0,0,
09-10 02:31:06,19.263,6.533,70.017,4.188,0,8192,120811520,316633088,14827364352,19243008,1251348480,0,0,
09-10 02:31:07,19.064,6.689,69.732,4.515,0,4096,123604992,316485632,14776315904,19853312,1300852736,0,0,
09-10 02:31:08,17.007,7.483,71.259,4.252,0,4096,120487936,316641280,14727585792,20443136,1347264512,0,0,
09-10 02:31:09,18.197,5.952,70.408,5.442,0,8192,119451648,316694528,14680993792,21204992,1391775744,0,0,
09-10 02:31:10,19.328,6.050,69.244,5.378,0,4096,122265600,317345792,14632214528,21991424,1437523968,0,0,
09-10 02:31:11,15.268,6.208,76.678,1.846,0,0,40284160,317579264,14616498176,22261760,1452249088,0,0,
09-10 02:31:12,13.758,7.550,77.517,1.174,0,4096,24301568,317485056,14611271680,22417408,1457078272,0,0,
09-10 02:31:13,14.213,6.091,78.511,1.184,0,0,21942272,317566976,14603317248,22556672,1464655872,0,0,
09-10 02:31:14,16.779,7.215,72.483,3.523,0,4096,79159296,317526016,14563942400,23040000,1502978048,0,0,
09-10 02:31:15,18.887,6.408,68.971,5.734,0,4096,125005824,318017536,14522462208,23826432,1541664768,0,0,
09-10 02:31:16,18.519,6.902,69.024,5.556,0,4096,125386752,318427136,14472925184,24612864,1588572160,0,0,
09-10 02:31:17,18.833,7,68.833,5.333,0,4096,121917440,318500864,14422491136,25354240,1636872192,0,0,
09-10 02:31:18,18.992,6.387,69.076,5.546,0,0,120287232,318361600,14375362560,26120192,1682149376,0,0,
09-10 02:31:19,18.802,7.321,68.220,5.657,0,0,125829120,318865408,14330015744,26918912,1724903424,0,0,
09-10 02:31:20,18.519,6.734,69.024,5.724,0,0,125067264,318631936,14281474048,27693056,1771384832,0,0,
09-10 02:31:21,18.624,7.047,68.792,5.537,0,0,121675776,318554112,14232850432,28483584,1817960448,0,0,
09-10 02:31:22,18.136,7.820,68.386,5.657,0,0,123637760,318730240,14183792640,29278208,1864626176,0,0,
09-10 02:31:23,18.305,6.441,70.169,5.085,0,0,117084160,318033920,14133542912,30011392,1913610240,0,0,
09-10 02:31:24,18.655,6.723,68.403,6.218,0,8192,118362112,319746048,14082654208,30785536,1960558592,0,0,
09-10 02:31:25,17.259,7.276,65.821,9.645,0,4096,108675072,317816832,14044647424,31514624,1998540800,0,0,
09-10 02:31:26,18.550,6.239,62.901,12.310,0,4096,114712576,320401408,13994377216,32186368,2044411904,0,0,
09-10 02:31:27,17.997,6.621,63.667,11.715,0,8192,117477376,319475712,13942935552,32780288,2094596096,0,0,
09-10 02:31:28,19.899,5.396,62.226,12.479,0,4096,117215232,321900544,13891092480,33411072,2142056448,0,0,
09-10 02:31:29,18.089,5.802,64.164,11.945,0,8192,114294784,321904640,13835472896,34037760,2195578880,0,0,
09-10 02:31:30,18.399,6.133,63.884,11.584,0,4096,122355712,322072576,13789089792,34660352,2240081920,0,0,
09-10 02:31:31,17.148,7.301,63.837,11.715,0,8192,119492608,322420736,13741850624,35262464,2284990464,0,0,
09-10 02:31:32,17.785,7.718,62.584,11.913,0,4096,120193024,322015232,13697802240,35848192,2327339008,0,0,
09-10 02:31:33,18.443,5.922,62.775,12.860,0,4096,108736512,322732032,13648261120,36438016,2374184960,0,0,
09-10 02:31:34,18.136,6.780,62.712,12.373,0,4096,114520064,323215360,13603258368,37044224,2416955392,0,0,
09-10 02:31:35,18.676,5.772,63.158,12.394,0,8192,115249152,323653632,13551685632,37650432,2465935360,0,0,
09-10 02:31:36,17.875,7.251,62.057,12.816,0,8192,116072448,323026944,13507731456,38236160,2508546048,0,0,
09-10 02:31:37,17.517,7.143,63.095,12.245,0,4096,119115776,323960832,13457539072,38825984,2555895808,0,0,
09-10 02:31:38,19.095,6.365,61.642,12.898,0,4096,118525952,323907584,13409030144,39424000,2602516480,0,0,
09-10 02:31:39,18.475,6.271,63.559,11.695,0,8192,116518912,323448832,13359521792,40022016,2650681344,0,0,
09-10 02:31:40,18.305,6.102,63.390,12.203,0,4096,114851840,323547136,13311201280,40620032,2696712192,0,0,
09-10 02:31:41,17.797,6.780,63.051,12.373,0,4096,113283072,324005888,13263708160,41218048,2741907456,0,0,
09-10 02:31:42,17.936,6.768,63.452,11.844,0,4096,111890432,323309568,13217087488,41828352,2787368960,0,0,
09-10 02:31:43,19.257,5.574,63.514,11.655,0,8192,116916224,323264512,13170372608,42405888,2832175104,0,0,
09-10 02:31:44,17.766,6.937,63.452,11.844,0,4096,117964800,323985408,13118681088,42991616,2881044480,0,0,
09-10 02:31:45,19.128,5.872,62.248,12.752,0,4096,103956480,323203072,13071478784,43601920,2926989312,0,0,
09-10 02:31:46,17.508,7.576,63.636,11.279,0,4096,110870528,324349952,13028995072,44191744,2966564864,0,0,
09-10 02:31:47,17.487,6.791,62.309,13.413,0,0,107139072,324636672,12978982912,44752896,3014369280,0,0,
09-10 02:31:48,17.597,7.276,63.283,11.844,0,0,120643584,324100096,12929458176,45305856,3062583296,0,0,
09-10 02:31:49,18.593,6.868,62.647,11.893,0,0,115265536,323592192,12886552576,45879296,3104002048,0,0,
09-10 02:31:50,18.836,4.966,64.384,11.815,0,0,112521216,323571712,12840742912,46473216,3148128256,0,0,
09-10 02:31:51,18.792,6.376,63.087,11.745,0,0,111271936,323588096,12794232832,47042560,3192791040,0,0,
09-10 02:31:52,19.403,6.965,61.028,12.604,0,0,108978176,324321280,12749549568,47628288,3234803712,0,0,
09-10 02:31:53,18.814,5.593,63.220,12.373,0,0,105648128,324030464,12703055872,48185344,3279613952,0,0,
09-10 02:31:54,17.061,7.770,63.682,11.486,0,0,115396608,323756032,12653719552,48742400,3327348736,0,0,
09-10 02:31:55,18.537,5.612,63.605,12.245,0,0,111337472,325619712,12607733760,49295360,3369570304,0,0,
09-10 02:31:56,18.655,6.555,63.193,11.597,0,0,112861184,325193728,12555747328,49831936,3419914240,0,0,
09-10 02:31:57,19.601,5.980,61.960,12.458,0,0,109654016,324030464,12511473664,50364416,3463634944,0,0,
09-10 02:31:58,18.506,5.942,63.497,12.054,0,0,109142016,324595712,12462395392,50876416,3510132736,0,0,
09-10 02:31:59,18.121,7.047,63.087,11.745,0,0,109293568,324349952,12412456960,51412992,3558547456,0,0,
09-10 02:32:00,18.212,6.239,63.406,12.142,0,4096,101683200,324120576,12364726272,51924992,3604754432,0,0,
09-10 02:32:01,18.105,6.091,64.467,11.337,0,4096,105259008,324083712,12323241984,52424704,3644383232,0,0,
09-10 02:32:02,17.717,6.133,64.395,11.755,0,8192,100663296,323956736,12274675712,52920320,3691282432,0,0,
09-10 02:32:03,19.056,5.565,63.575,11.804,0,4096,108953600,323780608,12230254592,53436416,3733929984,0,0,
09-10 02:32:04,18.824,6.050,63.025,12.101,0,8192,106008576,324022272,12172021760,53923840,3789942784,0,0,
09-10 02:32:05,17.875,6.745,63.238,12.142,0,4096,107266048,324751360,12124798976,54439936,3834667008,0,0,
09-10 02:32:06,17.036,6.644,64.055,12.266,0,4096,106192896,324411392,12087193600,54943744,3871076352,0,0,
09-10 02:32:07,17.936,6.768,63.113,12.183,0,4096,105185280,324497408,12038160384,55455744,3918344192,0,0,
09-10 02:32:08,19.231,5.853,62.876,12.040,0,4096,106811392,323596288,11994697728,55955456,3960500224,0,0,
09-10 02:32:09,18.151,7.059,62.521,12.269,0,4096,108101632,325074944,11943665664,56471552,4008370176,0,0,
09-10 02:32:10,18.395,7.023,63.378,11.204,0,4096,104439808,325042176,11893522432,56971264,4056600576,0,0,
09-10 02:32:11,17.966,6.102,63.220,12.712,0,8192,102944768,324907008,11851505664,57470976,4097056768,0,0,
09-10 02:32:12,19.263,5.695,62.479,12.563,0,4096,102846464,325177344,11805614080,57970688,4140818432,0,0,
09-10 02:32:13,18.456,6.544,62.752,12.248,0,4096,107917312,325050368,11759865856,58503168,4184940544,0,0,
