"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","65ddb35f84af",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 01:39:58 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 01:39:58,0.076,0.079,99.715,0.130,0,110508.808,630875.951,260497408,15890780160,21880832,268271616,6.532,15.209,
09-10 01:39:59,2.838,1.836,95.326,0,0,0,0,299065344,15830450176,21880832,289906688,0,0,
09-10 01:40:00,8.681,1.669,67.112,22.538,0,602112,44216320,303562752,15966535680,1388544,172621824,0,0,
09-10 01:40:01,16.887,0,72.682,10.430,0,3051520,0,300703744,15966461952,3178496,173670400,0,0,
09-10 01:40:02,5.219,3.704,90.909,0.168,0,4096,0,301862912,15963033600,3178496,175890432,0,0,
09-10 01:40:03,12.730,6.365,80.737,0.168,0,143360,4304896,304918528,15955238912,3330048,180420608,0,0,
09-10 01:40:04,12.458,6.229,80.640,0.673,0,135168,4325376,305098752,15949905920,3481600,185434112,0,0,
09-10 01:40:05,13.140,5.290,77.816,3.754,0,1253376,8638464,304771072,15942270976,4767744,192106496,0,0,
09-10 01:40:06,17.428,6.599,73.096,2.876,0,4096,75694080,308609024,15903252480,5091328,226787328,0,0,
09-10 01:40:07,18.729,7.525,69.398,4.348,0,16384,132644864,312913920,15858311168,5705728,266412032,0,0,
09-10 01:40:08,18.044,7.083,71.332,3.541,0,0,97882112,310702080,15817453568,6221824,307941376,0,0,
09-10 01:40:09,19.135,6.656,69.884,4.326,0,4096,103768064,313065472,15772319744,6852608,348909568,0,0,
09-10 01:40:10,16.890,7.525,71.405,4.181,0,4096,92147712,313425920,15729799168,7413760,389353472,0,0,
09-10 01:40:11,16.835,6.902,72.054,4.209,0,0,95784960,314138624,15686889472,7991296,429854720,0,0,
09-10 01:40:12,15.736,7.445,72.927,3.892,0,0,90689536,311767040,15647752192,8548352,469549056,0,0,
09-10 01:40:13,16.498,6.902,72.727,3.872,0,0,89948160,313196544,15603671040,9109504,510701568,0,0,
09-10 01:40:14,16.752,5.641,73.162,4.444,0,0,99061760,313688064,15562121216,9736192,549748736,0,0,
09-10 01:40:15,16.184,6.303,73.254,4.259,0,0,90456064,314953728,15519395840,10305536,589533184,0,0,
09-10 01:40:16,16.275,7.718,71.980,4.027,0,4096,91258880,315150336,15476527104,10895360,630431744,0,0,
09-10 01:40:17,16.582,5.076,76.142,2.200,0,0,39608320,314916864,15435350016,11198464,670531584,0,0,
09-10 01:40:18,17.508,4.714,75.253,2.525,0,4096,44007424,315928576,15391105024,11542528,712065024,0,0,
