"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","d309a06c560d",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_off-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 16:59:03 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 16:59:03,0.192,0.109,99.560,0.139,0,112593.476,704557.026,264871936,15878893568,20557824,275308544,6.525,15.082,
09-10 16:59:04,11.277,4.146,83.914,0.663,0,307200,0,304119808,15786250240,20561920,328392704,0,0,
09-10 16:59:05,14.908,3.350,80.737,1.005,0,0,143360,304357376,15785852928,20574208,328511488,0,0,
09-10 16:59:06,15.449,3.156,81.395,0,0,0,303104,304472064,15785549824,20574208,328650752,0,0,
09-10 16:59:07,14.833,3,82.167,0,0,0,0,304664576,15785136128,20574208,328835072,0,0,
09-10 16:59:08,14.238,2.848,82.915,0,0,0,0,304975872,15784579072,20574208,329015296,0,0,
09-10 16:59:09,15.500,2,82.333,0.167,0,0,53248,305246208,15784071168,20582400,329240576,0,0,
09-10 16:59:10,14.809,2.496,82.696,0,0,0,0,305524736,15783514112,20582400,329469952,0,0,
09-10 16:59:11,14.405,2.345,83.250,0,0,0,1204224,305823744,15782862848,20582400,329793536,0,0,
09-10 16:59:12,14.876,3.140,81.983,0,0,0,0,306065408,15782129664,20582400,330166272,0,0,
09-10 16:59:13,14.070,2.848,83.082,0,0,0,0,306364416,15781429248,20582400,330493952,0,0,
09-10 16:59:14,14.428,2.985,82.421,0.166,0,0,32768,306880512,15780458496,20590592,330842112,0,0,
09-10 16:59:15,13.311,4.160,78.702,3.827,0,0,856064,307568640,15779307520,20594688,331251712,0,0,
09-10 16:59:16,14.594,3.317,79.602,2.488,0,0,57344,307953664,15778447360,20615168,331591680,0,0,
09-10 16:59:17,13.211,3.512,83.278,0,0,0,0,308428800,15777476608,20615168,331988992,0,0,
09-10 16:59:18,14.357,2.838,82.805,0,0,0,0,308727808,15776808960,20615168,332316672,0,0,
09-10 16:59:19,14.167,3.333,82,0.500,0,0,4169728,309383168,15775711232,20639744,332636160,0,0,
09-10 16:59:20,14.167,3,82.833,0,0,0,155648,309432320,15775219712,20639744,332980224,0,0,
09-10 16:59:21,14.309,2.995,82.696,0,0,0,0,309252096,15775059968,20639744,333275136,0,0,
09-10 16:59:22,14.784,2.658,82.558,0,0,0,0,309256192,15774646272,20639744,333643776,0,0,
09-10 16:59:23,14.047,2.843,83.110,0,0,0,0,309227520,15774310400,20639744,333914112,0,0,
09-10 16:59:24,15.066,2.483,82.285,0.166,0,0,40960,309067776,15774007296,20647936,334299136,0,0,
09-10 16:59:25,14.190,3.005,80.801,2.003,0,0,8712192,309141504,15773577216,20656128,334585856,0,0,
09-10 16:59:26,14.476,2.829,82.696,0,0,0,0,308948992,15773384704,20656128,334901248,0,0,
09-10 16:59:27,14.309,2.995,82.696,0,0,0,0,308940800,15772938240,20656128,335265792,0,0,
09-10 16:59:28,14.711,3.140,82.149,0,0,0,0,308973568,15772491776,20656128,335605760,0,0,
09-10 16:59:29,14.356,3.465,82.013,0.165,0,0,12288,308998144,15772061696,20664320,335937536,0,0,
09-10 16:59:30,14.143,3.827,76.040,5.990,0,0,42696704,308723712,15771889664,20672512,336277504,0,0,
09-10 16:59:31,14.642,2.995,82.030,0.333,0,0,4157440,309317632,15770968064,20688896,336560128,0,0,
09-10 16:59:32,14.286,3.156,82.558,0,0,0,0,309170176,15770648576,20688896,336945152,0,0,
09-10 16:59:33,14.500,2.667,82.833,0,0,0,0,309219328,15770185728,20688896,337260544,0,0,
09-10 16:59:34,14.167,2.833,83,0,0,0,0,309125120,15769882624,20688896,337596416,0,0,
09-10 16:59:35,14.357,2.504,82.805,0.334,0,0,32768,308998144,15769579520,20697088,337952768,0,0,
09-10 16:59:36,14.524,2.504,82.972,0,0,0,32768,309018624,15769133056,20705280,338288640,0,0,
09-10 16:59:37,14.190,2.838,82.972,0,0,0,0,308543488,15769210880,20705280,338632704,0,0,
09-10 16:59:38,14.143,2.995,82.862,0,0,0,0,308625408,15768748032,20705280,338911232,0,0,
09-10 16:59:39,14.925,2.819,82.255,0,0,0,0,308465664,15768461312,20705280,339316736,0,0,
09-10 16:59:40,14.760,2.653,82.255,0.332,0,0,12288,308375552,15768125440,20713472,339636224,0,0,
09-10 16:59:41,14.642,2.496,82.696,0.166,0,0,12288,308539392,15767568384,20721664,339959808,0,0,
09-10 16:59:42,14.784,2.658,82.558,0,0,0,0,308408320,15767248896,20721664,340328448,0,0,
09-10 16:59:43,15.141,2.662,81.864,0.333,0,0,4157440,309407744,15765786624,20738048,340713472,0,0,
09-10 16:59:44,14.809,3.161,82.030,0,0,0,0,309121024,15765721088,20738048,340971520,0,0,
09-10 16:59:45,14.925,2.653,82.090,0.332,0,0,12288,309260288,15765164032,20746240,341311488,0,0,
09-10 16:59:46,14.120,3.156,82.724,0,0,0,0,309334016,15764701184,20746240,341610496,0,0,
09-10 16:59:47,14.476,2.829,82.696,0,0,0,20480,308944896,15764652032,20746240,341987328,0,0,
09-10 16:59:48,14.428,2.985,82.421,0.166,0,0,28672,309231616,15763968000,20754432,342315008,0,0,
09-10 16:59:49,14.214,2.676,83.110,0,0,0,4096,308981760,15763791872,20754432,342675456,0,0,
09-10 16:59:50,14.597,2.013,83.054,0.336,0,0,12288,308924416,15763472384,20762624,342970368,0,0,
09-10 16:59:51,15.116,2.326,82.558,0,0,0,0,309051392,15762915328,20762624,343334912,0,0,
09-10 16:59:52,13.758,2.852,83.389,0,0,0,4096,308871168,15762722816,20762624,343629824,0,0,
09-10 16:59:53,14.262,3.151,82.421,0.166,0,0,0,308727808,15762419712,20766720,344014848,0,0,
09-10 16:59:54,14.735,2.980,82.285,0,0,0,12288,309145600,15761575936,20770816,344334336,0,0,
09-10 16:59:55,15.308,1.997,82.030,0.666,0,0,102400,309055488,15761289216,20779008,344666112,0,0,
09-10 16:59:56,14.691,2.838,82.137,0.334,0,0,4145152,309702656,15760175104,20795392,345001984,0,0,
09-10 16:59:57,15.017,2.970,82.013,0,0,0,0,309600256,15759839232,20795392,345337856,0,0,
09-10 16:59:58,14.500,2.667,82.833,0,0,0,0,309870592,15759187968,20795392,345694208,0,0,
09-10 16:59:59,14.476,2.662,82.862,0,0,0,0,309682176,15758962688,20795392,345993216,0,0,
09-10 17:00:00,14.642,2.662,82.363,0.333,0,0,12288,309415936,15758802944,20803584,346370048,0,0,
09-10 17:00:01,14.167,3,82.667,0.167,0,0,6311936,309886976,15757967360,20811776,346664960,0,0,
09-10 17:00:02,14.452,2.990,82.558,0,0,0,0,309784576,15757647872,20811776,347009024,0,0,
09-10 17:00:03,14.190,2.838,82.972,0,0,0,0,309780480,15757201408,20811776,347377664,0,0,
09-10 17:00:04,14.500,2.667,82.833,0,0,0,0,309800960,15756754944,20811776,347721728,0,0,
09-10 17:00:05,14.190,2.671,82.638,0.501,0,0,12288,309755904,15756468224,20819968,348004352,0,0,
09-10 17:00:06,14.667,2.500,82.667,0.167,0,0,12288,309592064,15756115968,20828160,348397568,0,0,
09-10 17:00:07,14.094,2.517,83.389,0,0,0,0,309784576,15755575296,20828160,348696576,0,0,
09-10 17:00:08,14.784,2.990,81.894,0.332,0,0,4145152,310165504,15754715136,20844544,349052928,0,0,
09-10 17:00:09,14.262,3.317,82.421,0,0,0,0,310231040,15754301440,20844544,349351936,0,0,
09-10 17:00:10,15.207,2.645,81.818,0.331,0,0,12288,310226944,15753854976,20852736,349720576,0,0,
09-10 17:00:11,14.548,2.341,83.110,0,0,0,0,310157312,15753535488,20852736,350027776,0,0,
09-10 17:00:12,14.618,2.658,82.724,0,0,0,0,310018048,15753232384,20852736,350408704,0,0,
09-10 17:00:13,14.047,2.843,82.943,0.167,0,0,32768,309936128,15752929280,20860928,350724096,0,0,
09-10 17:00:14,14.809,2.496,82.696,0,0,0,0,309858304,15752626176,20860928,351043584,0,0,
09-10 17:00:15,15.397,2.318,81.954,0.331,0,0,12288,309874688,15752179712,20869120,351387648,0,0,
09-10 17:00:16,14.735,2.980,82.285,0,0,0,4096,309772288,15751860224,20869120,351727616,0,0,
09-10 17:00:17,14.809,2.496,82.696,0,0,0,0,309784576,15751446528,20869120,352088064,0,0,
09-10 17:00:18,14.381,2.341,83.110,0.167,0,0,12288,309678080,15751127040,20877312,352428032,0,0,
09-10 17:00:19,14.381,2.508,83.110,0,0,0,0,309747712,15750680576,20877312,352722944,0,0,
09-10 17:00:20,16.556,4.470,76.490,2.483,0,0,44802048,310472704,15752372224,21065728,349892608,0,0,
09-10 17:00:21,13.903,3.183,82.580,0.335,0,0,6107136,310353920,15752085504,21073920,350232576,0,0,
09-10 17:00:22,14.476,2.995,82.529,0,0,0,0,310337536,15751639040,21073920,350609408,0,0,
09-10 17:00:23,14.618,2.990,82.392,0,0,0,4096,310321152,15751192576,21073920,350994432,0,0,
09-10 17:00:24,14.430,2.349,83.221,0,0,0,0,310337536,15750729728,21073920,351346688,0,0,
09-10 17:00:25,14.286,3.156,82.392,0.166,0,0,45056,310235136,15750426624,21082112,351678464,0,0,
09-10 17:00:26,13.833,3.500,82.333,0.333,0,0,12288,310054912,15750123520,21090304,352096256,0,0,
09-10 17:00:27,14.167,3.167,82.667,0,0,0,0,310095872,15749677056,21090304,352415744,0,0,
09-10 17:00:28,13.644,3.661,82.696,0,0,0,8192,310157312,15749103616,21090304,352854016,0,0,
09-10 17:00:29,14.570,3.311,82.119,0,0,0,0,309907456,15748911104,21090304,353214464,0,0,
09-10 17:00:30,14.498,3.789,81.549,0.165,0,0,24576,310153216,15748227072,21098496,353579008,0,0,
09-10 17:00:31,14.023,3.673,81.803,0.501,0,0,4124672,310407168,15747510272,21123072,353918976,0,0,
09-10 17:00:32,14.833,2.500,82.667,0,0,0,0,310571008,15746953216,21123072,354250752,0,0,
09-10 17:00:33,14.545,3.471,81.983,0,0,0,0,310284288,15746760704,21123072,354652160,0,0,
09-10 17:00:34,14.622,2.017,83.361,0,0,0,0,310304768,15746347008,21123072,355004416,0,0,
09-10 17:00:35,14.428,3.317,82.255,0,0,0,0,310288384,15745884160,21123072,355385344,0,0,
09-10 17:00:36,13.856,3.005,82.471,0.668,0,0,45056,310239232,15745421312,21139456,355778560,0,0,
09-10 17:00:37,14.662,3.624,81.713,0,0,0,0,310169600,15745150976,21139456,356093952,0,0,
09-10 17:00:38,14.262,3.483,82.255,0,0,0,0,309997568,15744815104,21139456,356503552,0,0,
09-10 17:00:39,14.667,2.667,82.667,0,0,0,0,310136832,15744241664,21139456,356859904,0,0,
