"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","7f5a4cdf2e16",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 13:29:02 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 13:29:02,0.163,0.102,99.596,0.138,0,112407.892,700531.899,264343552,15880511488,21209088,274124800,6.536,15.111,
09-10 13:29:03,7.333,4,88.667,0,0,73728,0,302837760,15788916736,21209088,326918144,0,0,
09-10 13:29:04,16.391,4.139,78.974,0.497,0,0,143360,304513024,15786213376,21221376,327729152,0,0,
09-10 13:29:05,16.611,4.485,78.904,0,0,0,1224704,305324032,15784448000,21221376,328548352,0,0,
09-10 13:29:06,19.205,6.623,74.172,0,0,0,0,306909184,15781408768,21221376,329719808,0,0,
09-10 13:29:07,18.574,7.629,73.466,0.332,0,0,4169728,308482048,15774339072,21237760,334966784,0,0,
09-10 13:29:08,15.815,6.096,78.089,0,0,0,8192,308613120,15777112064,21237760,331829248,0,0,
09-10 13:29:09,16.007,6.601,77.393,0,0,0,0,308387840,15775723520,21237760,333152256,0,0,
09-10 13:29:10,19.205,6.954,73.841,0,0,0,0,308330496,15774384128,21237760,334307328,0,0,
09-10 13:29:11,17.628,5.766,76.442,0.165,0,0,4157440,309022720,15772266496,21254144,335495168,0,0,
09-10 13:29:12,17.053,5.629,77.318,0,0,0,13770752,308695040,15771258880,21254144,336539648,0,0,
09-10 13:29:13,15.651,5.601,78.748,0,0,0,0,308707328,15769505792,21254144,337981440,0,0,
09-10 13:29:14,20.458,6.874,72.668,0,0,0,0,308523008,15768453120,21254144,339009536,0,0,
09-10 13:29:15,20.398,6.302,72.968,0.332,0,0,4161536,308887552,15766573056,21270528,340226048,0,0,
09-10 13:29:16,14.238,4.967,80.795,0,0,0,0,308940800,15765696512,21270528,340914176,0,0,
09-10 13:29:17,19.333,6.167,69,5.500,0,0,38572032,308633600,15764099072,21278720,342454272,0,0,
09-10 13:29:18,19.008,6.612,73.884,0.496,0,0,4149248,309006336,15761981440,21295104,343937024,0,0,
09-10 13:29:19,19.110,6.096,74.794,0,0,0,0,309194752,15760769024,21295104,344764416,0,0,
09-10 13:29:20,13.167,5.167,81.667,0,0,0,0,308973568,15759429632,21295104,346042368,0,0,
09-10 13:29:21,20,6.167,73.833,0,0,0,0,308989952,15757946880,21295104,347250688,0,0,
09-10 13:29:22,20.266,5.980,73.090,0.664,0,0,4182016,309833728,15755862016,21319680,348266496,0,0,
09-10 13:29:23,15.207,5.455,79.339,0,0,0,0,309481472,15754936320,21319680,349323264,0,0,
09-10 13:29:24,17.105,6.743,76.151,0,0,0,0,309411840,15753580544,21319680,350494720,0,0,
09-10 13:29:25,21.167,7.333,69.167,2.333,0,0,44814336,310136832,15752581120,21508096,350019584,0,0,
09-10 13:29:26,17.726,4.682,76.923,0.669,0,0,8212480,313708544,15740129280,21540864,357523456,0,0,
09-10 13:29:27,16.949,4.576,77.288,1.186,0,0,22708224,314400768,15732367360,21671936,362754048,0,0,
09-10 13:29:28,18.121,4.866,76.342,0.671,0,0,19214336,312778752,15721308160,21762048,373911552,0,0,
09-10 13:29:29,18.074,3.209,78.378,0.338,0,0,8269824,314036224,15715184640,21794816,377442304,0,0,
09-10 13:29:30,16.441,4.915,75.763,2.881,0,4096,77385728,314945536,15707869184,22183936,381730816,0,0,
09-10 13:29:31,17.508,4.714,77.104,0.673,0,0,8368128,316149760,15697309696,22216704,389705728,0,0,
09-10 13:29:32,17.936,5.245,71.912,4.907,0,0,63299584,315576320,15692447744,22536192,393498624,0,0,
09-10 13:29:33,17.755,4.188,77.052,1.005,0,0,8372224,316469248,15682543616,22577152,400982016,0,0,
09-10 13:29:34,18.750,5.236,70.608,5.405,0,0,72724480,318517248,15675047936,22929408,404705280,0,0,
09-10 13:29:35,17.617,4.530,77.181,0.671,0,0,8404992,320032768,15664824320,22962176,412332032,0,0,
09-10 13:29:36,17.905,5.743,73.480,2.872,0,4096,75747328,318799872,15661342720,23326720,415080448,0,0,
09-10 13:29:37,17.755,3.853,77.889,0.503,0,0,8400896,318771200,15652360192,23359488,422563840,0,0,
09-10 13:29:38,18.272,4.485,76.246,0.997,0,0,22941696,318795776,15635759104,23425024,438001664,0,0,
09-10 13:29:39,17.282,5.201,73.322,4.195,0,4096,72540160,319066112,15642976256,23789568,429314048,0,0,
09-10 13:29:40,23.179,5.298,71.523,0,0,0,0,318894080,15641956352,23789568,430346240,0,0,
09-10 13:29:41,21.026,6.126,72.848,0,0,0,106496,318722048,15640776704,23789568,431497216,0,0,
09-10 13:29:42,16.256,5.090,78.325,0.328,0,0,4210688,318976000,15638835200,23805952,432906240,0,0,
09-10 13:29:43,22.735,6.425,70.511,0.329,0,0,12288,319123456,15637131264,23814144,434229248,0,0,
09-10 13:29:44,18.242,5.638,76.119,0,0,0,0,319029248,15636238336,23814144,435077120,0,0,
09-10 13:29:45,19.307,3.960,76.733,0,0,0,0,318459904,15634898944,23814144,436723712,0,0,
09-10 13:29:46,23.500,6.167,70.167,0.167,0,0,4214784,318828544,15632814080,23830528,438099968,0,0,
09-10 13:29:47,16.612,5.428,77.961,0,0,0,0,318738432,15631667200,23830528,439177216,0,0,
09-10 13:29:48,18.574,6.136,74.959,0.332,0,0,94208,318644224,15630090240,23838720,440614912,0,0,
09-10 13:29:49,21.500,6.500,68.833,3.167,0,4096,78897152,319643648,15631200256,24244224,437555200,0,0,
