"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","df518d130479",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 14:36:32 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 14:36:32,0.174,0.105,99.583,0.139,0,112471.203,701965.586,263344128,15880888320,20897792,274132992,6.532,15.101,
09-10 14:36:33,9.934,3.808,85.265,0.993,0,147456,0,303796224,15787110400,20901888,327172096,0,0,
09-10 14:36:34,14.498,3.954,81.219,0.329,0,0,143360,304128000,15785742336,20914176,328011776,0,0,
09-10 14:36:35,13.421,5.892,80.687,0,0,0,0,305180672,15783546880,20914176,328966144,0,0,
09-10 14:36:36,13.058,5.289,81.653,0,0,0,0,306479104,15780921344,20914176,330027008,0,0,
09-10 14:36:37,12.664,6.250,80.921,0.164,0,0,4141056,307720192,15774232576,20922368,335212544,0,0,
09-10 14:36:38,12.993,5.921,80.757,0.329,0,0,13828096,308322304,15776432128,20938752,332173312,0,0,
09-10 14:36:39,12.562,5.455,81.983,0,0,0,0,308252672,15775268864,20938752,333217792,0,0,
09-10 14:36:40,13.072,5.882,81.046,0,0,0,0,307937280,15774117888,20938752,334376960,0,0,
09-10 14:36:41,14.286,4.598,80.624,0.493,0,0,4165632,308023296,15772811264,20955136,335372288,0,0,
09-10 14:36:42,13.531,4.620,81.848,0,0,0,0,308035584,15771648000,20955136,336343040,0,0,
09-10 14:36:43,12.562,6.281,75.537,5.620,0,0,38567936,307707904,15770546176,20963328,337481728,0,0,
09-10 14:36:44,12.706,5.611,81.683,0,0,0,0,307826688,15769096192,20963328,338595840,0,0,
09-10 14:36:45,13.245,4.967,81.457,0.331,0,0,4161536,308727808,15766884352,20979712,339664896,0,0,
09-10 14:36:46,13.629,4.926,81.445,0,0,0,0,308494336,15765942272,20979712,340619264,0,0,
09-10 14:36:47,13.093,5.728,81.178,0,0,0,0,308371456,15764713472,20979712,341712896,0,0,
09-10 14:36:48,13.957,4.762,80.952,0.328,0,0,32768,308310016,15763374080,20987904,342867968,0,0,
09-10 14:36:49,13.844,5.700,79.967,0.489,0,0,4149248,309112832,15761256448,21004288,343912448,0,0,
09-10 14:36:50,13.300,5.255,81.445,0,0,0,0,309170176,15759949824,21004288,344952832,0,0,
09-10 14:36:51,13.465,5.090,81.445,0,0,0,0,308936704,15758897152,21004288,346038272,0,0,
09-10 14:36:52,14.638,3.783,81.579,0,0,0,0,308719616,15757828096,21004288,347099136,0,0,
