"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","5d5c5801ece9",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","09 Oct 2022 15:47:54 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
09-10 15:47:54,0.183,0.107,99.571,0.139,0,112538.250,703259.153,265261056,15878598656,20426752,275197952,6.528,15.091,
09-10 15:47:55,8.955,3.317,87.728,0,0,73728,425984,306331648,15783415808,20426752,328867840,0,0,
09-10 15:47:56,13.101,5.141,81.260,0.498,0,4096,0,306733056,15781310464,20430848,330235904,0,0,
09-10 15:47:57,13.333,5,81.333,0.333,0,0,143360,307990528,15778844672,20443136,331214848,0,0,
09-10 15:47:58,14.003,5.437,80.231,0.329,0,0,4177920,309702656,15775752192,20459520,332308480,0,0,
09-10 15:47:59,13.562,5.556,80.882,0,0,0,0,309624832,15774642176,20459520,333287424,0,0,
09-10 15:48:00,12.479,6.240,81.281,0,0,0,0,309682176,15773478912,20459520,334209024,0,0,
09-10 15:48:01,13.584,5.237,81.178,0,0,0,0,309350400,15772487680,20459520,335257600,0,0,
09-10 15:48:02,13.839,4.942,80.725,0.494,0,0,4161536,309755904,15770640384,20475904,336437248,0,0,
09-10 15:48:03,13.584,5.237,81.178,0,0,0,0,309755904,15769317376,20475904,337539072,0,0,
09-10 15:48:04,12.893,5.289,81.818,0,0,0,0,309678080,15768264704,20475904,338464768,0,0,
09-10 15:48:05,13.093,5.728,81.178,0,0,0,0,309317632,15767162880,20475904,339668992,0,0,
09-10 15:48:06,13.487,5.592,80.757,0.164,0,0,4161536,310480896,15764774912,20492288,340627456,0,0,
09-10 15:48:07,13.072,5.882,81.046,0,0,0,0,310448128,15763611648,20492288,341618688,0,0,
09-10 15:48:08,11.921,5.960,82.119,0,0,0,0,310095872,15762685952,20492288,342691840,0,0,
09-10 15:48:09,14.075,4.746,81.178,0,0,0,0,309846016,15761567744,20492288,343785472,0,0,
09-10 15:48:10,13.607,5.738,80.328,0.328,0,0,4907008,310464512,15759609856,20508672,344854528,0,0,
09-10 15:48:11,13.036,5.281,81.683,0,0,0,12582912,310251520,15758618624,20508672,345829376,0,0,
09-10 15:48:12,12.066,5.950,81.983,0,0,0,0,310095872,15757279232,20508672,347090944,0,0,
09-10 15:48:13,14.566,4.419,81.015,0,0,0,0,310104064,15756115968,20508672,348061696,0,0,
09-10 15:48:14,13.884,4.628,81.157,0.331,0,0,4149248,310550528,15754412032,20525056,349081600,0,0,
09-10 15:48:15,12.808,5.747,81.445,0,0,0,0,310661120,15753121792,20525056,350076928,0,0,
09-10 15:48:16,14.096,4.643,75.456,5.804,0,0,38547456,310480896,15751798784,20533248,351309824,0,0,
09-10 15:48:17,12.231,5.785,81.983,0,0,0,0,310308864,15750586368,20533248,352448512,0,0,
09-10 15:48:18,15.116,6.312,76.080,2.492,0,0,44806144,310984704,15751004160,20721664,350773248,0,0,
09-10 15:48:19,13.487,4.934,81.579,0,0,0,0,310886400,15749775360,20721664,351846400,0,0,
09-10 15:48:20,13.748,5.237,81.015,0,0,0,0,310792192,15748755456,20721664,352796672,0,0,
09-10 15:48:21,12.957,5.150,81.063,0.831,0,0,4153344,311140352,15747125248,20746240,353853440,0,0,
09-10 15:48:22,14.145,4.441,81.414,0,0,0,0,310849536,15745982464,20746240,355045376,0,0,
09-10 15:48:23,13.912,4.910,81.178,0,0,0,0,310906880,15744643072,20746240,356089856,0,0,
09-10 15:48:24,14.075,4.910,81.015,0,0,0,0,310648832,15743717376,20746240,357068800,0,0,
09-10 15:48:25,13.839,4.942,81.054,0.165,0,0,4091904,311447552,15741378560,20762624,358367232,0,0,
09-10 15:48:26,14.007,5.375,80.293,0.326,0,0,6828032,311222272,15740420096,20770816,359309312,0,0,
09-10 15:48:27,14.566,4.255,81.178,0,0,0,0,311070720,15739224064,20770816,360435712,0,0,
09-10 15:48:28,12.993,5.757,80.921,0.329,0,0,4112384,311402496,15737376768,20787200,361713664,0,0,
09-10 15:48:29,13.399,5.556,81.046,0,0,0,0,311259136,15736324096,20787200,362688512,0,0,
09-10 15:48:30,13.344,4.942,81.713,0,0,0,0,311148544,15734984704,20787200,363900928,0,0,
09-10 15:48:31,13.128,6.483,79.903,0.486,0,0,53248,311361536,15733678080,20795392,364814336,0,0,
09-10 15:48:32,15.461,5.921,76.480,2.138,0,0,33673216,311660544,15733223424,20975616,364408832,0,0,
09-10 15:48:33,14.075,4.583,81.342,0,0,0,0,311820288,15731773440,20975616,365436928,0,0,
09-10 15:48:34,14.706,4.248,81.046,0,0,0,0,311443456,15730831360,20975616,366534656,0,0,
09-10 15:48:35,13.015,5.601,81.054,0.329,0,0,4141056,311820288,15729143808,20992000,367628288,0,0,
09-10 15:48:36,13.136,5.911,80.624,0.328,0,0,12288,311762944,15727964160,21000192,368660480,0,0,
09-10 15:48:37,14.026,3.960,82.013,0,0,0,0,311693312,15726624768,21000192,369827840,0,0,
09-10 15:48:38,13.158,5.263,81.579,0,0,0,0,311369728,15725715456,21000192,370876416,0,0,
09-10 15:48:39,14.773,5.032,80.032,0.162,0,0,4128768,311681024,15723995136,21016576,372047872,0,0,
09-10 15:48:40,13.554,4.463,81.983,0,0,0,0,311869440,15722577920,21016576,373071872,0,0,
09-10 15:48:41,13.548,6.452,79.677,0.323,0,0,12288,311664640,15721525248,21024768,374128640,0,0,
09-10 15:48:42,13.770,4.918,81.311,0,0,0,0,311758848,15719931904,21024768,375386112,0,0,
09-10 15:48:43,12.685,5.766,81.219,0.329,0,0,4141056,312127488,15718195200,21041152,376475648,0,0,
09-10 15:48:44,14.682,4.405,80.914,0,0,0,0,312152064,15717191680,21041152,377315328,0,0,
09-10 15:48:45,13.115,5.410,81.475,0,0,0,0,311996416,15715708928,21041152,378695680,0,0,
09-10 15:48:46,14.662,5.272,78.913,1.153,0,0,15060992,311832576,15703482368,21106688,390815744,0,0,
09-10 15:48:47,16.558,6.169,73.701,3.571,0,0,58249216,312320000,15714263040,21417984,378761216,0,0,
09-10 15:48:48,13.158,5.263,81.579,0,0,0,0,312127488,15713226752,21417984,379809792,0,0,
09-10 15:48:49,13.509,5.107,81.054,0.329,0,0,4173824,312549376,15711522816,21434368,380858368,0,0,
09-10 15:48:50,13.562,5.392,81.046,0,0,0,0,312242176,15710326784,21434368,382140416,0,0,
09-10 15:48:51,13.322,4.934,81.250,0.493,0,0,7213056,312107008,15709229056,21442560,383176704,0,0,
09-10 15:48:52,12.935,4.809,81.924,0.332,0,0,4096,312324096,15707668480,21442560,384319488,0,0,
09-10 15:48:53,14.239,4.910,80.524,0.327,0,0,4182016,312700928,15705837568,21458944,385536000,0,0,
09-10 15:48:54,13.540,5.546,80.914,0,0,0,0,312688640,15704514560,21458944,386654208,0,0,
09-10 15:48:55,13.136,5.255,81.609,0,0,0,0,312614912,15703351296,21458944,387706880,0,0,
09-10 15:48:56,13.443,5.246,81.148,0.164,0,0,8192,312606720,15700107264,21467136,390717440,0,0,
09-10 15:48:57,13.509,4.942,81.054,0.494,0,0,4186112,312954880,15700180992,21483520,390053888,0,0,
09-10 15:48:58,14.075,4.746,81.178,0,0,0,0,312664064,15699144704,21483520,391196672,0,0,
09-10 15:48:59,13.748,4.910,81.342,0,0,0,0,312774656,15697870848,21483520,392200192,0,0,
09-10 15:49:00,14.380,6.612,76.694,2.314,0,0,38805504,312713216,15698100224,21655552,391602176,0,0,
09-10 15:49:01,14.686,5.281,78.548,1.485,0,0,20312064,313323520,15697125376,21786624,391495680,0,0,
09-10 15:49:02,13.518,5.537,80.619,0.326,0,0,12288,313298944,15695691776,21794816,392744960,0,0,
09-10 15:49:03,12.930,6.219,80.687,0.164,0,0,4186112,313675776,15694020608,21811200,393859072,0,0,
09-10 15:49:04,13.554,4.463,81.983,0,0,0,0,313397248,15692935168,21811200,394973184,0,0,
09-10 15:49:05,12.727,5.124,82.149,0,0,0,0,313516032,15691374592,21811200,396206080,0,0,
09-10 15:49:06,13.866,5.057,81.077,0,0,0,0,313356288,15690448896,21811200,397115392,0,0,
09-10 15:49:07,13.136,5.747,80.624,0.493,0,0,4235264,313602048,15688777728,21835776,398311424,0,0,
09-10 15:49:08,13.509,4.613,81.878,0,0,0,0,313716736,15687200768,21835776,399548416,0,0,
09-10 15:49:09,12.972,5.419,81.609,0,0,0,0,313450496,15686021120,21835776,400797696,0,0,
09-10 15:49:10,13.223,4.959,81.818,0,0,0,0,313163776,15682588672,21835776,404348928,0,0,
09-10 15:49:11,13.934,4.918,80.984,0.164,0,0,4194304,313733120,15683010560,21852160,403091456,0,0,
09-10 15:49:12,14.682,4.241,80.750,0.326,0,0,12288,314179584,15681609728,21860352,403894272,0,0,
09-10 15:49:13,14.403,4.255,81.342,0,0,0,0,313815040,15680303104,21860352,405344256,0,0,
09-10 15:49:14,15.282,5.980,76.080,2.658,0,0,72744960,314011648,15680274432,22216704,404332544,0,0,
09-10 15:49:15,13.607,4.918,81.475,0,0,0,0,314064896,15678709760,22216704,405475328,0,0,
09-10 15:49:16,12.706,5.611,81.353,0.330,0,0,4210688,314470400,15676768256,22233088,406790144,0,0,
09-10 15:49:17,14.638,3.947,79.934,1.480,0,0,7204864,314527744,15675351040,22241280,407957504,0,0,
09-10 15:49:18,13.531,4.290,82.178,0,0,0,0,314408960,15674171392,22241280,409079808,0,0,
09-10 15:49:19,14.590,4.426,80.656,0.328,0,0,4194304,314843136,15672111104,22257664,410451968,0,0,
09-10 15:49:20,14.262,4.262,81.475,0,0,0,0,315023360,15670779904,22257664,411418624,0,0,
09-10 15:49:21,13.443,5.082,81.475,0,0,0,0,314548224,15669694464,22257664,412725248,0,0,
09-10 15:49:22,14.403,4.419,79.869,1.309,0,0,4472832,314740736,15668146176,22265856,413904896,0,0,
09-10 15:49:23,14.634,5.041,80.163,0.163,0,0,4202496,315215872,15666458624,22282240,414900224,0,0,
09-10 15:49:24,13.531,4.455,82.013,0,0,0,0,315138048,15665168384,22282240,416092160,0,0,
09-10 15:49:25,13.180,5.107,81.713,0,0,0,0,314810368,15664132096,22282240,417267712,0,0,
09-10 15:49:26,13.180,5.272,81.384,0.165,0,0,2097152,314974208,15658364928,22282240,422653952,0,0,
09-10 15:49:27,15.423,7.794,72.139,4.643,0,4096,73957376,315355136,15664005120,22638592,415916032,0,0,
09-10 15:49:28,13.015,5.107,81.878,0,0,0,0,315539456,15662477312,22638592,417091584,0,0,
09-10 15:49:29,14.122,4.598,80.952,0.328,0,0,4214784,315641856,15660867584,22654976,418349056,0,0,
09-10 15:49:30,13.644,3.827,82.529,0,0,0,0,315502592,15659720704,22654976,419454976,0,0,
09-10 15:49:31,13.957,4.433,81.609,0,0,0,0,315449344,15658590208,22654976,420495360,0,0,
09-10 15:49:32,13.719,4.463,80.661,1.157,0,0,4296704,315338752,15657222144,22663168,421744640,0,0,
09-10 15:49:33,14.168,4.283,81.054,0.494,0,0,4198400,315703296,15655358464,22679552,422973440,0,0,
09-10 15:49:34,13.201,4.785,82.013,0,0,0,0,315564032,15654068224,22679552,424214528,0,0,
09-10 15:49:35,12.993,5.263,81.743,0,0,0,0,315543552,15653191680,22679552,424976384,0,0,
09-10 15:49:36,13.980,4.605,81.086,0.329,0,0,4206592,315957248,15650750464,22695936,426729472,0,0,
09-10 15:49:37,14.521,3.630,81.188,0.660,0,0,1806336,316669952,15648800768,22704128,427773952,0,0,
09-10 15:49:38,13.388,4.463,81.818,0.331,0,0,2322432,315789312,15648632832,22704128,428654592,0,0,
09-10 15:49:39,14.566,4.092,81.342,0,0,0,0,315555840,15647309824,22704128,429993984,0,0,
09-10 15:49:40,21.157,6.281,68.926,3.636,0,4096,65720320,317788160,15645474816,23027712,428843008,0,0,
09-10 15:49:41,13.629,5.747,79.803,0.821,0,0,14123008,318021632,15645167616,23101440,428642304,0,0,
09-10 15:49:42,13.793,4.926,80.788,0.493,0,0,4202496,317779968,15639830528,23117824,434036736,0,0,
09-10 15:49:43,12.893,5.124,81.818,0.165,0,0,98304,318058496,15642427392,23126016,430944256,0,0,
09-10 15:49:44,12.769,4.809,82.421,0,0,0,0,318320640,15640756224,23126016,432181248,0,0,
09-10 15:49:45,13.300,5.090,81.609,0,0,0,0,317947904,15639592960,23126016,433500160,0,0,
09-10 15:49:46,13.487,5.099,80.921,0.493,0,0,4210688,318464000,15637905408,23142400,434470912,0,0,
09-10 15:49:47,13.079,4.801,81.954,0.166,0,0,12288,318087168,15636582400,23150592,435924992,0,0,
09-10 15:49:48,13.934,4.590,81.475,0,0,0,8192,318251008,15635181568,23150592,437006336,0,0,
09-10 15:49:49,15.073,4.538,79.903,0.486,0,0,4222976,318791680,15633113088,23166976,438317056,0,0,
09-10 15:49:50,13,4.333,82.667,0,0,0,0,318787584,15631982592,23166976,439304192,0,0,
09-10 15:49:51,14.239,4.255,81.506,0,0,0,0,318455808,15630643200,23166976,440733696,0,0,
09-10 15:49:52,12.850,5.272,81.549,0.329,0,0,12288,318386176,15629352960,23175168,441905152,0,0,
09-10 15:49:53,17.666,8.266,69.854,4.214,0,4096,72450048,318312448,15627472896,23547904,442802176,0,0,
09-10 15:49:54,14.778,4.269,80.624,0.328,0,0,6451200,318930944,15629975552,23580672,439554048,0,0,
09-10 15:49:55,14.638,4.112,81.250,0,0,0,0,318824448,15628668928,23580672,440774656,0,0,
09-10 15:49:56,14.450,4.269,80.952,0.328,0,0,4222976,319336448,15626997760,23597056,441761792,0,0,
09-10 15:49:57,13.957,4.433,81.281,0.328,0,0,12288,318971904,15625945088,23605248,442949632,0,0,
09-10 15:49:58,14.239,4.419,81.342,0,0,0,0,318722048,15624511488,23605248,444432384,0,0,
09-10 15:49:59,13.366,5.116,81.188,0.330,0,0,4206592,319262720,15622713344,23621632,445517824,0,0,
09-10 15:50:00,13.884,4.132,81.983,0,0,0,0,318849024,15621517312,23621632,446877696,0,0,
09-10 15:50:01,14.215,3.636,82.149,0,0,0,0,319004672,15620005888,23621632,448086016,0,0,
09-10 15:50:02,13.300,5.090,81.609,0,0,0,0,319156224,15618539520,23621632,449191936,0,0,
09-10 15:50:03,13.223,4.959,81.157,0.661,0,0,4222976,319262720,15617011712,23646208,450404352,0,0,
09-10 15:50:04,13.861,4.125,82.013,0,0,0,0,319016960,15615832064,23646208,451633152,0,0,
09-10 15:50:05,13.101,4.478,82.421,0,0,0,0,318853120,15614668800,23646208,452792320,0,0,
09-10 15:50:06,16.997,5.116,74.917,2.970,0,0,43634688,318541824,15612694528,23875584,454410240,0,0,
09-10 15:50:07,15.372,4.959,77.686,1.983,0,8192,32526336,319709184,15615418368,24055808,450252800,0,0,
09-10 15:50:08,14.356,3.795,81.353,0.495,0,0,7221248,319361024,15614193664,24064000,451538944,0,0,
09-10 15:50:09,14.286,4.433,80.952,0.328,0,0,4231168,319823872,15612284928,24088576,452796416,0,0,
09-10 15:50:10,13.599,3.980,82.421,0,0,0,0,319459328,15611248640,24088576,454017024,0,0,
09-10 15:50:11,13.455,3.987,82.558,0,0,0,0,319254528,15610068992,24088576,455204864,0,0,
09-10 15:50:12,12.646,4.992,82.196,0.166,0,0,4210688,319614976,15608143872,24104960,456585216,0,0,
09-10 15:50:13,13.980,4.276,81.414,0.329,0,0,12288,319594496,15606853632,24113152,457678848,0,0,
09-10 15:50:14,13.562,5.229,81.209,0,0,0,0,319721472,15605293056,24113152,458919936,0,0,
09-10 15:50:15,13.388,4.463,82.149,0,0,0,0,319500288,15604273152,24113152,460013568,0,0,
09-10 15:50:16,13.907,4.139,81.788,0.166,0,0,4210688,319954944,15602364416,24129536,461160448,0,0,
09-10 15:50:17,13.889,4.902,81.209,0,0,0,0,319733760,15600914432,24129536,462610432,0,0,
09-10 15:50:18,13.421,5.237,81.015,0.327,0,0,20480,319471616,15599767552,24137728,463851520,0,0,
09-10 15:50:19,16.283,5.592,76.480,1.645,0,0,53604352,319688704,15595094016,24371200,467537920,0,0,
