"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c6b2ff8a1d78",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","18 Oct 2022 01:30:02 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
18-10 01:30:02,0.218,0.112,99.540,0.130,0,102858.604,713554.259,447582208,14533115904,16084992,1434660864,6.060,13.594,
18-10 01:30:03,2.843,1.672,91.806,3.679,0,172032,15527936,487362560,14448209920,16097280,1479573504,0,0,
18-10 01:30:04,10.465,1.329,75.748,12.458,0,1224704,29331456,487231488,14604812288,1761280,1339494400,0,0,
18-10 01:30:05,3.846,0,90.970,5.184,0,2387968,0,487436288,14602129408,3268608,1340448768,0,0,
18-10 01:30:06,12.183,3.892,83.926,0,0,0,0,488071168,14601478144,3268608,1340448768,0,0,
18-10 01:30:07,13.969,3.748,82.283,0,0,0,0,488071168,14601478144,3268608,1340448768,0,0,
18-10 01:30:08,13.198,4.907,81.895,0,0,0,0,488071168,14601478144,3268608,1340448768,0,0,
18-10 01:30:09,14.068,3.559,82.034,0.339,0,4096,28672,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:10,13.659,4.216,82.125,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:11,13.220,4.407,82.373,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:12,13.514,4.392,82.095,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:13,12.373,5.085,82.542,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:14,13.875,3.892,82.234,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:15,13.468,4.714,81.818,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:16,14.070,4.355,81.575,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:17,13.514,4.392,82.095,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:18,13.950,4.202,81.849,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:19,14.286,4.202,81.513,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:20,12.479,4.274,83.248,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:21,13.367,4.399,82.234,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:22,13.536,4.230,82.234,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:23,13.220,4.237,82.542,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:24,13.828,4.216,81.956,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:25,14.068,3.559,82.373,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:26,12.458,5.556,81.987,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:27,12.969,4.096,82.935,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:28,13.636,4.545,81.818,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:29,13.898,3.729,82.373,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:30,13.973,4.040,81.987,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:31,13.805,4.377,81.818,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:32,14.454,3.866,81.681,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:33,13.582,3.735,82.683,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:34,12.947,4.259,82.794,0,0,0,0,488058880,14601478144,3280896,1340448768,0,0,
18-10 01:30:35,13.729,3.898,82.373,0,0,0,192512,487960576,14601576448,3280896,1340448768,0,0,
18-10 01:30:36,14.068,3.559,82.373,0,0,0,0,487960576,14601576448,3280896,1340448768,0,0,
18-10 01:30:37,14.597,3.691,81.711,0,0,0,0,487960576,14601576448,3280896,1340448768,0,0,
18-10 01:30:38,13.073,4.414,82.513,0,0,0,0,487960576,14601576448,3280896,1340448768,0,0,
18-10 01:30:39,13.536,4.230,82.234,0,0,0,0,487960576,14601576448,3280896,1340448768,0,0,
18-10 01:30:40,13.613,4.538,81.849,0,0,0,0,487960576,14601576448,3280896,1340448768,0,0,
18-10 01:30:41,14.622,3.697,81.513,0.168,0,0,24576,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:42,13.288,3.918,82.794,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:43,13.997,3.879,82.125,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:44,12.947,4.259,82.794,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:45,14.070,4.355,81.575,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:46,13.805,4.377,81.818,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:47,13.903,4.690,81.407,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:48,12.925,4.252,82.823,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:49,13.898,3.729,82.373,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:50,13.926,4.530,81.544,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:51,12.733,4.584,82.683,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:52,13.582,3.905,82.513,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:53,14.552,3.723,81.726,0,0,0,0,487952384,14601576448,3289088,1340448768,0,0,
18-10 01:30:54,13.568,4.858,81.240,0.335,0,4096,0,487948288,14601576448,3289088,1340452864,0,0,
18-10 01:30:55,13.468,4.714,81.818,0,0,0,0,487948288,14601576448,3289088,1340452864,0,0,
18-10 01:30:56,13.636,4.377,81.987,0,0,0,0,487948288,14601576448,3289088,1340452864,0,0,
18-10 01:30:57,13.805,4.377,81.818,0,0,0,0,487948288,14601576448,3289088,1340452864,0,0,
18-10 01:30:58,14.213,3.384,82.403,0,0,0,0,487948288,14601576448,3289088,1340452864,0,0,
18-10 01:30:59,13.243,4.244,82.343,0.170,0,0,12288,487940096,14601576448,3297280,1340452864,0,0,
18-10 01:31:00,13.491,4.553,81.956,0,0,0,0,487940096,14601576448,3297280,1340452864,0,0,
18-10 01:31:01,13.073,4.414,82.513,0,0,0,0,487940096,14601576448,3297280,1340452864,0,0,
18-10 01:31:02,13.413,4.244,80.985,1.358,0,835584,0,488087552,14600593408,4132864,1340452864,0,0,
18-10 01:31:03,12.690,4.907,82.403,0,0,0,0,488087552,14600593408,4132864,1340452864,0,0,
18-10 01:31:04,13.559,4.068,82.373,0,0,0,0,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:05,13.828,4.216,81.956,0,0,0,0,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:06,14.334,3.541,82.125,0,0,0,8192,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:07,12.606,4.600,82.794,0,0,0,0,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:08,15.243,3.350,81.407,0,0,0,0,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:09,13.536,4.061,82.403,0,0,0,0,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:10,13.109,5.210,81.681,0,0,0,0,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:11,13.109,5.210,81.681,0,0,0,12288,488214528,14600466432,4132864,1340452864,0,0,
18-10 01:31:12,13.153,4.890,81.619,0.337,0,0,12288,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:13,13.491,4.384,82.125,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:14,13.073,4.414,82.513,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:15,13.568,5.025,81.407,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:16,14.382,3.384,82.234,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:17,12.799,4.096,83.106,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:18,13.220,4.407,82.373,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:19,13.468,4.714,81.818,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:20,13.875,3.723,82.403,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:21,14.334,3.710,81.956,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:22,12.690,5.076,82.234,0,0,0,0,488206336,14600466432,4141056,1340452864,0,0,
18-10 01:31:23,13.243,4.075,82.683,0,0,0,0,488333312,14600339456,4141056,1340452864,0,0,
18-10 01:31:24,13.095,4.252,82.653,0,0,0,0,488333312,14600339456,4141056,1340452864,0,0,
18-10 01:31:25,12.350,4.288,83.362,0,0,0,0,488333312,14600339456,4141056,1340452864,0,0,
18-10 01:31:26,13.255,5.034,81.711,0,0,0,4096,488333312,14600339456,4141056,1340452864,0,0,
18-10 01:31:27,13.243,4.244,82.513,0,0,0,0,488333312,14600339456,4141056,1340452864,0,0,
18-10 01:31:28,13.559,3.898,82.373,0.169,0,131072,0,488316928,14600212480,4276224,1340461056,0,0,
18-10 01:31:29,14.454,3.866,81.681,0,0,0,0,488316928,14600212480,4276224,1340461056,0,0,
18-10 01:31:30,13.131,4.882,81.987,0,0,0,0,488316928,14600212480,4276224,1340461056,0,0,
18-10 01:31:31,13.131,5.051,81.818,0,0,0,0,488316928,14600212480,4276224,1340461056,0,0,
18-10 01:31:32,13.659,4.216,81.956,0.169,0,0,4096,488312832,14600212480,4280320,1340461056,0,0,
18-10 01:31:33,13.367,4.569,82.064,0,0,0,12288,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:34,13.345,4.392,82.264,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:35,14.044,3.723,82.234,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:36,13.903,4.690,81.407,0,0,0,8192,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:37,13.758,4.530,81.711,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:38,13.922,3.565,82.513,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:39,13.468,4.714,81.818,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:40,12.941,5.210,81.849,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:41,13.582,3.905,82.513,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:42,13.973,4.040,81.987,0,0,0,0,488304640,14600212480,4288512,1340461056,0,0,
18-10 01:31:43,13.095,4.252,82.313,0.340,0,0,12288,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:44,13.153,4.722,82.125,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:45,13.752,3.735,82.513,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:46,12.733,4.584,82.683,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:47,13.880,4.849,81.271,0,0,0,4096,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:48,12.542,5.085,82.373,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:49,13.435,3.912,82.653,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:50,13.851,3.885,82.264,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:51,14.141,4.040,81.818,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:52,13.491,4.553,81.956,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:53,13.636,4.377,81.987,0,0,0,0,488296448,14600212480,4296704,1340461056,0,0,
18-10 01:31:54,14.094,4.362,81.544,0,0,0,0,488292352,14600212480,4296704,1340465152,0,0,
18-10 01:31:55,13.706,4.061,82.234,0,0,0,0,488292352,14600212480,4296704,1340465152,0,0,
18-10 01:31:56,13.636,4.545,81.818,0,0,0,0,488292352,14600212480,4296704,1340465152,0,0,
18-10 01:31:57,13.322,4.553,82.125,0,0,0,0,488292352,14600212480,4296704,1340465152,0,0,
18-10 01:31:58,13.828,4.384,81.788,0,0,4096,8192,488288256,14600212480,4300800,1340465152,0,0,
18-10 01:31:59,13.613,4.706,81.345,0.336,0,0,12288,488288256,14600212480,4308992,1340456960,0,0,
18-10 01:32:00,13.851,4.054,82.095,0,0,0,0,488280064,14600212480,4308992,1340465152,0,0,
18-10 01:32:01,13.729,3.898,82.373,0,0,0,0,488280064,14600212480,4308992,1340465152,0,0,
18-10 01:32:02,14.189,3.547,82.264,0,0,0,0,488280064,14600212480,4308992,1340465152,0,0,
