"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","5dee49558cbe",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","18 Oct 2022 02:20:24 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
18-10 02:20:24,0.223,0.113,99.534,0.130,0,102878.058,713282.573,288641024,14692143104,16220160,1434959872,6.057,13.588,
18-10 02:20:25,2.843,1.338,89.967,5.853,0,40960,37715968,327856128,14608216064,16232448,1479630848,0,0,
18-10 02:20:26,11.481,1.165,78.536,8.819,0,2338816,6594560,328257536,14762541056,2064384,1340665856,0,0,
18-10 02:20:27,2.174,1.003,96.823,0,0,0,0,328503296,14762278912,2064384,1340665856,0,0,
18-10 02:20:28,12.310,5.228,82.462,0,0,0,0,328503296,14762278912,2064384,1340665856,0,0,
18-10 02:20:29,13.243,3.565,82.683,0.509,0,8192,0,328749056,14762024960,2072576,1340665856,0,0,
18-10 02:20:30,13.095,3.571,81.463,1.871,0,1118208,0,328503296,14761103360,3190784,1340665856,0,0,
18-10 02:20:31,11.973,4.384,83.642,0,0,0,0,328630272,14760976384,3190784,1340665856,0,0,
18-10 02:20:32,11.933,4.706,82.857,0.504,0,4096,28672,328617984,14760976384,3203072,1340665856,0,0,
18-10 02:20:33,11.933,4.874,83.193,0,0,0,0,328617984,14760976384,3203072,1340665856,0,0,
18-10 02:20:34,12.310,4.047,83.642,0,0,0,0,328617984,14760976384,3203072,1340665856,0,0,
18-10 02:20:35,12.773,3.866,83.193,0.168,0,135168,0,328736768,14760722432,3338240,1340665856,0,0,
18-10 02:20:36,12.060,5.025,82.915,0,0,0,0,328736768,14760722432,3338240,1340665856,0,0,
18-10 02:20:37,11.636,4.722,83.642,0,0,0,0,328736768,14760722432,3338240,1340665856,0,0,
18-10 02:20:38,11.973,4.553,83.474,0,0,0,0,328863744,14760595456,3338240,1340665856,0,0,
18-10 02:20:39,12.081,4.698,83.221,0,0,0,0,328863744,14760595456,3338240,1340665856,0,0,
18-10 02:20:40,12.054,4.075,83.871,0,0,0,0,328863744,14760595456,3338240,1340665856,0,0,
18-10 02:20:41,12.207,5.017,82.776,0,0,0,0,328863744,14760595456,3338240,1340665856,0,0,
18-10 02:20:42,12.183,4.061,83.756,0,0,0,0,328863744,14760595456,3338240,1340665856,0,0,
18-10 02:20:43,12.207,5.017,82.776,0,0,0,0,328863744,14760595456,3338240,1340665856,0,0,
