"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","1838ccaf0ccc",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","18 Oct 2022 00:38:12 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
18-10 00:38:12,0.214,0.110,99.547,0.130,0,102685.705,713421.886,284626944,15634395136,188321792,282869760,6.062,13.600,
18-10 00:38:13,5.676,2.671,90.651,1.002,0,73728,196608,325406720,15547609088,188342272,328695808,0,0,
18-10 00:38:14,18.274,6.091,73.773,1.861,0,0,63512576,334618624,15498829824,188612608,367931392,0,0,
18-10 00:38:15,18.562,4.682,74.247,2.508,0,4096,78684160,334888960,15473004544,188977152,392949760,0,0,
18-10 00:38:16,13.758,7.215,78.523,0.503,0,0,13684736,335069184,15466893312,189042688,398798848,0,0,
18-10 00:38:17,13.659,7.083,78.583,0.675,0,0,19779584,335155200,15461019648,189132800,404463616,0,0,
18-10 00:38:18,14.696,5.912,74.493,4.899,0,0,52563968,335597568,15454441472,189173760,410554368,0,0,
18-10 00:38:19,14.118,6.050,79.328,0.504,0,0,10682368,335028224,15449346048,189222912,416153600,0,0,
18-10 00:38:20,13.997,5.902,79.595,0.506,0,0,10792960,334868480,15443505152,189280256,422096896,0,0,
18-10 00:38:21,15.709,5.068,78.378,0.845,0,0,23384064,335220736,15437139968,189378560,427995136,0,0,
18-10 00:38:22,13.682,5.574,80.574,0.169,0,0,4304896,335163392,15431426048,189394944,433750016,0,0,
18-10 00:38:23,15.825,5.387,77.104,1.684,0,4096,31055872,335196160,15422775296,189571072,442171392,0,0,
18-10 00:38:24,16.639,5.990,74.875,2.496,0,0,62865408,334430208,15390535680,189939712,474681344,0,0,
18-10 00:38:25,15.008,7.083,75.885,2.024,0,0,51687424,334123008,15371804672,190255104,493334528,0,0,
18-10 00:38:26,13.926,6.208,78.859,1.007,0,4096,21053440,333959168,15365820416,190398464,499322880,0,0,
18-10 00:38:27,13.491,5.565,80.607,0.337,0,0,8613888,334385152,15359328256,190431232,505339904,0,0,
18-10 00:38:28,14.262,5.369,79.866,0.503,0,0,9986048,334385152,15353708544,190496768,510861312,0,0,
18-10 00:38:29,16.162,5.556,75.589,2.694,0,0,65351680,336097280,15316787200,190873600,545628160,0,0,
18-10 00:38:30,15.825,5.724,75.758,2.694,0,4096,64290816,335540224,15297404928,191295488,565018624,0,0,
18-10 00:38:31,14.671,5.228,78.921,1.180,0,0,20013056,335798272,15290753024,191434752,571224064,0,0,
18-10 00:38:32,14.213,5.753,79.019,1.015,0,0,20393984,335937536,15284879360,191574016,576786432,0,0,
18-10 00:38:33,14.020,4.392,81.419,0.169,0,0,4300800,335544320,15278911488,191590400,583131136,0,0,
18-10 00:38:34,14.141,5.051,80.471,0.337,0,0,8609792,335831040,15273181184,191623168,588525568,0,0,
18-10 00:38:35,13.445,5.882,80.168,0.504,0,0,11501568,335601664,15267307520,191696896,594522112,0,0,
18-10 00:38:36,15.807,5.491,77.704,0.998,0,4096,23560192,336084992,15260545024,191856640,600604672,0,0,
18-10 00:38:37,13.051,4.915,81.695,0.339,0,0,4308992,334442496,15256338432,191873024,606416896,0,0,
18-10 00:38:38,13.851,6.588,78.716,0.845,0,0,23310336,334209024,15242100736,191987712,620769280,0,0,
18-10 00:38:39,17.420,5.193,74.037,3.350,0,0,75304960,334581760,15214968832,192487424,646934528,0,0,
18-10 00:38:40,17.568,4.730,74.155,3.547,0,4096,85041152,334966784,15174606848,192991232,686276608,0,0,
18-10 00:38:41,15.217,6.522,75.753,2.508,0,0,55246848,335937536,15154860032,193359872,704610304,0,0,
18-10 00:38:42,17.369,5.396,73.862,3.373,0,4096,81649664,335908864,15117574144,193830912,741384192,0,0,
18-10 00:38:43,16.723,5.743,72.973,4.561,0,4096,103002112,334614528,15084793856,194490368,774619136,0,0,
18-10 00:38:44,12.690,5.753,80.880,0.677,0,0,9007104,335122432,15077810176,194564096,781021184,0,0,
18-10 00:38:45,13.926,5.034,80.872,0.168,0,0,4370432,334901248,15072079872,194596864,786923520,0,0,
18-10 00:38:46,13.131,5.892,80.471,0.505,0,0,8663040,334417920,15062556672,194646016,796880896,0,0,
18-10 00:38:47,13.333,6.333,80,0.333,0,0,4431872,335110144,15060127744,194695168,798547968,0,0,
18-10 00:38:48,13.591,5.201,80.872,0.336,0,4096,4374528,334643200,15054667776,194732032,804438016,0,0,
18-10 00:38:49,14.454,4.874,80.168,0.504,0,0,8880128,334921728,15048335360,194797568,810393600,0,0,
18-10 00:38:50,13.265,4.592,81.803,0.340,0,0,4370432,334622720,15042875392,194830336,816119808,0,0,
18-10 00:38:51,13.605,4.252,81.803,0.340,0,0,4407296,334798848,15036891136,194871296,821870592,0,0,
18-10 00:38:52,13.613,5.714,80.168,0.504,0,0,8744960,334798848,15030779904,194936832,827899904,0,0,
18-10 00:38:53,13.659,4.890,81.113,0.337,0,0,4374528,334225408,15025573888,194969600,833646592,0,0,
18-10 00:38:54,14.333,5.667,79.500,0.500,0,0,8744960,334876672,15018774528,195035136,839729152,0,0,
18-10 00:38:55,14.883,4.348,80.435,0.334,0,0,4374528,334766080,15013367808,195067904,845197312,0,0,
18-10 00:38:56,13.468,5.219,80.976,0.337,0,0,4370432,334188544,15007907840,195100672,851202048,0,0,
18-10 00:38:57,14.120,6.312,78.738,0.831,0,0,11046912,335085568,15001034752,195207168,857055232,0,0,
18-10 00:38:58,14.238,4.858,80.570,0.335,0,0,4374528,334594048,14995685376,195239936,862846976,0,0,
18-10 00:38:59,13.659,4.890,81.113,0.337,0,0,4370432,334700544,14989844480,195272704,868548608,0,0,
18-10 00:39:00,14.286,6.050,78.992,0.672,0,4096,17453056,334991360,14983462912,195383296,874496000,0,0,
18-10 00:39:01,14.189,4.899,80.405,0.507,0,0,10571776,334745600,14977986560,195432448,880152576,0,0,
18-10 00:39:02,13.997,6.577,78.583,0.843,0,0,20697088,334790656,14971588608,195530752,886358016,0,0,
18-10 00:39:03,14.165,5.228,80.101,0.506,0,0,12435456,334872576,14965731328,195596288,892051456,0,0,
18-10 00:39:04,15.947,5.648,77.409,0.997,0,0,24383488,335409152,14958518272,195710976,898596864,0,0,
18-10 00:39:05,13.950,5.378,80.336,0.336,0,0,9789440,335028224,14953017344,195760128,904425472,0,0,
18-10 00:39:06,13.322,5.902,80.270,0.506,0,4096,9662464,334925824,14946398208,195813376,911073280,0,0,
18-10 00:39:07,14.790,5.546,78.655,1.008,0,0,22396928,334991360,14941159424,195919872,916103168,0,0,
18-10 00:39:08,16.471,5.378,75.294,2.857,0,0,56401920,337530880,14916206592,196206592,938156032,0,0,
18-10 00:39:09,17.815,5.210,73.445,3.529,0,4096,99745792,337059840,14880546816,196694016,973631488,0,0,
18-10 00:39:10,17.143,6.218,73.277,3.361,0,12288,97202176,337018880,14840184832,197181440,1013350400,0,0,
18-10 00:39:11,13.997,5.902,79.089,1.012,0,0,23908352,337371136,14834827264,197312512,1018220544,0,0,
18-10 00:39:12,13.828,5.396,80.438,0.337,0,0,11993088,336797696,14829105152,197369856,1024425984,0,0,
18-10 00:39:13,14.815,5.724,78.620,0.842,0,0,22413312,336265216,14816518144,197468160,1037447168,0,0,
18-10 00:39:14,14.430,5.369,79.698,0.503,0,0,11595776,335491072,14818914304,197533696,1035726848,0,0,
18-10 00:39:15,14.503,4.384,80.607,0.506,0,0,11538432,334950400,14813437952,197591040,1041670144,0,0,
18-10 00:39:16,15.423,5.970,77.778,0.829,0,0,21340160,335720448,14805929984,197697536,1048281088,0,0,
18-10 00:39:17,14.165,4.890,80.607,0.337,0,0,10424320,335405056,14800310272,197746688,1054134272,0,0,
18-10 00:39:18,14.646,6.061,78.451,0.842,0,0,23597056,335122432,14794723328,197853184,1059897344,0,0,
18-10 00:39:19,13.322,6.071,80.101,0.506,0,0,12664832,335167488,14788849664,197910528,1065631744,0,0,
18-10 00:39:20,14.310,6.061,78.788,0.842,0,0,20541440,335781888,14782205952,198008832,1071562752,0,0,
18-10 00:39:21,13.903,5.360,80.235,0.503,0,0,10059776,335196160,14776516608,198057984,1077772288,0,0,
18-10 00:39:22,14.740,5.863,78.559,0.838,0,0,20787200,335237120,14766342144,198156288,1087807488,0,0,
18-10 00:39:23,17.333,6,73.500,3.167,0,0,89325568,337174528,14733357056,198606848,1118277632,0,0,
