"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","60d90a8e5115",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","18 Oct 2022 03:10:46 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
18-10 03:10:46,0.228,0.115,99.528,0.130,0,102897.487,713010.835,449581056,14530965504,16080896,1435222016,6.056,13.583,
18-10 03:10:47,2.174,1.672,92.809,3.344,0,155648,20877312,488136704,14447529984,16080896,1479897088,0,0,
18-10 03:10:48,14.333,1.167,67.167,17.333,0,1789952,23875584,487432192,14603575296,2355200,1340129280,0,0,
18-10 03:10:49,5.455,0.331,90.413,3.802,0,1097728,0,488849408,14600970240,2461696,1341120512,0,0,
18-10 03:10:50,12.014,4.230,81.726,2.030,0,1126400,0,488878080,14599778304,3588096,1341108224,0,0,
18-10 03:10:51,14.527,4.561,80.912,0,0,0,0,488865792,14599778304,3588096,1341120512,0,0,
18-10 03:10:52,13.729,4.237,82.034,0,0,0,0,488865792,14599778304,3588096,1341120512,0,0,
18-10 03:10:53,13.435,4.252,81.973,0.340,0,4096,28672,488865792,14599778304,3600384,1341108224,0,0,
18-10 03:10:54,14.094,4.362,81.208,0.336,0,135168,0,488837120,14599794688,3735552,1340985344,0,0,
18-10 03:10:55,13.950,4.370,81.681,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:10:56,13.367,4.230,82.403,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:10:57,13.682,4.223,82.095,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:10:58,13.851,4.054,82.095,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:10:59,14.094,4.362,81.544,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:11:00,13.613,4.706,81.681,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:11:01,13.198,4.569,82.234,0,0,0,0,488828928,14599667712,3735552,1341120512,0,0,
18-10 03:11:02,14.430,4.027,80.201,1.342,0,700416,0,488890368,14598905856,4435968,1341120512,0,0,
18-10 03:11:03,13.851,4.054,82.095,0,0,0,0,488890368,14598905856,4435968,1341120512,0,0,
18-10 03:11:04,13.682,4.223,82.095,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:05,13.198,4.569,82.234,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:06,13.468,4.714,81.818,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:07,13.828,4.047,82.125,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:08,13.729,3.898,82.373,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:09,13.400,5.193,81.407,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:10,14.696,3.209,82.095,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:11,13.322,4.722,81.956,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:12,14.070,4.355,81.575,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:13,13.758,4.698,81.544,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:14,13.514,4.392,82.095,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:15,13.491,4.384,82.125,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:16,13.851,4.054,82.095,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:17,13.367,4.399,82.234,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:18,13.390,4.068,82.542,0,0,0,0,489017344,14598778880,4435968,1341120512,0,0,
18-10 03:11:19,13.051,4.576,82.373,0,0,0,192512,488968192,14598828032,4435968,1341120512,0,0,
18-10 03:11:20,13.029,4.569,82.403,0,0,0,0,488968192,14598828032,4435968,1341120512,0,0,
18-10 03:11:21,13.514,4.392,82.095,0,0,0,0,488968192,14598828032,4435968,1341120512,0,0,
18-10 03:11:22,13.345,4.561,82.095,0,0,0,0,488968192,14598828032,4435968,1341120512,0,0,
18-10 03:11:23,13.752,3.735,82.513,0,0,0,0,488968192,14598828032,4435968,1341120512,0,0,
18-10 03:11:24,13.468,4.714,81.650,0.168,0,0,24576,488968192,14598828032,4444160,1341112320,0,0,
18-10 03:11:25,13.582,3.905,82.513,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:26,13.689,5.008,81.302,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:27,13.243,4.244,82.513,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:28,13.729,3.898,82.373,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:29,13.233,5.360,81.407,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:30,13.413,4.075,82.513,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:31,13.729,3.898,82.373,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:32,14.381,4.348,81.271,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:33,13.605,3.571,82.823,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:34,13.514,4.392,82.095,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:35,13.706,4.061,82.234,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:36,14.357,4.508,81.135,0,0,0,0,488960000,14598828032,4444160,1341120512,0,0,
18-10 03:11:37,13.950,4.370,81.345,0.336,0,4096,0,488955904,14598828032,4444160,1341124608,0,0,
18-10 03:11:38,13.243,4.584,82.173,0,0,0,0,488955904,14598828032,4444160,1341124608,0,0,
18-10 03:11:39,14.503,3.373,82.125,0,0,0,0,488955904,14598828032,4444160,1341124608,0,0,
18-10 03:11:40,12.795,5.387,81.818,0,0,0,0,488955904,14598828032,4444160,1341124608,0,0,
18-10 03:11:41,13.322,4.722,81.956,0,0,0,0,488955904,14598828032,4444160,1341124608,0,0,
18-10 03:11:42,13.752,3.735,82.343,0.170,0,0,12288,488951808,14598828032,4452352,1341120512,0,0,
18-10 03:11:43,13.851,4.054,82.095,0,0,0,0,488947712,14598828032,4452352,1341124608,0,0,
18-10 03:11:44,13.973,4.209,81.818,0,0,0,0,489074688,14598701056,4452352,1341124608,0,0,
18-10 03:11:45,13.140,3.925,82.935,0,0,0,0,489074688,14598701056,4452352,1341124608,0,0,
18-10 03:11:46,13.926,4.362,81.711,0,0,0,0,489074688,14598701056,4452352,1341124608,0,0,
18-10 03:11:47,13.176,4.730,82.095,0,0,0,0,489074688,14598701056,4452352,1341124608,0,0,
