"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","b2c6aa29bd28",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","18 Oct 2022 16:21:18 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
18-10 16:21:18,0.083,0.022,99.884,0.010,0,6891.810,24424.271,280518656,15846596608,17199104,269090816,0,0,
18-10 16:21:19,3.667,2.167,84.333,9.833,0,167936,44597248,308449280,15860203520,688128,242749440,0,0,
18-10 16:21:20,18.586,0.164,74.178,7.072,0,3289088,0,309121024,15860224000,2973696,243507200,0,0,
18-10 16:21:21,7.553,2.791,89.163,0.493,0,143360,0,310255616,15856844800,3112960,245551104,0,0,
18-10 16:21:22,15.107,5.090,79.310,0.493,0,147456,4292608,313667584,15848443904,3268608,250183680,0,0,
18-10 16:21:23,16.639,5.220,77.488,0.653,0,0,17240064,310636544,15842533376,3342336,258760704,0,0,
18-10 16:21:24,16.060,6.457,75.497,1.987,0,0,66732032,316825600,15802953728,3612672,290996224,0,0,
18-10 16:21:25,16.779,6.040,73.658,3.523,0,12288,96075776,314540032,15766048768,4075520,328777728,0,0,
18-10 16:21:26,16.167,6.833,74,3,0,4096,83484672,316694528,15733563392,4489216,357695488,0,0,
18-10 16:21:27,15.833,6.500,74.667,3,0,0,70098944,317329408,15699775488,4907008,389783552,0,0,
18-10 16:21:28,17.362,5.843,73.122,3.673,0,4096,82919424,317431808,15664066560,5423104,423727104,0,0,
18-10 16:21:29,16.528,6.511,73.122,3.840,0,4096,88981504,316493824,15630778368,5959680,456245248,0,0,
18-10 16:21:30,16.583,5.863,74.539,3.015,0,0,71024640,315678720,15592939520,6369280,493604864,0,0,
18-10 16:21:31,16.667,6.167,73.833,3.333,0,4096,77131776,316235776,15560552448,6848512,524165120,0,0,
18-10 16:21:32,15.578,6.868,73.534,4.020,0,4096,87027712,316264448,15526891520,7393280,556273664,0,0,
18-10 16:21:33,16.750,5.863,74.037,3.350,0,0,84545536,316317696,15478022144,7860224,603594752,0,0,
18-10 16:21:34,16.415,5.695,74.539,3.350,0,4096,70356992,318758912,15455870976,8323072,621760512,0,0,
18-10 16:21:35,16.473,6.323,74.043,3.161,0,0,73535488,316313600,15423217664,8773632,655601664,0,0,
18-10 16:21:36,16.167,6.667,73.333,3.833,0,8192,83726336,318238720,15387426816,9338880,687935488,0,0,
18-10 16:21:37,16.221,5.518,76.421,1.839,0,4096,35016704,317861888,15352557568,9613312,722055168,0,0,
18-10 16:21:38,16.833,5,76.167,2,0,0,35012608,318812160,15315447808,9883648,756994048,0,0,
18-10 16:21:39,15.878,5.068,77.196,1.858,0,4096,36028416,316850176,15278465024,10158080,794648576,0,0,
18-10 16:21:40,16.361,6.177,74.290,3.172,0,0,87506944,317251584,15248801792,10584064,822788096,0,0,
18-10 16:21:41,16.583,6.533,73.702,3.183,0,4096,91697152,318291968,15212802048,11014144,856322048,0,0,
18-10 16:21:42,17.167,5.500,74.333,3,0,4096,88788992,317300736,15176044544,11427840,892477440,0,0,
18-10 16:21:43,17.138,6.489,73.045,3.328,0,4096,89612288,317751296,15138545664,11857920,928362496,0,0,
18-10 16:21:44,16.583,6.533,73.702,3.183,0,4096,92741632,318750720,15101755392,12304384,962465792,0,0,
18-10 16:21:45,16.216,5.912,74.662,3.209,0,4096,88854528,318398464,15067336704,12734464,995966976,0,0,
18-10 16:21:46,16.750,6.198,73.702,3.350,0,4096,85909504,317865984,15033917440,13291520,1028235264,0,0,
18-10 16:21:47,16.583,6.030,72.529,4.858,0,593920,83992576,320069632,14996041728,14168064,1061920768,0,0,
18-10 16:21:48,17.755,5.025,74.037,3.183,0,4096,88580096,321904640,14963240960,14598144,1091653632,0,0,
18-10 16:21:49,18,5.833,72.333,3.833,0,4096,97693696,321646592,14920531968,15069184,1133228032,0,0,
18-10 16:21:50,16.216,5.574,75.169,3.041,0,4096,77742080,318525440,14895161344,15474688,1160187904,0,0,
18-10 16:21:51,16.611,6.040,74.161,3.188,0,4096,87535616,317935616,14857179136,15912960,1197420544,0,0,
18-10 16:21:52,16.140,6.822,73.877,3.161,0,4096,88039424,317661184,14828015616,16343040,1225576448,0,0,
18-10 16:21:53,15.993,6.566,74.074,3.367,0,0,87744512,318443520,14791147520,16769024,1259954176,0,0,
18-10 16:21:54,17.333,5.500,74,3.167,0,0,91570176,317071360,14752342016,17215488,1298788352,0,0,
18-10 16:21:55,16.694,6.116,74.380,2.810,0,0,78163968,318054400,14724116480,17580032,1325006848,0,0,
18-10 16:21:56,17.479,5.042,73.950,3.529,0,0,92233728,319119360,14688133120,18018304,1358331904,0,0,
18-10 16:21:57,15.940,6.208,74.497,3.356,0,0,91103232,318906368,14655361024,18448384,1390084096,0,0,
18-10 16:21:58,17,5.667,74,3.333,0,0,84189184,318283776,14617247744,18911232,1427271680,0,0,
18-10 16:21:59,16.275,5.872,73.993,3.859,0,0,85262336,320634880,14585360384,19472384,1455230976,0,0,
18-10 16:22:00,16.667,6.167,73,4.167,0,4096,91168768,319561728,14552129536,20045824,1488060416,0,0,
18-10 16:22:01,16.944,5.814,73.754,3.488,0,4096,78061568,319938560,14516781056,20553728,1521741824,0,0,
18-10 16:22:02,17.247,5.970,71.642,5.141,0,507904,90308608,319832064,14483443712,21630976,1552842752,0,0,
18-10 16:22:03,17.195,5.509,73.623,3.673,0,8192,89501696,318533632,14444089344,22183936,1592135680,0,0,
18-10 16:22:04,16.162,5.892,73.906,4.040,0,0,82149376,319270912,14415462400,22740992,1618571264,0,0,
18-10 16:22:05,16.473,5.990,73.710,3.827,0,0,82632704,319504384,14381862912,23289856,1650176000,0,0,
18-10 16:22:06,16.694,6.511,72.788,4.007,0,0,89915392,320966656,14345273344,23871488,1683673088,0,0,
18-10 16:22:07,16.779,5.705,73.658,3.859,0,0,82821120,319426560,14308139008,24395776,1720897536,0,0,
18-10 16:22:08,17.110,5.482,73.422,3.987,0,0,82276352,319066112,14278766592,24952832,1749147648,0,0,
18-10 16:22:09,17.579,6.136,72.305,3.980,0,0,87703552,320036864,14242107392,25513984,1783177216,0,0,
18-10 16:22:10,17.471,5.657,72.712,4.160,0,0,91926528,321232896,14207664128,26095616,1814982656,0,0,
18-10 16:22:11,16.583,5.863,73.534,4.020,0,4096,88952832,319504384,14170189824,26624000,1852612608,0,0,
18-10 16:22:12,16.279,7.143,72.757,3.821,0,0,85766144,319102976,14135496704,27164672,1886248960,0,0,
18-10 16:22:13,17.487,4.584,73.684,4.244,0,0,91209728,319475712,14102773760,27738112,1917046784,0,0,
18-10 16:22:14,17.391,5.017,73.746,3.846,0,0,87953408,322514944,14067433472,28303360,1948139520,0,0,
18-10 16:22:15,16.694,6.010,73.122,4.174,0,0,89759744,322805760,14032183296,28864512,1981222912,0,0,
18-10 16:22:16,15.772,6.711,73.993,3.523,0,0,85184512,320798720,13996257280,29401088,2017947648,0,0,
