"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ac4d4c1cb6df",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","19 Oct 2022 10:26:38 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
19-10 10:26:38,0.114,0.034,99.832,0.020,0,8322.653,142235.278,276254720,15461007360,319778816,335020032,0.036,0.057,
19-10 10:26:39,6.579,3.125,89.309,0.987,0,798720,192512,307363840,15382155264,319791104,381390848,0,0,
19-10 10:26:40,17.799,5.502,76.214,0.485,0,0,4300800,311504896,15371608064,319799296,387485696,0,0,
19-10 10:26:41,17.799,5.825,75.405,0.971,0,0,12922880,312098816,15365582848,319836160,392716288,0,0,
19-10 10:26:42,18.979,4.944,75.439,0.638,0,0,8605696,311324672,15360446464,319864832,398458880,0,0,
19-10 10:26:43,18.285,5.502,74.919,1.294,0,0,19402752,307810304,15358173184,319942656,404152320,0,0,
19-10 10:26:44,17.264,5.375,64.332,13.029,0,0,53022720,306987008,15352180736,319971328,410570752,0,0,
19-10 10:26:45,16.013,5.882,77.288,0.817,0,0,10698752,307458048,15345754112,320004096,416382976,0,0,
19-10 10:26:46,17.476,5.987,75.243,1.294,0,0,19329024,307978240,15338704896,320061440,422629376,0,0,
19-10 10:26:47,15.980,5.437,77.430,1.153,0,0,13316096,306982912,15328882688,320110592,433188864,0,0,
19-10 10:26:48,18.740,4.523,75.444,1.292,0,0,16379904,307695616,15326543872,320184320,434544640,0,0,
19-10 10:26:49,17.638,5.987,74.919,1.456,0,0,21962752,307625984,15320190976,320270336,440700928,0,0,
19-10 10:26:50,17.609,4.523,77.544,0.323,0,0,4341760,307077120,15314657280,320286720,446672896,0,0,
19-10 10:26:51,16.393,6.066,76.066,1.475,0,0,19468288,306872320,15303802880,320352256,457482240,0,0,
19-10 10:26:52,18.760,6.036,71.452,3.752,0,0,84439040,309252096,15269769216,320643072,487944192,0,0,
19-10 10:26:53,16.667,6.500,73,3.833,0,4096,92274688,311595008,15227899904,321048576,525746176,0,0,
19-10 10:26:54,17.208,6.494,74.838,1.461,0,0,36126720,311144448,15216013312,321224704,537522176,0,0,
19-10 10:26:55,16.828,5.340,77.670,0.162,0,0,4300800,309981184,15211110400,321236992,543461376,0,0,
19-10 10:26:56,16.585,6.016,76.748,0.650,0,0,14680064,309547008,15201030144,321302528,553672704,0,0,
19-10 10:26:57,17.471,6.156,72.712,3.661,0,0,85721088,313532416,15163863040,321712128,585449472,0,0,
19-10 10:26:58,16.526,5.565,74.030,3.879,0,0,88449024,311820288,15125950464,322179072,623497216,0,0,
19-10 10:26:59,17.726,5.351,73.077,3.846,0,0,88391680,313163776,15084240896,322613248,662380544,0,0,
19-10 10:27:00,16.584,6.799,72.637,3.980,0,0,92041216,312283136,15045177344,323104768,700649472,0,0,
19-10 10:27:01,18.689,6.393,72.623,2.295,0,0,63541248,312524800,15012032512,323375104,732479488,0,0,
19-10 10:27:02,16.532,5.511,77.147,0.810,0,0,12472320,312590336,15014871040,323469312,729436160,0,0,
19-10 10:27:03,17.609,5.493,76.252,0.646,0,0,14397440,311517184,15004033024,323522560,741048320,0,0,
19-10 10:27:04,18.801,4.862,75.365,0.972,0,0,21082112,312852480,15001694208,323653632,741793792,0,0,
19-10 10:27:05,18.489,4.662,76.688,0.161,0,0,6221824,312156160,14992146432,323670016,751882240,0,0,
19-10 10:27:06,18.153,5.732,75.478,0.637,0,0,12431360,312668160,14989565952,323743744,753737728,0,0,
19-10 10:27:07,18.639,4.052,76.823,0.486,0,0,9990144,312582144,14983372800,323780608,759803904,0,0,
19-10 10:27:08,17.898,6.240,73.399,2.463,0,0,59990016,314068992,14960402432,324055040,780275712,0,0,
19-10 10:27:09,17.874,5.153,76.651,0.322,0,0,8613888,313806848,14954524672,324079616,786214912,0,0,
19-10 10:27:10,18.080,5.280,76,0.640,0,0,12017664,313569280,14948372480,324132864,792412160,0,0,
19-10 10:27:11,19.040,4.960,75.360,0.640,0,0,16146432,312389632,14941147136,324206592,800501760,0,0,
19-10 10:27:12,18.285,6.634,72.006,3.074,0,0,71553024,314986496,14910730240,324534272,827179008,0,0,
19-10 10:27:13,17.363,5.627,76.527,0.482,0,0,8740864,314220544,14905196544,324587520,833347584,0,0,
19-10 10:27:14,17.014,5.778,76.886,0.321,0,0,4403200,313556992,14899777536,324628480,839274496,0,0,
19-10 10:27:15,17.609,5.008,76.898,0.485,0,0,9023488,314503168,14892535808,324673536,845287424,0,0,
19-10 10:27:16,17.657,5.297,76.726,0.321,0,0,4374528,313720832,14887116800,324698112,851361792,0,0,
19-10 10:27:17,16.694,5.348,77.634,0.324,0,0,4374528,313815040,14880907264,324726784,857292800,0,0,
19-10 10:27:18,17.018,5.348,76.985,0.648,0,0,8744960,314028032,14874406912,324775936,863301632,0,0,
19-10 10:27:19,17.903,4.516,77.258,0.323,0,0,4370432,313565184,14868713472,324808704,869277696,0,0,
19-10 10:27:20,18.542,5.547,75.277,0.634,0,0,8749056,313925632,14861971456,324866048,875376640,0,0,
19-10 10:27:21,14.918,6.393,78.361,0.328,0,0,4403200,313946112,14856036352,324902912,881229824,0,0,
19-10 10:27:22,17.524,5.466,76.688,0.322,0,0,8675328,313581568,14845698048,324947968,891514880,0,0,
19-10 10:27:23,17.314,5.016,77.184,0.485,0,0,4444160,313765888,14843617280,324980736,893272064,0,0,
19-10 10:27:24,18.283,5.246,76.153,0.318,0,0,4370432,313393152,14837780480,325009408,899309568,0,0,
19-10 10:27:25,18.357,4.670,76.490,0.483,0,0,8740864,313712640,14831198208,325058560,905334784,0,0,
19-10 10:27:26,16.613,5.806,77.258,0.323,0,0,4370432,313196544,14825504768,325091328,911368192,0,0,
19-10 10:27:27,18.211,5.272,75.879,0.639,0,0,8773632,313393152,14819053568,325152768,917356544,0,0,
19-10 10:27:28,17.874,4.670,77.134,0.322,0,0,4378624,313757696,14812602368,325185536,923283456,0,0,
19-10 10:27:29,18.182,4.944,76.555,0.319,0,0,4374528,313937920,14806233088,325214208,929243136,0,0,
19-10 10:27:30,17.590,6.026,74.919,1.466,0,0,32432128,314281984,14794166272,325349376,940457984,0,0,
19-10 10:27:31,17.726,5.518,73.411,3.344,0,0,99655680,314798080,14754086912,325730304,978464768,0,0,
19-10 10:27:32,17.550,5.960,73.013,3.477,0,0,101253120,314867712,14715097088,326098944,1015865344,0,0,
19-10 10:27:33,16.833,6.333,73.167,3.667,0,0,100253696,314368000,14671732736,326434816,1058504704,0,0,
19-10 10:27:34,17.224,5.686,73.746,3.344,0,0,95158272,314945536,14634991616,326803456,1093009408,0,0,
19-10 10:27:35,17.810,6.536,72.386,3.268,0,0,94806016,314957824,14599749632,327192576,1126928384,0,0,
