"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","9fd5ae6e24d9",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","21 Oct 2022 12:36:09 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
21-10 12:36:09,0.177,0.054,99.738,0.032,0,13317.729,225588.473,277909504,15843393536,22204416,277790720,0.039,0.665,
21-10 12:36:10,3.317,1.990,89.055,5.638,0,114688,44810240,303497216,15771901952,22233088,322347008,0,0,
21-10 12:36:11,18.555,0.328,74.877,6.240,0,2387968,24576,308019200,15927402496,2084864,185901056,0,0,
21-10 12:36:12,5.629,1.325,92.715,0.331,0,8192,0,309477376,15925063680,2084864,186748928,0,0,
21-10 12:36:13,14.168,6.096,79.572,0.165,0,151552,4292608,311750656,15917563904,2244608,191578112,0,0,
21-10 12:36:14,16.396,5.357,77.760,0.487,0,4096,8642560,308772864,15910096896,2281472,201961472,0,0,
21-10 12:36:15,15.620,4.831,78.100,1.449,0,1122304,8613888,306511872,15912386560,3444736,200474624,0,0,
21-10 12:36:16,16.399,5.145,77.814,0.643,0,4096,4329472,306905088,15907598336,3473408,204693504,0,0,
21-10 12:36:17,16.720,6.369,76.274,0.637,0,0,19447808,306135040,15902547968,3555328,210366464,0,0,
21-10 12:36:18,15.570,5.778,78.491,0.161,0,0,4300800,306368512,15897387008,3571712,215224320,0,0,
21-10 12:36:19,17.014,4.815,78.010,0.161,0,0,4304896,305819648,15888855040,3588096,224145408,0,0,
21-10 12:36:20,16.559,6.270,76.206,0.965,0,0,25829376,307343360,15886098432,3694592,225067008,0,0,
21-10 12:36:21,15.235,5.511,79.092,0.162,0,0,4296704,307015680,15881338880,3710976,230043648,0,0,
21-10 12:36:22,16.667,5.663,76.375,1.294,0,0,33943552,307916800,15872389120,3874816,237752320,0,0,
21-10 12:36:23,16.526,5.396,75.548,2.530,0,8192,77242368,311746560,15827034112,4218880,278056960,0,0,
21-10 12:36:24,16.805,6.323,74.043,2.829,0,0,76951552,311103488,15795953664,4608000,308318208,0,0,
21-10 12:36:25,17.774,4.983,73.422,3.821,0,0,87785472,313049088,15763251200,5148672,337469440,0,0,
21-10 12:36:26,15.050,7.191,74.415,3.344,0,0,71847936,314339328,15727616000,5586944,370638848,0,0,
21-10 12:36:27,16.780,4.915,74.915,3.390,0,0,82415616,314744832,15692132352,6086656,404262912,0,0,
21-10 12:36:28,16,7,73,4,0,0,88248320,312135680,15659900928,6619136,437305344,0,0,
21-10 12:36:29,16.722,6.187,73.913,3.177,0,0,81227776,313708544,15612100608,7073792,481988608,0,0,
21-10 12:36:30,17.833,5.500,73.167,3.500,0,0,75927552,315695104,15584665600,7577600,506216448,0,0,
21-10 12:36:31,16.221,6.187,74.247,3.344,0,0,80125952,314671104,15551021056,8052736,539414528,0,0,
21-10 12:36:32,17.442,5.814,73.090,3.654,0,0,85434368,316166144,15514959872,8597504,572448768,0,0,
21-10 12:36:33,16.445,6.312,74.252,2.990,0,0,68124672,313442304,15480958976,9011200,608092160,0,0,
21-10 12:36:34,17.032,4.722,74.705,3.541,0,4096,72540160,316465152,15445491712,9506816,638902272,0,0,
21-10 12:36:35,15.940,5.872,76.007,2.181,0,0,39387136,316624896,15408451584,9814016,674394112,0,0,
21-10 12:36:36,16.279,5.648,76.246,1.827,0,0,35004416,314937344,15374897152,10084352,708366336,0,0,
21-10 12:36:37,15.333,6.333,76.167,2.167,0,0,47919104,314138624,15337623552,10383360,745418752,0,0,
21-10 12:36:38,17.384,5.960,73.344,3.311,0,0,88248320,314773504,15306334208,10805248,774508544,0,0,
21-10 12:36:39,17.138,5.824,73.877,3.161,0,0,89223168,313073664,15274696704,11227136,806543360,0,0,
21-10 12:36:40,15.745,6.365,75.042,2.848,0,0,79896576,314015744,15236481024,11608064,842465280,0,0,
21-10 12:36:41,16.695,5.734,74.368,3.204,0,0,91750400,314535936,15201480704,12046336,875663360,0,0,
21-10 12:36:42,16.722,5.853,74.247,3.177,0,0,88829952,313712640,15170609152,12476416,905695232,0,0,
21-10 12:36:43,16.946,5.705,73.826,3.523,0,0,87887872,315666432,15133626368,12902400,939483136,0,0,
21-10 12:36:44,17.057,5.853,73.746,3.344,0,4096,92160000,314040320,15100223488,13352960,973066240,0,0,
21-10 12:36:45,17.195,5.342,74.290,3.172,0,0,88133632,314146816,15065747456,13783040,1006338048,0,0,
