"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","1ab436d0d549",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-32k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 19:04:16 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 19:04:16,0.436,0.138,99.351,0.074,0,28977.374,570037.102,280522752,15750455296,125243392,258891776,0.063,0.679,
24-10 19:04:17,6.766,2.805,90.264,0.165,0,73728,143360,312332288,15670898688,125255680,305283072,0,0,
24-10 19:04:18,17.657,6.260,75.923,0.161,0,0,4304896,311951360,15664979968,125272064,311279616,0,0,
24-10 19:04:19,18.429,6.250,74.519,0.801,0,0,17227776,312565760,15658512384,125345792,316956672,0,0,
24-10 19:04:20,18.314,4.376,76.013,1.297,0,0,13869056,312705024,15652577280,125362176,322605056,0,0,
24-10 19:04:21,18.285,5.340,75.566,0.809,0,0,23724032,312721408,15645417472,125460480,329445376,0,0,
24-10 19:04:22,16.287,5.537,77.687,0.489,0,0,4435968,312303616,15639633920,125485056,335351808,0,0,
24-10 19:04:23,18.182,5.195,75.812,0.812,0,0,25702400,312332288,15632359424,125591552,342302720,0,0,
24-10 19:04:24,18.919,4.452,76.312,0.318,0,0,4296704,312233984,15626149888,125607936,348454912,0,0,
24-10 19:04:25,18.548,5.968,72.258,3.226,0,0,68145152,311951360,15618908160,125771776,355561472,0,0,
24-10 19:04:26,17.308,6.571,75.481,0.641,0,0,18231296,312213504,15611924480,125853696,362045440,0,0,
24-10 19:04:27,17.524,5.466,76.688,0.322,0,0,8626176,311549952,15606231040,125886464,368136192,0,0,
24-10 19:04:28,17.069,6.119,76.329,0.483,0,4096,11689984,312688640,15599005696,125947904,374018048,0,0,
24-10 19:04:29,18.750,5.929,74.359,0.962,0,0,28901376,312590336,15587602432,126070784,385069056,0,0,
24-10 19:04:30,18.620,5.136,75.281,0.963,0,0,11538432,312496128,15581392896,126128128,391143424,0,0,
24-10 19:04:31,19.298,5.582,73.206,1.914,0,0,20230144,312102912,15568990208,126234624,403554304,0,0,
24-10 19:04:32,16.775,5.700,76.221,1.303,0,0,13582336,312119296,15568973824,126300160,403460096,0,0,
24-10 19:04:33,17.920,5.440,75.840,0.800,0,0,8589312,312287232,15558393856,126324736,413696000,0,0,
24-10 19:04:34,18.226,6.452,72.903,2.419,0,8192,27131904,312823808,15555182592,126496768,415817728,0,0,
24-10 19:04:35,18.979,4.147,76.396,0.478,0,0,4304896,311799808,15550021632,126513152,421888000,0,0,
24-10 19:04:36,17.915,4.886,75.733,1.466,0,0,15228928,312889344,15542538240,126603264,428023808,0,0,
24-10 19:04:37,18.820,5.104,74.801,1.276,0,0,11284480,311930880,15537086464,126676992,434139136,0,0,
24-10 19:04:38,18.689,6.066,67.705,7.541,0,0,70107136,314437632,15504605184,127102976,462725120,0,0,
