"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","df47b116c0bf",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-96k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 19:54:23 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 19:54:23,0.452,0.142,99.331,0.074,0,30024.096,571905.861,281153536,15862648832,16912384,258433024,0.063,0.679,
24-10 19:54:24,12.298,3.560,84.142,0,0,73728,0,311767040,15782469632,16912384,306544640,0,0,
24-10 19:54:25,20.255,3.987,75.439,0.319,0,0,4313088,311865344,15774892032,16928768,313753600,0,0,
24-10 19:54:26,19.968,4.792,73.802,1.438,0,0,17219584,312016896,15770972160,17002496,317276160,0,0,
24-10 19:54:27,16.019,6.311,77.184,0.485,0,0,4296704,312135680,15765037056,17018880,322961408,0,0,
24-10 19:54:28,18.590,6.410,71.955,3.045,0,0,29097984,312467456,15758278656,17117184,329052160,0,0,
24-10 19:54:29,16.370,5.673,77.147,0.810,0,0,4427776,313053184,15751667712,17141760,334876672,0,0,
24-10 19:54:30,18.123,5.663,74.434,1.780,0,0,21389312,312827904,15745069056,17231872,341413888,0,0,
24-10 19:54:31,17.203,5.788,76.206,0.804,0,0,8597504,312967168,15738875904,17264640,347299840,0,0,
24-10 19:54:32,17.412,7.348,73.003,2.236,0,0,29061120,313303040,15731859456,17412096,353558528,0,0,
24-10 19:54:33,18.680,5.636,72.786,2.899,0,0,61505536,313106432,15725133824,17510400,360202240,0,0,
24-10 19:54:34,18.226,4.194,77.419,0.161,0,4096,4317184,312532992,15719456768,17530880,366379008,0,0,
24-10 19:54:35,17.857,4.870,76.623,0.649,0,0,16003072,313073664,15711973376,17604608,373006336,0,0,
24-10 19:54:36,16.639,6.755,74.794,1.812,0,0,49819648,315650048,15685844992,17842176,395751424,0,0,
24-10 19:54:37,17.637,6.489,72.047,3.827,0,4096,106061824,314769408,15633764352,18374656,446668800,0,0,
24-10 19:54:38,17.628,6.590,71.499,4.283,0,4096,96223232,315629568,15585652736,18960384,492150784,0,0,
24-10 19:54:39,16.418,6.302,74.129,3.151,0,0,62754816,316010496,15573684224,19378176,502779904,0,0,
24-10 19:54:40,17.320,5.392,76.307,0.980,0,0,10637312,316936192,15566700544,19443712,508608512,0,0,
24-10 19:54:41,17.695,6.169,73.539,2.597,0,4096,25772032,318181376,15558451200,19603456,515207168,0,0,
24-10 19:54:42,18.760,4.769,76.153,0.318,0,0,4304896,317407232,15553032192,19619840,521273344,0,0,
24-10 19:54:43,18.799,6.003,74.092,1.106,0,0,14467072,316813312,15543226368,19693568,531484672,0,0,
24-10 19:54:44,18.241,5.537,73.616,2.606,0,0,27811840,317530112,15539580928,19898368,533872640,0,0,
24-10 19:54:45,18.650,4.341,76.527,0.482,0,0,8593408,315322368,15531057152,19922944,544309248,0,0,
24-10 19:54:46,17.874,5.153,76.006,0.966,0,0,10395648,316731392,15527686144,20004864,546201600,0,0,
24-10 19:54:47,17.552,6.602,74.396,1.449,0,0,21164032,316243968,15521701888,20144128,552239104,0,0,
24-10 19:54:48,17.258,5.484,76.613,0.645,0,0,8609792,316096512,15515508736,20176896,558374912,0,0,
24-10 19:54:49,18.690,5.112,75.719,0.479,0,0,10190848,315691008,15509831680,20242432,564305920,0,0,
24-10 19:54:50,19.360,5.920,73.440,1.280,0,4096,31182848,316026880,15502245888,20459520,571088896,0,0,
24-10 19:54:51,17.920,4.960,76.800,0.320,0,0,4308992,315424768,15496638464,20475904,577179648,0,0,
24-10 19:54:52,17.018,5.835,76.499,0.648,0,0,14336000,316362752,15489138688,20557824,583643136,0,0,
24-10 19:54:53,17.920,5.920,75.200,0.960,0,0,20897792,316076032,15482105856,20705280,590413824,0,0,
24-10 19:54:54,17.834,5.892,75.796,0.478,0,0,8609792,316108800,15475654656,20738048,596611072,0,0,
24-10 19:54:55,18.871,4.032,76.613,0.484,0,0,9891840,316035072,15469461504,20803584,602722304,0,0,
24-10 19:54:56,18.387,6.290,73.065,2.258,0,0,27176960,316137472,15450075136,20934656,621387776,0,0,
