"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","bb6c515f3e53",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-32k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 17:55:14 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 17:55:14,0.415,0.132,99.381,0.072,0,28873.682,542232.694,282189824,15854718976,20340736,260886528,0.064,0.681,
24-10 17:55:15,4.125,2.145,91.089,2.640,0,114688,22282240,311554048,15779561472,20353024,305373184,0,0,
24-10 17:55:16,15.041,0.496,67.438,17.025,0,1155072,22568960,310628352,15910879232,1773568,197672960,0,0,
24-10 17:55:17,3.328,0,95.674,0.998,0,1085440,0,311066624,15909298176,1957888,198619136,0,0,
24-10 17:55:18,16.747,4.348,78.744,0.161,0,159744,4292608,315740160,15899574272,2117632,203386880,0,0,
24-10 17:55:19,17.638,5.016,77.023,0.324,0,0,6475776,315617280,15892234240,2142208,210579456,0,0,
24-10 17:55:20,17.342,5.511,75.527,1.621,0,1122304,15085568,311808000,15885864960,3330048,219385856,0,0,
24-10 17:55:21,17.362,7.012,72.287,3.339,0,135168,95715328,315830272,15841300480,3866624,258203648,0,0,
24-10 17:55:22,16.498,6.397,73.401,3.704,0,8192,96354304,315555840,15796252672,4333568,301821952,0,0,
24-10 17:55:23,17.657,6.436,72.442,3.465,0,4096,93401088,314966016,15750447104,4820992,346521600,0,0,
24-10 17:55:24,17.061,5.574,72.973,4.392,0,4096,93749248,317796352,15720685568,5459968,371736576,0,0,
24-10 17:55:25,15.993,6.902,72.896,4.209,0,0,95854592,317140992,15680061440,6057984,411226112,0,0,
24-10 17:55:26,17.450,5.872,72.819,3.859,0,4096,92635136,318185472,15637417984,6635520,451280896,0,0,
24-10 17:55:27,17,6.500,72.333,4.167,0,4096,94101504,319037440,15595667456,7213056,490393600,0,0,
24-10 17:55:28,18.182,5.950,71.901,3.967,0,4096,93708288,318332928,15555739648,7774208,529420288,0,0,
24-10 17:55:29,17.599,4.770,75.493,2.138,0,0,52105216,316887040,15530385408,8069120,555208704,0,0,
24-10 17:55:30,17.590,5.375,74.593,2.443,0,4096,32546816,317796352,15502757888,8228864,581197824,0,0,
24-10 17:55:31,17.550,6.623,68.377,7.450,0,0,97038336,320466944,15476064256,8810496,603697152,0,0,
24-10 17:55:32,16.498,6.397,69.865,7.239,0,8192,92069888,318644224,15436124160,9400320,643612672,0,0,
24-10 17:55:33,17.314,5.178,75.405,2.104,0,0,24444928,317829120,15425339392,9596928,654888960,0,0,
24-10 17:55:34,17.069,5.153,77.617,0.161,0,0,4370432,317247488,15419920384,9629696,660733952,0,0,
24-10 17:55:35,17.342,4.862,76.823,0.972,0,4096,8749056,317804544,15413211136,9699328,666632192,0,0,
24-10 17:55:36,16.720,5.627,77.170,0.482,0,0,4370432,317476864,15407259648,9732096,672735232,0,0,
24-10 17:55:37,17.532,4.708,76.786,0.974,0,0,8744960,318152704,15400189952,9797632,678797312,0,0,
24-10 17:55:38,17.097,5,77.258,0.645,0,0,4374528,318058496,15394340864,9830400,684630016,0,0,
24-10 17:55:39,17.713,4.670,77.295,0.322,0,0,4403200,317247488,15389163520,9871360,690450432,0,0,
24-10 17:55:40,17.447,5.008,76.737,0.808,0,0,8749056,318156800,15381938176,9936896,696475648,0,0,
24-10 17:55:41,17.045,4.708,77.922,0.325,0,0,4374528,316919808,15377035264,9969664,702484480,0,0,
24-10 17:55:42,17.496,5.457,75.923,1.124,0,0,8740864,317890560,15369809920,10035200,708456448,0,0,
24-10 17:55:43,17.258,5,77.258,0.484,0,0,4374528,316817408,15364907008,10067968,714276864,0,0,
24-10 17:55:44,17.230,5.153,77.134,0.483,0,0,4374528,317263872,15358455808,10100736,720134144,0,0,
24-10 17:55:45,17.014,5.939,76.083,0.963,0,0,8777728,317849600,15351455744,10174464,726220800,0,0,
