"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cc9599a7d1c9",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-96k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 18:41:14 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 18:41:14,0.429,0.136,99.361,0.074,0,28942.942,562437.035,282972160,15728095232,144556032,258437120,0.063,0.680,
24-10 18:41:15,3.317,1.990,90.381,4.312,0,114688,30695424,310394880,15654322176,144568320,303288320,0,0,
24-10 18:41:16,15.207,0.992,71.240,12.562,0,1216512,14102528,309817344,15911555072,1802240,198017024,0,0,
24-10 18:41:17,2.829,0,97.005,0.166,0,1015808,0,310075392,15910195200,1941504,198979584,0,0,
24-10 18:41:18,15.397,5.511,78.282,0.810,0,36864,4292608,315416576,15899856896,1982464,203747328,0,0,
24-10 18:41:19,18.226,5.645,75.645,0.484,0,122880,12955648,315666432,15893831680,2162688,209162240,0,0,
24-10 18:41:20,16.883,5.357,76.461,1.299,0,1122304,4304896,311394304,15891083264,3301376,214892544,0,0,
24-10 18:41:21,16.938,6.026,76.059,0.977,0,135168,17272832,310874112,15875825664,3502080,230252544,0,0,
24-10 18:41:22,17.822,6.766,71.782,3.630,0,8192,101400576,314613760,15840874496,3969024,259891200,0,0,
24-10 18:41:23,17.608,5.980,73.422,2.990,0,0,89489408,315650048,15798665216,4378624,299560960,0,0,
24-10 18:41:24,17.500,6,72.833,3.667,0,4096,93380608,314978304,15753650176,4907008,343560192,0,0,
24-10 18:41:25,17.504,5.835,75.041,1.621,0,0,40738816,314765312,15737036800,5169152,359608320,0,0,
24-10 18:41:26,18.344,5.844,72.403,3.409,0,4096,41361408,315072512,15724085248,5464064,371449856,0,0,
24-10 18:41:27,17.419,5.323,76.613,0.645,0,0,8622080,314408960,15718248448,5496832,377663488,0,0,
24-10 18:41:28,18.720,4.960,75.360,0.960,0,0,11522048,314544128,15712026624,5570560,383549440,0,0,
24-10 18:41:29,17.903,5.968,74.032,2.097,0,0,20267008,314179584,15705989120,5718016,389767168,0,0,
24-10 18:41:30,17.657,5.457,76.244,0.642,0,0,8617984,313782272,15700037632,5750784,395870208,0,0,
24-10 18:41:31,17.799,4.693,76.699,0.809,0,0,10915840,314548224,15693004800,5816320,401981440,0,0,
24-10 18:41:32,18.387,6.290,72.903,2.419,0,0,31576064,314707968,15685505024,6029312,408834048,0,0,
24-10 18:41:33,18.065,4.194,77.258,0.484,0,0,4304896,314101760,15679942656,6045696,414879744,0,0,
24-10 18:41:34,17.666,5.348,75.689,1.297,0,4096,15253504,314130432,15673360384,6139904,421052416,0,0,
24-10 18:41:35,17.579,5.141,75.124,2.156,0,0,53092352,315469824,15649165312,6467584,442920960,0,0,
24-10 18:41:36,17.327,6.601,72.112,3.960,0,4096,91971584,315535360,15603249152,7012352,487096320,0,0,
24-10 18:41:37,17.028,6.511,72.454,4.007,0,4096,94003200,314757120,15568822272,7606272,520757248,0,0,
24-10 18:41:38,17.928,6.908,71.217,3.947,0,0,99938304,316207104,15518945280,8171520,567386112,0,0,
24-10 18:41:39,17.327,5.941,73.762,2.970,0,4096,71450624,314544128,15494057984,8617984,592642048,0,0,
24-10 18:41:40,17.898,4.926,74.548,2.627,0,0,36638720,315289600,15478075392,8847360,607076352,0,0,
24-10 18:41:41,16.388,6.355,72.408,4.849,0,8192,77320192,316809216,15436623872,9306112,645742592,0,0,
24-10 18:41:42,17.073,5.528,74.797,2.602,0,0,34734080,315858944,15430139904,9551872,652537856,0,0,
24-10 18:41:43,17.628,5.449,75.801,1.122,0,0,8744960,315510784,15424188416,9617408,658583552,0,0,
24-10 18:41:44,17.685,4.823,77.010,0.482,0,0,4370432,315252736,15418253312,9650176,664653824,0,0,
24-10 18:41:45,17.230,5.797,76.006,0.966,0,0,8744960,315523072,15411527680,9715712,670789632,0,0,
24-10 18:41:46,15.651,5.107,79.077,0.165,0,0,4423680,314605568,15406280704,9748480,676806656,0,0,
24-10 18:41:47,17.258,5.161,77.258,0.323,0,4096,4562944,313860096,15397818368,9785344,685821952,0,0,
24-10 18:41:48,16.533,6.260,76.404,0.803,0,0,8777728,314904576,15393431552,9859072,688893952,0,0,
24-10 18:41:49,16.264,6.119,77.134,0.483,0,0,4374528,314568704,15387754496,9891840,694771712,0,0,
