"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","bd1eb55d78d3",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_off-lsfs.dstat.csv",,,,"Date:","26 Oct 2022 07:32:07 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
26-10 07:32:07,0.797,0.227,98.872,0.104,0,42388.984,794816.201,273563648,15851712512,22302720,270835712,0.067,0.719,
26-10 07:32:08,11.457,2.946,85.597,0,0,73728,0,301477888,15769333760,22302720,323821568,0,0,
26-10 07:32:09,16.667,2.451,80.882,0,0,0,0,302067712,15768178688,22302720,324169728,0,0,
26-10 07:32:10,18.049,2.276,79.350,0.325,0,0,143360,301899776,15768145920,22315008,324321280,0,0,
26-10 07:32:11,18.328,2.090,79.582,0,0,0,0,302759936,15767113728,22315008,324481024,0,0,
26-10 07:32:12,17.455,1.958,80.587,0,0,0,0,303013888,15766548480,22315008,324726784,0,0,
26-10 07:32:13,17.903,2.097,79.839,0.161,0,0,32768,302788608,15766515712,22323200,324935680,0,0,
26-10 07:32:14,3.821,0.831,87.043,8.306,0,40960,54423552,302911488,15766241280,22343680,325062656,0,0,
26-10 07:32:15,16.805,0.499,75.707,6.988,0,3371008,118784,307216384,15891959808,3051520,217071616,0,0,
26-10 07:32:16,4.139,0.662,95.033,0.166,0,4096,0,306884608,15891959808,3051520,217391104,0,0,
26-10 07:32:17,16.803,2.936,80.261,0,0,4096,0,307556352,15891185664,3055616,217489408,0,0,
26-10 07:32:18,17.609,2.746,79.160,0.485,0,8192,0,307744768,15890669568,3063808,217776128,0,0,
26-10 07:32:19,17.581,2.419,80,0,0,0,0,307412992,15890661376,3063808,218099712,0,0,
26-10 07:32:20,17.590,1.792,80.619,0,0,0,0,307154944,15890661376,3063808,218345472,0,0,
26-10 07:32:21,18.080,2.400,78.560,0.960,0,143360,40960,306761728,15890628608,3223552,218558464,0,0,
26-10 07:32:22,17.532,1.786,80.682,0,0,0,0,306339840,15890595840,3223552,218972160,0,0,
26-10 07:32:23,17.476,1.942,80.583,0,0,0,0,306761728,15889821696,3223552,219312128,0,0,
26-10 07:32:24,16.721,2.597,80.682,0,0,0,0,306700288,15889498112,3223552,219631616,0,0,
26-10 07:32:25,16.558,2.760,80.682,0,0,0,0,307040256,15888965632,3223552,219803648,0,0,
26-10 07:32:26,17.476,2.427,79.773,0.324,0,143360,4206592,308654080,15885320192,3375104,221532160,0,0,
26-10 07:32:27,17.314,2.104,80.259,0.324,0,0,12288,308613120,15885045760,3383296,221822976,0,0,
26-10 07:32:28,17.129,1.794,81.077,0,0,0,0,308498432,15884771328,3383296,222191616,0,0,
26-10 07:32:29,18.489,1.608,79.904,0,0,0,0,308301824,15884738560,3383296,222388224,0,0,
26-10 07:32:30,16.505,2.913,80.583,0,0,0,0,308076544,15884464128,3383296,222859264,0,0,
26-10 07:32:31,17.496,2.568,79.775,0.161,0,0,40960,308133888,15884156928,3391488,223051776,0,0,
26-10 07:32:32,17.581,2.258,80.161,0,0,0,0,308092928,15883882496,3391488,223342592,0,0,
26-10 07:32:33,17.018,2.431,80.227,0.324,0,0,12288,308301824,15883317248,3399680,223637504,0,0,
