"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","a8a46087dec6",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 14:56:13 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 14:56:13,0.375,0.121,99.434,0.070,0,28446.582,522324.838,279310336,15863701504,20975616,255799296,0.064,0.684,
24-10 14:56:14,5.307,2.322,92.371,0,0,73728,0,307060736,15781621760,20975616,308568064,0,0,
24-10 14:56:15,17.788,4.006,77.724,0.481,0,0,147456,307650560,15780483072,20987904,308969472,0,0,
24-10 14:56:16,18.537,4.553,76.911,0,0,0,0,308408320,15778820096,20987904,309714944,0,0,
24-10 14:56:17,11.330,1.970,76.355,10.345,0,40960,54415360,309055488,15777931264,21004288,309895168,0,0,
24-10 14:56:18,15.651,1.153,78.748,4.448,0,2375680,32768,312438784,15901204480,2052096,204898304,0,0,
24-10 14:56:19,16.423,3.415,80.163,0,0,4096,0,312700928,15900368896,2052096,205455360,0,0,
24-10 14:56:20,23.633,5.627,70.257,0.482,0,839680,0,314802176,15896391680,2895872,206364672,0,0,
24-10 14:56:21,16.613,4.313,78.594,0.479,0,282624,0,316563456,15892922368,3174400,207630336,0,0,
24-10 14:56:22,20.994,5.609,73.077,0.321,0,286720,4206592,315871232,15890268160,3469312,210432000,0,0,
24-10 14:56:23,21.669,6.902,71.108,0.321,0,4096,28672,314970112,15889895424,3481600,211562496,0,0,
24-10 14:56:24,19.807,5.958,74.235,0,0,0,0,314433536,15889006592,3481600,212856832,0,0,
24-10 14:56:25,18.341,5.263,76.236,0.159,0,0,4231168,314949632,15887101952,3497984,214048768,0,0,
24-10 14:56:26,22.504,6.181,71.315,0,0,0,0,314662912,15885922304,3497984,215330816,0,0,
24-10 14:56:27,23.027,4.670,72.303,0,0,0,0,314507264,15884533760,3497984,216711168,0,0,
24-10 14:56:28,17.750,5.705,76.228,0.317,0,0,4227072,315072512,15882579968,3514368,217870336,0,0,
24-10 14:56:29,20.385,5.618,73.676,0.321,0,0,12288,314892288,15881416704,3522560,219029504,0,0,
24-10 14:56:30,21.256,6.119,72.625,0,0,0,0,314527744,15880269824,3522560,220385280,0,0,
24-10 14:56:31,20.065,5.987,73.948,0,0,0,0,314560512,15878881280,3522560,221609984,0,0,
24-10 14:56:32,17.065,5.104,77.671,0.159,0,0,4231168,315342848,15876411392,3538944,222982144,0,0,
24-10 14:56:33,22.734,5.723,71.542,0,0,0,0,315129856,15875248128,3538944,224190464,0,0,
24-10 14:56:34,22.907,6.319,70.458,0.316,0,0,12288,314707968,15874068480,3547136,225591296,0,0,
24-10 14:56:35,19.132,4.502,76.206,0.161,0,0,4239360,315248640,15872114688,3563520,226779136,0,0,
24-10 14:56:36,19.287,4.700,76.013,0,0,0,0,315428864,15870435328,3563520,228077568,0,0,
24-10 14:56:37,22.061,5.958,71.981,0,0,0,0,315174912,15869239296,3563520,229326848,0,0,
24-10 14:56:38,18.548,4.839,75.645,0.968,0,0,30822400,315424768,15877234688,3702784,220905472,0,0,
24-10 14:56:39,21.509,4.655,73.836,0,0,0,0,315568128,15875764224,3702784,222027776,0,0,
24-10 14:56:40,18.006,4.180,77.653,0.161,0,0,4235264,315830272,15873826816,3719168,223404032,0,0,
24-10 14:56:41,22.508,4.662,72.508,0.322,0,0,12288,315998208,15872114688,3727360,224718848,0,0,
24-10 14:56:42,23.114,4.976,71.910,0,0,0,0,316198912,15870468096,3727360,226013184,0,0,
24-10 14:56:43,18.211,5.112,76.677,0,0,0,0,316248064,15869030400,3727360,227192832,0,0,
24-10 14:56:44,18.979,5.423,75.439,0.159,0,0,4235264,316305408,15867334656,3743744,228585472,0,0,
24-10 14:56:45,21.543,6.592,71.865,0,0,0,0,316248064,15865913344,3743744,229896192,0,0,
24-10 14:56:46,21.613,6.290,72.097,0,0,0,0,316190720,15864459264,3743744,231182336,0,0,
24-10 14:56:47,16.879,4.459,78.025,0.637,0,0,4247552,315699200,15863554048,3768320,232382464,0,0,
24-10 14:56:48,23.274,4.976,71.750,0,0,0,704512,315871232,15861907456,3768320,233725952,0,0,
24-10 14:56:49,21.795,6.731,71.474,0,0,0,0,315785216,15860436992,3768320,235044864,0,0,
24-10 14:56:50,18.400,5.920,75.520,0.160,0,0,4235264,316514304,15858200576,3784704,236314624,0,0,
24-10 14:56:51,19.156,4.870,75.974,0,0,0,0,316190720,15857061888,3784704,237588480,0,0,
24-10 14:56:52,23.003,4.952,71.725,0.319,0,4096,0,315822080,15855898624,3784704,238948352,0,0,
24-10 14:56:53,21.036,4.531,72.330,2.104,0,0,30187520,316227584,15862636544,3932160,231632896,0,0,
24-10 14:56:54,18.660,4.625,76.715,0,0,0,0,315523072,15861456896,3932160,233177088,0,0,
24-10 14:56:55,20.127,5.705,74.168,0,0,0,0,315760640,15859761152,3932160,234455040,0,0,
24-10 14:56:56,22.793,5.618,71.429,0.161,0,0,4231168,316030976,15857823744,3948544,235859968,0,0,
24-10 14:56:57,22.400,5.280,72.320,0,0,0,0,316551168,15855853568,3948544,237133824,0,0,
24-10 14:56:58,17.143,5.079,77.302,0.476,0,0,12288,315768832,15855206400,3956736,238366720,0,0,
24-10 14:56:59,23.200,6.080,70.400,0.320,0,0,4235264,316145664,15853318144,3973120,239648768,0,0,
24-10 14:57:00,22.843,6.070,71.086,0,0,0,0,316170240,15851847680,3973120,240873472,0,0,
24-10 14:57:01,16.906,5.104,77.990,0,0,0,0,316485632,15850184704,3973120,242077696,0,0,
24-10 14:57:02,22.240,5.280,71.200,1.280,0,831488,0,316039168,15848239104,4804608,243441664,0,0,
24-10 14:57:03,22.508,6.752,70.418,0.322,0,0,4231168,316928000,15845769216,4820992,244740096,0,0,
