"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","01668bd24e51",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 15:05:51 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 15:05:51,0.380,0.122,99.428,0.071,0,28491.579,522841.088,278966272,15861452800,22220800,256917504,0.064,0.684,
24-10 15:05:52,6.096,2.801,90.939,0.165,0,77824,0,305524736,15780556800,22224896,309673984,0,0,
24-10 15:05:53,17.203,4.180,78.617,0,0,0,0,306749440,15778619392,22224896,310202368,0,0,
24-10 15:05:54,15.832,4.362,79.321,0.485,0,0,143360,307961856,15776780288,22237184,310751232,0,0,
24-10 15:05:55,2.671,0.501,87.312,9.516,0,40960,54464512,308445184,15775907840,22253568,311021568,0,0,
24-10 15:05:56,25.455,0.496,63.802,10.248,0,2818048,36864,312147968,15900467200,2510848,205434880,0,0,
24-10 15:05:57,2.488,0.995,96.517,0,0,4096,0,312053760,15900467200,2510848,205524992,0,0,
24-10 15:05:58,14.976,5.636,79.066,0.322,0,4096,0,313622528,15897821184,2514944,206520320,0,0,
24-10 15:05:59,15.509,4.362,80.129,0,0,0,0,314990592,15895093248,2514944,207704064,0,0,
24-10 15:06:00,16.850,5.512,76.220,1.417,0,1269760,4206592,316350464,15889850368,3792896,210042880,0,0,
24-10 15:06:01,15.865,4.487,79.006,0.641,0,139264,28672,314970112,15889760256,3940352,211247104,0,0,
24-10 15:06:02,17.093,3.674,78.115,1.118,0,557056,0,314077184,15888977920,4497408,212295680,0,0,
24-10 15:06:03,16.693,4.769,78.378,0.159,0,0,4227072,313577472,15887831040,4513792,213786624,0,0,
24-10 15:06:04,16.427,4.306,79.266,0,0,0,0,313282560,15886766080,4513792,215040000,0,0,
24-10 15:06:05,16.640,4,79.360,0,0,0,0,313581568,15885328384,4513792,216031232,0,0,
24-10 15:06:06,15.434,4.823,79.260,0.482,0,0,12288,312889344,15884390400,4521984,217432064,0,0,
24-10 15:06:07,17.093,3.674,79.073,0.160,0,0,4227072,314363904,15881437184,4538368,218714112,0,0,
24-10 15:06:08,17.062,4.581,78.357,0,0,0,0,314281984,15880257536,4538368,219787264,0,0,
24-10 15:06:09,17.722,3.481,78.797,0,0,0,0,314023936,15879127040,4538368,221020160,0,0,
24-10 15:06:10,16.077,4.502,79.260,0.161,0,0,4235264,314236928,15877398528,4554752,222257152,0,0,
24-10 15:06:11,16.242,4.459,79.299,0,0,0,0,314302464,15876009984,4554752,223453184,0,0,
