"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ed93b16bbdcf",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 15:16:16 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 15:16:16,0.383,0.123,99.423,0.071,0,28536.014,523346.584,278224896,15862226944,22306816,257064960,0.064,0.684,
24-10 15:16:17,4.793,2.149,92.893,0.165,0,73728,0,307539968,15778607104,22306816,309784576,0,0,
24-10 15:16:18,17.496,3.852,78.331,0.321,0,0,143360,308846592,15776653312,22319104,310243328,0,0,
24-10 15:16:19,12.255,2.124,83.987,1.634,0,40960,25325568,308834304,15775457280,22319104,311218176,0,0,
24-10 15:16:20,11.018,0.501,80.801,7.679,0,724992,29196288,310120448,15904182272,1548288,204488704,0,0,
24-10 15:16:21,12.417,0.166,85.596,1.821,0,2084864,0,312528896,15899787264,2506752,205631488,0,0,
24-10 15:16:22,10.407,3.252,86.179,0.163,0,8192,0,313376768,15898755072,2510848,205811712,0,0,
24-10 15:16:23,16.260,3.415,80.325,0,0,0,0,314179584,15896285184,2510848,207310848,0,0,
24-10 15:16:24,14.378,5.331,80.129,0.162,0,0,0,315219968,15894331392,2514944,208093184,0,0,
24-10 15:16:25,16.960,3.840,78.080,1.120,0,1134592,4206592,313577472,15891693568,3653632,210939904,0,0,
24-10 15:16:26,17.812,4.688,77.031,0.469,0,4096,28672,312877056,15891079168,3665920,212127744,0,0,
24-10 15:16:27,16.533,3.692,79.775,0,0,0,0,313061376,15889690624,3665920,213233664,0,0,
24-10 15:16:28,16.693,4.769,78.378,0.159,0,0,4227072,313524224,15887736832,3682304,214462464,0,0,
24-10 15:16:29,14.540,5.008,80.452,0,0,0,0,313237504,15886589952,3682304,215760896,0,0,
24-10 15:16:30,16.294,4.153,79.553,0,0,0,0,312975360,15885508608,3682304,217022464,0,0,
24-10 15:16:31,16.984,4.762,78.095,0.159,0,0,4235264,313409536,15883620352,3702784,218300416,0,0,
24-10 15:16:32,15,4.516,80,0.484,0,0,12288,313454592,15882199040,3710976,219488256,0,0,
24-10 15:16:33,15.974,4.313,79.712,0,0,0,0,313401344,15881019392,3710976,220545024,0,0,
24-10 15:16:34,16.401,4.459,79.140,0,0,0,0,313683968,15879356416,3710976,221741056,0,0,
24-10 15:16:35,17.225,3.668,78.947,0.159,0,0,4235264,314130432,15877451776,3727360,223019008,0,0,
24-10 15:16:36,16.508,4.603,78.889,0,0,0,0,313876480,15876272128,3727360,224301056,0,0,
24-10 15:16:37,16.032,4.762,78.889,0.317,0,0,12288,313937920,15874592768,3735552,225685504,0,0,
24-10 15:16:38,17.572,3.514,78.754,0.160,0,0,4239360,315101184,15872139264,3751936,226652160,0,0,
24-10 15:16:39,16.482,4.596,78.922,0,0,0,0,315166720,15870992384,3751936,227577856,0,0,
24-10 15:16:40,16.320,4,79.680,0,0,0,0,313946112,15870570496,3751936,228995072,0,0,
24-10 15:16:41,17.165,4.567,78.268,0,0,0,0,314519552,15868649472,3751936,230191104,0,0,
24-10 15:16:42,15.902,4.918,78.033,1.148,0,0,35057664,315564032,15872618496,3907584,224636928,0,0,
