"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","75ec7cdb1353",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs.dstat.csv",,,,"Date:","26 Oct 2022 04:10:13 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
26-10 04:10:13,0.716,0.212,98.971,0.101,0,41809.511,771522.695,270336000,15859957760,20815872,267911168,0.067,0.723,
26-10 04:10:14,4.793,1.653,93.223,0.331,0,77824,0,298098688,15777771520,20819968,320794624,0,0,
26-10 04:10:15,17.676,1.964,80.196,0.164,0,0,139264,299126784,15776108544,20832256,321253376,0,0,
26-10 04:10:16,18.255,2.423,79.160,0.162,0,0,4096,299425792,15775543296,20832256,321458176,0,0,
26-10 04:10:17,18.417,1.939,78.514,1.131,0,0,9183232,299474944,15775252480,20832256,321662976,0,0,
26-10 04:10:18,18.489,1.929,79.582,0,0,0,0,300265472,15774203904,20832256,321896448,0,0,
26-10 04:10:19,17.342,2.593,80.065,0,0,0,1413120,300216320,15773896704,20840448,322174976,0,0,
26-10 04:10:20,17.628,3.205,79.167,0,0,0,0,300339200,15773347840,20840448,322551808,0,0,
26-10 04:10:21,16.775,2.769,80.456,0,0,0,0,300965888,15772233728,20840448,322928640,0,0,
26-10 04:10:22,16.667,3.722,73.139,6.472,0,0,42831872,301080576,15771668480,20848640,323301376,0,0,
26-10 04:10:23,16.343,3.722,79.935,0,0,0,0,301727744,15770554368,20848640,323665920,0,0,
26-10 04:10:24,16.747,3.704,79.388,0.161,0,0,20480,302116864,15769731072,20856832,324022272,0,0,
26-10 04:10:25,17.203,3.215,79.582,0,0,0,0,302481408,15768891392,20856832,324411392,0,0,
26-10 04:10:26,16.935,3.226,79.839,0,0,0,0,303120384,15767793664,20856832,324775936,0,0,
26-10 04:10:27,17.097,3.548,78.710,0.645,0,0,4214784,303906816,15766421504,20881408,325140480,0,0,
26-10 04:10:28,16.694,2.917,80.389,0,0,0,0,304283648,15765581824,20881408,325525504,0,0,
26-10 04:10:29,17.391,2.899,79.710,0,0,0,0,304144384,15765258240,20881408,325894144,0,0,
