"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","e5778f735da2",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 14:06:55 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 14:06:55,0.352,0.116,99.464,0.069,0,28101.747,501712.619,359366656,7535710208,132698112,8159105024,0.064,0.685,
24-10 14:06:56,2.653,1.658,95.357,0.332,0,73728,0,385363968,7455342592,132698112,8212037632,0,0,
24-10 14:06:57,3.483,1.658,94.859,0,0,552960,0,385298432,7454777344,132698112,8212615168,0,0,
24-10 14:06:58,15.806,5,78.710,0.484,0,0,184320,386228224,7453282304,132718592,8213016576,0,0,
24-10 14:06:59,18.669,4.058,77.273,0,0,0,0,387010560,7451602944,132718592,8213737472,0,0,
24-10 14:07:00,21.955,6.410,71.635,0,0,0,0,387682304,7449681920,132718592,8214818816,0,0,
24-10 14:07:01,18.022,5.423,76.555,0,0,0,0,388898816,7447130112,132718592,8215867392,0,0,
24-10 14:07:02,21.290,6.129,71.774,0.806,0,0,10768384,391176192,7444643840,132775936,8215810048,0,0,
24-10 14:07:03,21.301,6.829,71.870,0,0,0,0,390914048,7443447808,132775936,8217051136,0,0,
24-10 14:07:04,19.805,6.656,72.240,1.299,0,0,1445888,390602752,7442444288,132775936,8218062848,0,0,
24-10 14:07:05,17.335,5.136,77.528,0,0,0,0,390979584,7440715776,132775936,8219172864,0,0,
24-10 14:07:06,20.398,7.131,71.808,0.663,0,0,15089664,393011200,7434522624,132849664,8222081024,0,0,
24-10 14:07:07,21.290,7.419,70.645,0.645,0,0,17547264,393797632,7431213056,132956160,8223948800,0,0,
24-10 14:07:08,18.019,5.844,76.136,0,0,0,0,394174464,7429500928,132956160,8225067008,0,0,
24-10 14:07:09,19.262,6.260,73.676,0.803,0,0,10764288,393555968,7420256256,133005312,8234565632,0,0,
24-10 14:07:10,18.212,4.722,69.477,7.589,0,0,97091584,395284480,7419351040,133251072,8231985152,0,0,
