"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","2c1604334c7c",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 14:21:56 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 14:21:56,0.360,0.117,99.453,0.070,0,28213.567,508793.670,277766144,15861215232,23728128,256741376,0.064,0.685,
24-10 14:21:57,3.808,1.159,94.702,0.331,0,65536,0,306044928,15778549760,23728128,309714944,0,0,
24-10 14:21:58,15.509,5.008,78.352,1.131,0,77824,143360,307011584,15777013760,23744512,310009856,0,0,
24-10 14:21:59,16.505,3.722,79.773,0,0,0,0,307871744,15775350784,23744512,310652928,0,0,
24-10 14:22:00,16.370,3.404,80.227,0,0,0,0,308989952,15773122560,23744512,311545856,0,0,
24-10 14:22:01,16.057,5.246,78.537,0.159,0,0,0,309649408,15771168768,23748608,312614912,0,0,
24-10 14:22:02,17.302,4.921,73.175,4.603,0,0,413696,311328768,15764762624,23777280,317054976,0,0,
24-10 14:22:03,16.401,5.096,78.344,0.159,0,0,4182016,312336384,15765630976,23793664,314818560,0,0,
24-10 14:22:04,15.470,5.582,78.947,0,0,0,0,311947264,15764660224,23793664,315928576,0,0,
24-10 14:22:05,16.667,4.921,78.413,0,0,0,0,311541760,15763705856,23793664,317038592,0,0,
24-10 14:22:06,15.470,6.061,78.309,0.159,0,0,4165632,312733696,15761219584,23810048,318058496,0,0,
24-10 14:22:07,15.298,5.636,78.583,0.483,0,0,6639616,312516608,15761764352,23851008,317386752,0,0,
24-10 14:22:08,15.655,5.431,78.914,0,0,0,0,312451072,15760551936,23851008,318447616,0,0,
24-10 14:22:09,16.108,5.423,76.396,2.073,0,0,34013184,312049664,15759613952,23851008,319553536,0,0,
24-10 14:22:10,16.693,5.087,77.901,0.318,0,0,4173824,312971264,15757352960,23867392,320663552,0,0,
24-10 14:22:11,15.249,6.260,77.849,0.642,0,0,10407936,312561664,15756623872,23916544,321462272,0,0,
24-10 14:22:12,17.647,3.816,78.537,0,0,0,0,311934976,15755927552,23916544,322564096,0,0,
24-10 14:22:13,17.268,5.181,77.551,0,0,0,0,312344576,15754199040,23916544,323653632,0,0,
24-10 14:22:14,17.384,5.582,76.077,0.957,0,0,18292736,312750080,15752695808,23998464,324341760,0,0,
24-10 14:22:15,15.968,4.677,75,4.355,0,0,17563648,312852480,15751225344,24010752,325472256,0,0,
24-10 14:22:16,16.508,4.921,78.571,0,0,0,0,312545280,15750287360,24010752,326512640,0,0,
24-10 14:22:17,16.242,5.414,78.025,0.318,0,0,4153344,312836096,15748526080,24027136,327684096,0,0,
24-10 14:22:18,16.480,6.240,76.320,0.960,0,0,17805312,313794560,15746539520,24109056,328282112,0,0,
24-10 14:22:19,16.693,5.512,77.795,0,0,0,0,313909248,15745069056,24109056,329420800,0,0,
24-10 14:22:20,17.170,4.293,78.378,0.159,0,0,32768,313581568,15744131072,24117248,330473472,0,0,
24-10 14:22:21,15.840,5.440,78.400,0.320,0,0,4128768,314109952,15742128128,24133632,331616256,0,0,
24-10 14:22:22,16.906,5.901,75.917,1.276,0,0,21397504,313970688,15741091840,24223744,332279808,0,0,
24-10 14:22:23,15.113,5.305,79.582,0,0,0,0,313880576,15739895808,24223744,333365248,0,0,
24-10 14:22:24,16.006,5.705,78.288,0,0,0,0,313745408,15738667008,24223744,334487552,0,0,
24-10 14:22:25,17.308,5.929,74.679,2.083,0,0,29184000,314433536,15736905728,24363008,335192064,0,0,
24-10 14:22:26,16.772,5.063,78.165,0,0,0,0,314544128,15735451648,24363008,336314368,0,0,
24-10 14:22:27,15.495,5.431,79.073,0,0,0,0,314490880,15734255616,24363008,337358848,0,0,
24-10 14:22:28,16.482,5.388,77.971,0.158,0,0,4157440,314048512,15733268480,24379392,338534400,0,0,
24-10 14:22:29,18.240,5.280,75.360,1.120,0,0,30633984,314830848,15731249152,24535040,339361792,0,0,
24-10 14:22:30,16.108,5.423,77.990,0.478,0,0,10883072,314634240,15730036736,24567808,340426752,0,0,
24-10 14:22:31,16.480,4.480,79.040,0,0,0,0,314503168,15728824320,24567808,341532672,0,0,
24-10 14:22:32,15.806,5.161,78.548,0.484,0,0,7991296,315822080,15726481408,24616960,342237184,0,0,
24-10 14:22:33,18.022,5.901,74.801,1.276,0,0,36388864,315781120,15724802048,24797184,343408640,0,0,
24-10 14:22:34,15.273,5.145,79.582,0,0,0,0,315944960,15723347968,24797184,344494080,0,0,
24-10 14:22:35,15.815,5.591,78.115,0.479,0,0,4198400,315715584,15722119168,24821760,345657344,0,0,
24-10 14:22:36,17.544,6.858,73.365,2.233,0,0,36814848,315842560,15720873984,25001984,346263552,0,0,
24-10 14:22:37,15.385,5.929,78.365,0.321,0,0,4673536,314740736,15720677376,25034752,347389952,0,0,
24-10 14:22:38,15.680,5.280,79.040,0,0,0,0,315133952,15718965248,25034752,348512256,0,0,
24-10 14:22:39,17.089,5.854,75.949,1.108,0,0,12255232,315301888,15713624064,25100288,353312768,0,0,
24-10 14:22:40,16.372,6.421,74.639,2.568,0,0,34754560,315887616,15715393536,25272320,350420992,0,0,
24-10 14:22:41,15.556,5.873,78.571,0,0,0,0,315736064,15714197504,25272320,351567872,0,0,
24-10 14:22:42,20.325,6.829,72.033,0.813,0,0,12201984,315613184,15708807168,25329664,356675584,0,0,
24-10 14:22:43,17.363,6.270,74.116,2.251,0,0,38121472,316465152,15710658560,25493504,353509376,0,0,
24-10 14:22:44,15.520,5.280,79.200,0,0,0,0,316538880,15709171712,25493504,354684928,0,0,
24-10 14:22:45,16.984,4.921,77.619,0.476,0,0,4198400,316338176,15708008448,25518080,355827712,0,0,
24-10 14:22:46,16.425,6.602,75.362,1.610,0,0,49582080,316420096,15706439680,25747456,356655104,0,0,
24-10 14:22:47,16.294,4.633,79.073,0,0,0,0,316809216,15704711168,25747456,357777408,0,0,
24-10 14:22:48,16.746,4.785,78.309,0.159,0,0,4198400,317722624,15702499328,25763840,358891520,0,0,
24-10 14:22:49,15.987,6.036,76.183,1.794,0,4096,52228096,316940288,15700815872,26005504,360620032,0,0,
24-10 14:22:50,17.253,4.690,75.042,3.015,0,4096,83791872,319123456,15674286080,26423296,382930944,0,0,
24-10 14:22:51,16.832,6.271,73.267,3.630,0,4096,115113984,318464000,15685156864,26935296,371007488,0,0,
24-10 14:22:52,15.974,5.272,78.275,0.479,0,0,4202496,318631936,15683686400,26951680,372133888,0,0,
24-10 14:22:53,18.341,6.539,72.089,3.030,0,4096,48214016,318451712,15661346816,27176960,393805824,0,0,
24-10 14:22:54,17.405,5.380,75.633,1.582,0,0,18042880,318361600,15681212416,27275264,373960704,0,0,
24-10 14:22:55,16.375,5.405,77.742,0.477,0,0,4222976,318701568,15679389696,27299840,375189504,0,0,
24-10 14:22:56,16.264,5.153,77.778,0.805,0,0,10182656,318300160,15672143872,27357184,382558208,0,0,
24-10 14:22:57,19.620,6.487,70.570,3.323,0,4096,59256832,318603264,15677042688,27631616,376717312,0,0,
24-10 14:22:58,16.906,4.147,78.947,0,0,0,0,318656512,15675588608,27631616,377913344,0,0,
24-10 14:22:59,16.290,4.677,78.548,0.484,0,0,7892992,318578688,15674908672,27680768,378462208,0,0,
24-10 14:23:00,17.370,5.195,75,2.435,0,8192,68980736,318775296,15671566336,28000256,380817408,0,0,
24-10 14:23:01,15.916,5.305,78.296,0.482,0,0,13365248,317243392,15669080064,28033024,384618496,0,0,
24-10 14:23:02,17.152,5.663,74.757,2.427,0,4096,70418432,318074880,15668154368,28364800,383799296,0,0,
24-10 14:23:03,15.559,4.538,79.741,0.162,0,0,4222976,318377984,15666458624,28381184,384983040,0,0,
24-10 14:23:04,16.775,6.515,74.267,2.443,0,4096,79159296,319311872,15662960640,28753920,386654208,0,0,
24-10 14:23:05,16.294,4.792,78.115,0.799,0,0,4349952,320442368,15659900928,28786688,388214784,0,0,
24-10 14:23:06,18.051,6.070,73.482,2.396,0,0,37187584,319324160,15647592448,28966912,401162240,0,0,
24-10 14:23:07,18.109,5.288,74.038,2.564,0,4096,44929024,319688704,15657959424,29175808,389947392,0,0,
24-10 14:23:08,16.827,4.167,78.846,0.160,0,0,4222976,319700992,15656488960,29192192,391196672,0,0,
24-10 14:23:09,17.572,6.869,72.524,3.035,0,0,50642944,319418368,15647506432,29446144,399560704,0,0,
24-10 14:23:10,16.480,6.400,74.880,2.240,0,4096,34643968,319365120,15653773312,29614080,393125888,0,0,
24-10 14:23:11,16.506,4.487,78.846,0.160,0,0,4227072,319733760,15652110336,29630464,394260480,0,0,
24-10 14:23:12,20.484,6.613,70.323,2.581,0,4096,88133632,320446464,15649026048,30052352,395767808,0,0,
24-10 14:23:13,16.480,4.640,78.720,0.160,0,0,4263936,320327680,15647571968,30076928,397135872,0,0,
24-10 14:23:14,18.095,4.603,76.984,0.317,0,0,5828608,319598592,15643553792,30126080,401694720,0,0,
24-10 14:23:15,17.638,5.987,73.786,2.589,0,4096,85196800,319832064,15644856320,30515200,399290368,0,0,
24-10 14:23:16,17.120,4.480,77.600,0.800,0,0,14999552,319516672,15643086848,30580736,401129472,0,0,
24-10 14:23:17,17.724,6.016,73.984,2.276,0,4096,74100736,319160320,15638204416,30904320,405803008,0,0,
24-10 14:23:18,16.186,5.128,78.205,0.481,0,0,16666624,319721472,15640494080,30986240,402604032,0,0,
24-10 14:23:19,16.640,4.960,77.600,0.800,0,0,7942144,319954944,15639572480,31051776,403103744,0,0,
24-10 14:23:20,18.680,6.763,70.531,4.026,0,4096,69795840,319545344,15637970944,31367168,404242432,0,0,
24-10 14:23:21,16.640,5.600,76.320,1.440,0,4096,22548480,320307200,15635660800,31477760,405549056,0,0,
24-10 14:23:22,16.559,4.662,78.296,0.482,0,0,7942144,320491520,15634739200,31543296,405995520,0,0,
24-10 14:23:23,17.638,6.634,72.816,2.913,0,4096,92168192,319717376,15632281600,31956992,408219648,0,0,
24-10 14:23:24,16.294,4.952,78.435,0.319,0,0,4243456,320585728,15630036992,31973376,409403392,0,0,
24-10 14:23:25,17.788,6.410,73.718,2.083,0,4096,64557056,320086016,15612534784,32280576,426627072,0,0,
24-10 14:23:26,16.077,5.788,77.170,0.965,0,0,31150080,320577536,15626723328,32436224,411447296,0,0,
24-10 14:23:27,16.372,4.815,77.849,0.963,0,0,8318976,320053248,15626575872,32501760,411889664,0,0,
24-10 14:23:28,18.240,6.240,72.640,2.880,0,4096,63586304,319606784,15608315904,32776192,430006272,0,0,
24-10 14:23:29,17.675,5.732,74.682,1.911,0,4096,39141376,319160320,15620407296,32968704,417923072,0,0,
24-10 14:23:30,16.825,4.921,77.460,0.794,0,0,7897088,320884736,15621308416,33034240,415100928,0,0,
24-10 14:23:31,19.489,7.987,67.572,4.952,0,4096,105668608,319160320,15606304768,33521664,430649344,0,0,
24-10 14:23:32,16.800,4.480,78.400,0.320,0,0,11165696,320204800,15617687552,33538048,417898496,0,0,
24-10 14:23:33,16.533,4.494,78.652,0.321,0,0,5808128,320376832,15614701568,33595392,420483072,0,0,
24-10 14:23:34,18.094,6.462,72.052,3.393,0,12288,108519424,320761856,15613390848,34099200,420675584,0,0,
24-10 14:23:35,15.883,5.835,77.147,1.135,0,0,33005568,319660032,15607017472,34271232,427397120,0,0,
24-10 14:23:36,18.910,5.288,73.077,2.724,0,4096,84410368,321204224,15609303040,34668544,423022592,0,0,
24-10 14:23:37,16.827,4.647,77.885,0.641,0,0,7852032,320274432,15609688064,34734080,423448576,0,0,
24-10 14:23:38,18.750,5.929,72.436,2.885,0,0,45379584,319541248,15592734720,34930688,440381440,0,0,
24-10 14:23:39,17.419,7.581,70.323,4.677,0,0,71151616,320933888,15605182464,35266560,425988096,0,0,
24-10 14:23:40,16.772,5.538,76.899,0.791,0,0,7827456,321220608,15604228096,35332096,426442752,0,0,
24-10 14:23:41,20.130,5.682,70.130,4.058,0,0,101396480,319840256,15599079424,35790848,431955968,0,0,
24-10 14:23:42,22.977,4.693,70.712,1.618,0,0,32198656,321634304,15600173056,35938304,428838912,0,0,
24-10 14:23:43,22.632,6.581,67.737,3.050,0,0,63762432,321855488,15579316224,36216832,448856064,0,0,
24-10 14:23:44,17.949,5.449,74.359,2.244,0,0,43290624,321429504,15596666880,36413440,431480832,0,0,
24-10 14:23:45,16.019,4.693,78.317,0.971,0,0,7831552,322916352,15594455040,36478976,431968256,0,0,
24-10 14:23:46,19.677,5.645,70.806,3.871,0,0,56500224,320937984,15575744512,36732928,452034560,0,0,
24-10 14:23:47,18.831,5.519,71.591,4.058,0,0,68608000,320557056,15590014976,37052416,437710848,0,0,
24-10 14:23:48,16.957,5.071,77.179,0.792,0,0,7811072,321830912,15591399424,37117952,434839552,0,0,
24-10 14:23:49,19.937,8.703,66.614,4.747,0,0,81784832,321880064,15575494656,37470208,449847296,0,0,
24-10 14:23:50,18.400,6.080,72.800,2.720,0,0,49815552,322187264,15587233792,37691392,437362688,0,0,
24-10 14:23:51,16.960,4.160,78.400,0.480,0,0,3584000,321933312,15586955264,37748736,437731328,0,0,
24-10 14:23:52,18.387,7.258,69.355,5,0,0,140484608,322207744,15582642176,38346752,440442880,0,0,
24-10 14:23:53,18.269,5.609,73.558,2.564,0,0,43655168,322011136,15564382208,38559744,458350592,0,0,
24-10 14:23:54,18.578,6.947,69.144,5.331,0,0,96804864,321724416,15579258880,39002112,442830848,0,0,
24-10 14:23:55,16.800,4.800,77.440,0.960,0,0,8454144,321982464,15573893120,39084032,447860736,0,0,
24-10 14:23:56,20.513,5.769,69.551,4.167,0,0,63795200,321327104,15555391488,39354368,466362368,0,0,
24-10 14:23:57,19.936,6.913,68.489,4.662,0,0,72249344,322060288,15575146496,39698432,445599744,0,0,
24-10 14:23:58,17.302,5.556,76.032,1.111,0,0,14983168,321536000,15562096640,39796736,458907648,0,0,
24-10 14:23:59,18.152,7.455,70.016,4.376,0,0,92086272,322838528,15571415040,40206336,447430656,0,0,
24-10 14:24:00,18.459,5.457,74.639,1.445,0,0,43737088,322510848,15570911232,40443904,447856640,0,0,
24-10 14:24:01,18.810,6.109,71.865,3.215,0,0,97624064,322777088,15567945728,40902656,449527808,0,0,
24-10 14:24:02,18.560,5.760,73.440,2.240,0,0,55136256,322293760,15566184448,41115648,451244032,0,0,
24-10 14:24:03,17.891,5.272,75.240,1.597,0,0,27324416,323162112,15564562432,41279488,451682304,0,0,
24-10 14:24:04,20.418,8.199,65.916,5.466,0,0,105390080,321957888,15555915776,41754624,460759040,0,0,
24-10 14:24:05,16.800,5.440,76.320,1.440,0,4096,23355392,323084288,15561621504,41897984,453419008,0,0,
24-10 14:24:06,19.101,5.778,72.231,2.889,0,0,45121536,321515520,15541055488,42119168,474959872,0,0,
