"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","2f4834a3b63c",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 14:38:59 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 14:38:59,0.368,0.119,99.443,0.070,0,28330.670,515561.376,279334912,15864590336,20742144,255315968,0.064,0.684,
24-10 14:39:00,3.328,1.830,94.509,0.333,0,135168,0,306667520,15782559744,20742144,308367360,0,0,
24-10 14:39:01,16.532,3.890,78.930,0.648,0,4096,143360,308482048,15778369536,20758528,310231040,0,0,
24-10 14:39:02,15.806,5.323,78.710,0.161,0,0,0,309522432,15776124928,20758528,311201792,0,0,
24-10 14:39:03,17.378,4.897,77.725,0,0,0,0,310788096,15773638656,20758528,312193024,0,0,
24-10 14:39:04,16.508,5.714,77.460,0.317,0,0,4194304,312610816,15770345472,20774912,313282560,0,0,
24-10 14:39:05,17.035,5.047,77.918,0,0,0,0,312500224,15769133056,20774912,314355712,0,0,
24-10 14:39:06,15.459,5.153,79.388,0,0,0,0,312369152,15767920640,20774912,315453440,0,0,
24-10 14:39:07,17.089,4.747,78.165,0,0,0,4096,312258560,15766724608,20774912,316530688,0,0,
24-10 14:39:08,15.680,6.400,76.640,1.280,0,0,10842112,312827904,15766528000,20840448,315838464,0,0,
24-10 14:39:09,15.764,5.573,78.662,0,0,0,0,313225216,15764783104,20840448,316964864,0,0,
24-10 14:39:10,16.879,4.459,78.662,0,0,0,0,313122816,15763587072,20840448,318021632,0,0,
24-10 14:39:11,15.498,4.241,79.772,0.489,0,0,4173824,313933824,15761342464,20856832,319098880,0,0,
24-10 14:39:12,17.170,5.723,74.086,3.021,0,0,12042240,313839616,15760322560,20905984,319885312,0,0,
24-10 14:39:13,15.789,5.263,78.947,0,0,0,0,313720832,15759110144,20905984,320995328,0,0,
24-10 14:39:14,16.482,5.388,78.130,0,0,0,0,313397248,15758188544,20905984,322048000,0,0,
24-10 14:39:15,16.399,5.627,77.331,0.643,0,0,18292736,313896960,15756640256,20987904,322838528,0,0,
24-10 14:39:16,16.317,5.654,77.383,0.646,0,0,21958656,315273216,15749042176,21086208,327573504,0,0,
24-10 14:39:17,16.561,4.618,78.822,0,0,0,0,314912768,15748120576,21086208,328667136,0,0,
24-10 14:39:18,16.425,4.992,74.074,4.509,0,0,29671424,315400192,15743795200,21094400,332247040,0,0,
24-10 14:39:19,15.924,6.688,76.433,0.955,0,0,25526272,315891712,15744307200,21200896,330784768,0,0,
24-10 14:39:20,16.667,4.921,78.413,0,0,0,0,315576320,15743336448,21200896,331837440,0,0,
24-10 14:39:21,16.242,5.096,78.662,0,0,0,0,315432960,15742140416,21200896,332976128,0,0,
24-10 14:39:22,15.832,6.300,76.898,0.969,0,0,29179904,315568128,15740669952,21331968,333647872,0,0,
24-10 14:39:23,15.509,5.170,74.475,4.847,0,0,21753856,315588608,15739035648,21340160,335024128,0,0,
24-10 14:39:24,16.320,4.480,79.200,0,0,0,0,315449344,15737839616,21340160,336150528,0,0,
24-10 14:39:25,16.480,4.960,78.400,0.160,0,0,4157440,315285504,15736643584,21356544,337268736,0,0,
24-10 14:39:26,17.468,5.449,76.122,0.962,0,0,30633984,314568704,15736123392,21512192,338071552,0,0,
24-10 14:39:27,16.026,5.288,78.365,0.321,0,0,3850240,314900480,15734411264,21536768,339144704,0,0,
24-10 14:39:28,15.409,5.297,78.973,0.321,0,0,32768,314982400,15732940800,21544960,340291584,0,0,
24-10 14:39:29,16.852,5.882,76.312,0.954,0,0,12324864,314118144,15727616000,21610496,346128384,0,0,
24-10 14:39:30,16.452,6.613,74.677,2.258,0,0,32059392,315564032,15729807360,21774336,342081536,0,0,
24-10 14:39:31,16,4.960,79.040,0,0,0,0,315928576,15728111616,21774336,343220224,0,0,
24-10 14:39:32,16.852,4.928,77.901,0.318,0,0,4153344,316243968,15726399488,21790720,344354816,0,0,
24-10 14:39:33,17.581,5.968,73.548,2.903,0,0,36782080,315367424,15726186496,21979136,345010176,0,0,
24-10 14:39:34,16.562,5.994,76.972,0.473,0,0,4685824,316280832,15723941888,22011904,346083328,0,0,
24-10 14:39:35,16.772,5.222,78.006,0,0,0,0,316620800,15722229760,22011904,347234304,0,0,
24-10 14:39:36,17.846,4.341,76.367,1.447,0,0,15736832,315117568,15714291712,22085632,356327424,0,0,
24-10 14:39:37,17.937,5.714,75.238,1.111,0,0,31268864,315830272,15720189952,22241280,349179904,0,0,
24-10 14:39:38,15.730,4.976,78.973,0.321,0,0,45056,315695104,15718977536,22249472,350302208,0,0,
24-10 14:39:39,17.357,4.777,77.229,0.637,0,0,7888896,316518400,15717265408,22290432,350965760,0,0,
24-10 14:39:40,16.533,6.902,74.318,2.247,0,0,42438656,316026880,15715971072,22470656,352149504,0,0,
24-10 14:39:41,16.774,3.548,79.677,0,0,0,0,315604992,15715049472,22470656,353308672,0,0,
24-10 14:39:42,16.957,5.071,77.655,0.317,0,0,4186112,315691008,15713595392,22487040,354447360,0,0,
24-10 14:39:43,17.806,7.472,71.542,3.180,0,0,49545216,317300736,15710752768,22728704,355065856,0,0,
24-10 14:39:44,16.562,5.521,77.760,0.158,0,0,7270400,317714432,15709040640,22728704,356159488,0,0,
24-10 14:39:45,16.129,4.839,79.032,0,0,0,0,316264448,15709151232,22728704,357314560,0,0,
24-10 14:39:46,16.667,6.090,76.442,0.801,0,0,18788352,316112896,15696584704,22818816,369618944,0,0,
24-10 14:39:47,16.990,4.854,77.023,1.133,0,4096,37638144,316092416,15706370048,22986752,359268352,0,0,
24-10 14:39:48,16.216,5.087,78.219,0.477,0,0,24576,315916288,15705190400,22994944,360423424,0,0,
24-10 14:39:49,17.011,5.246,77.424,0.318,0,0,7995392,316719104,15703445504,23044096,361050112,0,0,
24-10 14:39:50,16.963,6.139,75.444,1.454,0,0,47976448,316145664,15702134784,23257088,362369024,0,0,
24-10 14:39:51,16.454,5.112,77.955,0.479,0,0,4726784,317480960,15699390464,23289856,363491328,0,0,
24-10 14:39:52,17.544,4.466,77.352,0.638,0,0,7929856,317292544,15698567168,23339008,364257280,0,0,
