"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cc21858028a4",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","25 Oct 2022 18:50:57 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
25-10 18:50:57,0.561,0.175,99.170,0.094,0,34971.563,707345.457,272191488,15867465728,16642048,262332416,0.068,0.733,
25-10 18:50:58,8.717,3.125,86.513,1.645,0,73728,17399808,309596160,15771602944,16728064,318894080,0,0,
25-10 18:50:59,17.771,5.331,76.737,0.162,0,0,8597504,309329920,15763832832,16760832,326639616,0,0,
25-10 18:51:00,18.760,5.873,73.409,1.958,0,0,62283776,309919744,15731081216,17006592,357838848,0,0,
25-10 18:51:01,17.406,7.389,71.921,3.284,0,0,96534528,307617792,15701975040,17457152,387809280,0,0,
25-10 18:51:02,18.548,4.839,75.323,1.290,0,0,11542528,306810880,15696621568,17514496,393646080,0,0,
25-10 18:51:03,18.501,5.582,65.231,10.686,0,0,27463680,306614272,15690428416,17580032,399904768,0,0,
25-10 18:51:04,18.374,5.528,73.496,2.602,0,0,24440832,307548160,15683170304,17686528,405929984,0,0,
25-10 18:51:05,17.713,4.670,76.973,0.644,0,0,4308992,307064832,15677235200,17702912,412172288,0,0,
25-10 18:51:06,20.032,5.288,71.635,3.045,0,4096,28696576,306888704,15656075264,17829888,433037312,0,0,
25-10 18:51:07,17.419,5.161,76.290,1.129,0,0,7024640,306483200,15665106944,17895424,424382464,0,0,
25-10 18:51:08,18.094,5.331,75.606,0.969,0,0,15241216,307683328,15657316352,17985536,430628864,0,0,
25-10 18:51:09,17.846,5.627,68.971,7.556,0,0,37724160,307445760,15651241984,18067456,436654080,0,0,
25-10 18:51:10,18.226,6.129,72.581,3.065,0,0,24240128,307519488,15644614656,18223104,442884096,0,0,
25-10 18:51:11,17.314,4.854,77.184,0.647,0,0,4313088,306991104,15638937600,18239488,448958464,0,0,
25-10 18:51:12,17.724,5.041,75.772,1.463,0,0,14827520,306421760,15628873728,18305024,459272192,0,0,
25-10 18:51:13,18.680,5.636,72.142,3.543,0,0,22396928,307286016,15625777152,18477056,461258752,0,0,
25-10 18:51:14,17.949,4.968,76.282,0.801,0,0,4345856,306511872,15620358144,18501632,467283968,0,0,
25-10 18:51:15,19.262,5.136,73.194,2.408,0,0,21708800,306892800,15613341696,18632704,473530368,0,0,
25-10 18:51:16,18.871,5.323,73.548,2.258,0,0,21798912,306970624,15606824960,18784256,479580160,0,0,
25-10 18:51:17,17.398,4.715,76.911,0.976,0,0,8609792,307273728,15600373760,18817024,485580800,0,0,
25-10 18:51:18,18.006,5.305,75.563,1.125,0,0,10805248,306503680,15594696704,18882560,491806720,0,0,
25-10 18:51:19,19.231,5.128,73.718,1.923,0,0,19406848,307281920,15581712384,18980864,503738368,0,0,
25-10 18:51:20,18.226,5,75.161,1.613,0,0,17272832,306618368,15581179904,19103744,504590336,0,0,
25-10 18:51:21,18.035,5.153,75.201,1.610,0,0,12976128,306204672,15570841600,19152896,515022848,0,0,
25-10 18:51:22,18.065,6.290,72.903,2.742,0,0,23441408,307503104,15567437824,19324928,516796416,0,0,
25-10 18:51:23,18.501,5.104,75.598,0.797,0,0,8585216,306741248,15557615616,19349504,527081472,0,0,
25-10 18:51:24,18.109,5.769,74.679,1.442,0,0,10563584,307527680,15554744320,19431424,529002496,0,0,
25-10 18:51:25,17.524,5.949,75.080,1.447,0,0,10461184,306995200,15548809216,19496960,535248896,0,0,
25-10 18:51:26,18.750,6.090,71.795,3.365,0,0,25600000,307589120,15541841920,19652608,541290496,0,0,
25-10 18:51:27,18.019,4.383,77.435,0.162,0,0,4313088,309043200,15534350336,19668992,547164160,0,0,
25-10 18:51:28,18.434,5.383,73.409,2.773,0,0,29876224,309293056,15512367104,19816448,568414208,0,0,
