"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","4572c94c6989",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","25 Oct 2022 16:40:44 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
25-10 16:40:44,0.525,0.165,99.216,0.094,0,32437.188,703358.966,274448384,15756619776,121294848,262758400,0.068,0.736,
25-10 16:40:45,11.639,4.262,82.295,1.803,0,73728,4612096,303943680,15675912192,121323520,312590336,0,0,
25-10 16:40:46,18.710,5.161,75.161,0.968,0,0,12890112,302039040,15663726592,121372672,326324224,0,0,
25-10 16:40:47,17.994,5.892,75.637,0.478,0,0,4321280,303144960,15665274880,121397248,323567616,0,0,
25-10 16:40:48,17.915,5.375,75.407,1.303,0,0,17256448,302653440,15651033088,121462784,337883136,0,0,
25-10 16:40:49,18.578,4.200,76.414,0.808,0,0,10727424,303149056,15652564992,121511936,335773696,0,0,
25-10 16:40:50,16.883,6.169,75,1.948,0,0,17760256,303271936,15639629824,121569280,348225536,0,0,
25-10 16:40:51,19.360,4.640,74.560,1.440,0,0,17076224,303800320,15638839296,121643008,348299264,0,0,
25-10 16:40:52,18.357,4.348,76.329,0.966,0,0,8593408,303915008,15632355328,121675776,354455552,0,0,
25-10 16:40:53,18.720,6.560,72.160,2.560,0,0,29077504,303472640,15625871360,121823232,361070592,0,0,
25-10 16:40:54,19.262,5.297,73.194,2.247,0,0,22536192,303706112,15619145728,121921536,367251456,0,0,
25-10 16:40:55,18.578,4.039,74.313,3.069,0,0,43278336,303783936,15612694528,121942016,373452800,0,0,
25-10 16:40:56,18.138,6.260,74.799,0.803,0,4096,23527424,303644672,15597694976,122044416,388231168,0,0,
25-10 16:40:57,18.046,5.795,73.344,2.815,0,0,78028800,305946624,15560564736,122421248,421560320,0,0,
25-10 16:40:58,17.742,6.129,74.032,2.097,0,4096,50888704,306319360,15544483840,122720256,436490240,0,0,
25-10 16:40:59,19.040,5.600,73.440,1.920,0,0,24252416,306724864,15536807936,122875904,443232256,0,0,
25-10 16:41:00,16.883,5.032,77.273,0.812,0,0,4345856,305676288,15531773952,122900480,449212416,0,0,
25-10 16:41:01,17.628,5.929,75.321,1.122,0,0,10895360,306073600,15525306368,122966016,455057408,0,0,
25-10 16:41:02,17.270,6.908,72.039,3.783,0,4096,78491648,306749440,15494017024,123457536,484384768,0,0,
25-10 16:41:03,18.138,5.618,75.281,0.963,0,0,15110144,307007488,15487033344,123539456,490762240,0,0,
25-10 16:41:04,16.963,5.654,76.414,0.969,0,0,10760192,306139136,15481356288,123604992,497090560,0,0,
25-10 16:41:05,18.152,5.835,73.744,2.269,0,0,25915392,306360320,15474614272,123760640,503349248,0,0,
25-10 16:41:06,17.496,5.136,77.047,0.321,0,0,4313088,305676288,15468937216,123777024,509464576,0,0,
25-10 16:41:07,17.949,7.051,72.917,2.083,0,4096,27979776,305520640,15449309184,123912192,528818176,0,0,
25-10 16:41:08,18.182,5.263,75.598,0.957,0,0,8396800,306241536,15454969856,124002304,522211328,0,0,
25-10 16:41:09,18.299,5.457,74.478,1.766,0,0,14852096,306548736,15448518656,124092416,528252928,0,0,
25-10 16:41:10,18.299,4.976,75.602,1.124,0,0,10448896,305975296,15442550784,124157952,534429696,0,0,
25-10 16:41:11,19.458,5.901,71.930,2.711,0,0,25604096,307089408,15434616832,124313600,540745728,0,0,
25-10 16:41:12,16.803,4.731,77.977,0.489,0,0,4313088,305819648,15429857280,124329984,546729984,0,0,
25-10 16:41:13,18.820,5.423,74.801,0.957,0,0,14643200,306069504,15419244544,124411904,556896256,0,0,
25-10 16:41:14,18.850,5.911,73.163,2.077,0,0,21200896,306552832,15416389632,124559360,558874624,0,0,
25-10 16:41:15,17.817,4.976,76.886,0.321,0,0,4313088,305971200,15410712576,124575744,564973568,0,0,
25-10 16:41:16,18.730,4.886,74.593,1.792,0,4096,20357120,308293632,15402172416,124710912,570974208,0,0,
25-10 16:41:17,18.152,5.186,75.041,1.621,0,0,21082112,307941376,15395446784,124858368,577597440,0,0,
25-10 16:41:18,18.080,5.280,76.320,0.320,0,0,8622080,307253248,15389769728,124891136,583778304,0,0,
