"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","a74dceb63266",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-64k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","25 Oct 2022 17:54:39 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
25-10 17:54:39,0.545,0.171,99.189,0.094,0,33973.246,705832.176,274456576,15865352192,16683008,262103040,0.068,0.734,
25-10 17:54:40,11.667,4.500,81.167,2.667,0,73728,25960448,314515456,15760945152,16801792,324247552,0,0,
25-10 17:54:41,19.810,4.754,74.960,0.475,0,0,4304896,310267904,15759814656,16818176,329707520,0,0,
25-10 17:54:42,17.771,5.493,75.606,1.131,0,0,10797056,308363264,15755653120,16867328,335470592,0,0,
25-10 17:54:43,17.869,5.410,74.754,1.967,0,0,21553152,307654656,15743766528,16957440,347705344,0,0,
25-10 17:54:44,18.519,5.314,73.108,3.060,0,0,24567808,307789824,15743750144,17022976,347516928,0,0,
25-10 17:54:45,18.138,5.136,76.244,0.482,0,0,8593408,308318208,15736680448,17055744,353755136,0,0,
25-10 17:54:46,17.521,7.107,72.066,3.306,0,0,92676096,308056064,15701782528,17473536,387624960,0,0,
25-10 17:54:47,18.062,7.061,71.757,3.120,0,4096,95858688,308707328,15662202880,17903616,424972288,0,0,
25-10 17:54:48,17.292,6.362,73.736,2.610,0,0,60936192,310067200,15635714048,18272256,449191936,0,0,
25-10 17:54:49,19.063,5.493,73.667,1.777,0,0,28479488,309051392,15616688128,18411520,468561920,0,0,
25-10 17:54:50,17.147,6.571,72.596,3.686,0,0,43769856,308936704,15623155712,18522112,462069760,0,0,
25-10 17:54:51,17.771,5.493,75.283,1.454,0,4096,15130624,307900416,15611269120,18591744,474611712,0,0,
