"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","e83ea8f2118c",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 11:20:51 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 11:20:51,0.337,0.112,99.483,0.068,0,27592.051,494170.291,282107904,15757787136,118771712,255053824,0.064,0.688,
24-10 11:20:52,3.648,1.990,93.864,0.498,0,258048,0,308006912,15685865472,118771712,299778048,0,0,
24-10 11:20:53,19.318,3.571,76.786,0.325,0,0,4308992,311648256,15676444672,118788096,305381376,0,0,
24-10 11:20:54,19.417,4.207,75.405,0.971,0,0,12914688,311341056,15670804480,118845440,310943744,0,0,
24-10 11:20:55,17.666,4.700,77.310,0.324,0,0,4325376,311050240,15665385472,118861824,316616704,0,0,
24-10 11:20:56,17.705,5.082,75.246,1.967,0,0,23826432,311992320,15656812544,118972416,323887104,0,0,
24-10 11:20:57,17.105,5.428,74.178,3.289,0,0,42881024,314785792,15630024704,119144448,346918912,0,0,
24-10 11:20:58,19.032,5.323,73.548,2.097,0,0,29089792,314273792,15623892992,119291904,353284096,0,0,
24-10 11:20:59,17.810,4.902,76.307,0.980,0,0,26845184,313782272,15610392576,119406592,366718976,0,0,
24-10 11:21:00,18.049,5.854,71.545,4.553,0,4096,75812864,314114048,15601586176,119558144,374759424,0,0,
24-10 11:21:01,18.153,5.573,75.637,0.637,0,0,8626176,314888192,15594602496,119590912,380866560,0,0,
24-10 11:21:02,18.501,5.423,75.279,0.797,0,0,11542528,314155008,15588651008,119648256,387219456,0,0,
24-10 11:21:03,17.920,6.400,74.720,0.960,0,0,15859712,314175488,15579602944,119730176,395964416,0,0,
24-10 11:21:04,17.314,5.502,76.052,1.133,0,0,17924096,313729024,15575715840,119812096,400093184,0,0,
