"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","a58df4b8a9e5",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","21 Oct 2022 13:45:03 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
21-10 13:45:03,0.199,0.062,99.699,0.040,0,14707.703,312297.002,278065152,15456968704,360009728,309477376,0.048,0.690,
21-10 13:45:04,12.231,4.132,82.149,1.488,0,73728,25829376,311365632,15355850752,360108032,375214080,0,0,
21-10 13:45:05,17.637,4.825,74.542,2.995,0,0,58052608,311656448,15335268352,360280064,394670080,0,0,
21-10 13:45:06,18.780,4.655,73.194,3.371,0,0,34775040,311205888,15330140160,360296448,400166912,0,0,
21-10 13:45:07,18.627,4.575,75.654,1.144,0,0,25399296,311762944,15322865664,360415232,406450176,0,0,
21-10 13:45:08,16.313,6.036,76.835,0.816,0,0,21962752,312193024,15312125952,360505344,416530432,0,0,
21-10 13:45:09,18.328,5.305,75.563,0.804,0,4096,15286272,311656448,15306301440,360579072,422514688,0,0,
21-10 13:45:10,17.496,6.742,74.960,0.803,0,0,21868544,311988224,15299592192,360644608,428691456,0,0,
21-10 13:45:11,17.484,4.248,77.941,0.327,0,0,8617984,312172544,15292981248,360673280,434851840,0,0,
21-10 13:45:12,17.349,4.419,76.759,1.473,0,0,24600576,311889920,15286616064,360710144,441249792,0,0,
21-10 13:45:13,17.788,5.929,75.641,0.641,0,0,15077376,311078912,15279431680,360767488,449118208,0,0,
21-10 13:45:14,17.311,5.714,73.782,3.193,0,4096,88367104,311742464,15242575872,361115648,483819520,0,0,
21-10 13:45:15,18.136,5.491,72.546,3.827,0,4096,91521024,312320000,15202463744,361545728,521875456,0,0,
21-10 13:45:16,16.777,6.645,72.924,3.654,0,0,90013696,312983552,15162077184,361963520,559939584,0,0,
21-10 13:45:17,18.062,5.583,72.742,3.612,0,4096,74403840,314732544,15131271168,362328064,587714560,0,0,
21-10 13:45:18,17.428,5.076,73.773,3.723,0,8192,87392256,314744832,15090741248,362737664,626733056,0,0,
21-10 13:45:19,18.152,5.511,74.716,1.621,0,0,36691968,314425344,15076401152,362901504,640786432,0,0,
21-10 13:45:20,18.138,5.457,75.923,0.482,0,0,8646656,315478016,15069442048,362938368,646594560,0,0,
21-10 13:45:21,18.167,4.984,76.206,0.643,0,0,10649600,315383808,15063506944,362987520,652521472,0,0,
21-10 13:45:22,17.713,6.441,74.879,0.966,0,0,21405696,314814464,15050088448,363057152,666173440,0,0,
21-10 13:45:23,17.828,4.700,76.499,0.972,0,4096,14929920,315375616,15050588160,363167744,664838144,0,0,
