"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","2da91142513d",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-64k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 19:28:58 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 19:28:58,0.444,0.140,99.341,0.074,0,29501.081,570979.587,281010176,15862108160,16953344,259371008,0.063,0.679,
24-10 19:28:59,5.298,3.311,91.060,0.331,0,73728,151552,312037376,15784222720,16965632,304758784,0,0,
24-10 19:29:00,16.748,6.504,76.585,0.163,0,0,4300800,311623680,15778533376,16982016,310743040,0,0,
24-10 19:29:01,19.777,5.104,74.641,0.478,0,0,12922880,311549952,15772635136,17039360,316440576,0,0,
24-10 19:29:02,18.387,4.839,76.452,0.323,0,0,8605696,311230464,15766958080,17072128,322187264,0,0,
24-10 19:29:03,16.340,6.209,76.634,0.817,0,0,32673792,311672832,15755538432,17170432,332750848,0,0,
24-10 19:29:04,19.194,5.323,74.677,0.806,0,0,25706496,312598528,15747878912,17276928,338968576,0,0,
24-10 19:29:05,17.175,5.457,76.565,0.803,0,0,4427776,312967168,15741685760,17301504,344842240,0,0,
24-10 19:29:06,17.609,5.008,76.414,0.969,0,0,8593408,312844288,15735119872,17334272,351268864,0,0,
24-10 19:29:07,18.167,6.270,73.151,2.412,0,0,29073408,311996416,15728361472,17481728,358293504,0,0,
24-10 19:29:08,17.874,6.441,71.981,3.704,0,4096,57323520,312320000,15721345024,17584128,364908544,0,0,
24-10 19:29:09,18.429,4.327,76.763,0.481,0,0,4313088,312127488,15715409920,17600512,370888704,0,0,
24-10 19:29:10,17.886,6.667,73.008,2.439,0,0,31207424,311644160,15694233600,17731584,391966720,0,0,
24-10 19:29:11,19.048,4.603,75.714,0.635,0,0,5074944,312221696,15702491136,17764352,383213568,0,0,
24-10 19:29:12,18.910,4.968,74.679,1.442,0,0,15126528,311476224,15690571776,17821696,395583488,0,0,
24-10 19:29:13,17.990,4.700,76.823,0.486,0,0,10096640,311799808,15690297344,17895424,395386880,0,0,
24-10 19:29:14,17.335,6.742,74.478,1.445,0,0,24432640,312422400,15682523136,18010112,402108416,0,0,
24-10 19:29:15,18.065,4.516,77.097,0.323,0,0,4308992,311824384,15676846080,18026496,408219648,0,0,
24-10 19:29:16,19.262,4.815,74.318,1.605,0,0,17838080,311803904,15667249152,18108416,417492992,0,0,
24-10 19:29:17,18.019,5.195,75.162,1.623,0,4096,17879040,312594432,15663329280,18219008,420368384,0,0,
24-10 19:29:18,18.660,4.466,76.396,0.478,0,0,4304896,311775232,15657910272,18235392,426446848,0,0,
24-10 19:29:19,19.010,5.911,73.003,2.077,0,0,22204416,312250368,15650893824,18382848,432586752,0,0,
24-10 19:29:20,19.200,5.120,73.760,1.920,0,0,19943424,312410112,15643361280,18522112,439660544,0,0,
24-10 19:29:21,17.638,4.854,76.699,0.809,0,0,8622080,312786944,15637282816,18554880,445100032,0,0,
24-10 19:29:22,18.513,5.854,74.525,1.108,0,0,10895360,312483840,15631233024,18620416,451178496,0,0,
24-10 19:29:23,17.857,6.331,73.214,2.597,0,0,26329088,313049088,15623700480,18796544,457793536,0,0,
24-10 19:29:24,18.730,4.762,76.032,0.476,0,0,4304896,311996416,15618523136,18812928,463859712,0,0,
24-10 19:29:25,18.299,6.100,73.676,1.926,0,4096,21753856,312545280,15611281408,18948096,470089728,0,0,
24-10 19:29:26,17.398,6.179,74.472,1.951,0,0,21803008,311787520,15605555200,19095552,476327936,0,0,
24-10 19:29:27,17.069,5.797,76.329,0.805,0,0,8622080,312627200,15598444544,19128320,482439168,0,0,
24-10 19:29:28,18.019,4.545,76.299,1.136,0,0,10805248,312131584,15592636416,19193856,488525824,0,0,
24-10 19:29:29,19.968,4.633,74.760,0.639,0,0,17235968,312385536,15582023680,19283968,498679808,0,0,
24-10 19:29:30,18.328,5.145,75.563,0.965,0,0,23859200,312614912,15576555520,19431424,503316480,0,0,
24-10 19:29:31,17.363,5.788,76.206,0.643,0,0,10637312,312733696,15570477056,19496960,509136896,0,0,
24-10 19:29:32,19.040,5.440,74.400,1.120,0,4096,25772032,313053184,15562878976,19656704,516026368,0,0,
24-10 19:29:33,18.357,4.187,77.295,0.161,0,0,4304896,312635392,15557201920,19673088,522121216,0,0,
24-10 19:29:34,18.429,5.449,75,1.122,0,0,10534912,311910400,15547396096,19746816,532340736,0,0,
24-10 19:29:35,17.292,5.873,74.388,2.447,0,0,31748096,312745984,15543267328,19951616,535134208,0,0,
24-10 19:29:36,18.138,5.136,76.083,0.642,0,0,8622080,313147392,15536672768,19984384,541192192,0,0,
24-10 19:29:37,18.211,5.431,75.240,1.118,0,0,10366976,312102912,15531380736,20058112,547332096,0,0,
24-10 19:29:38,17.391,6.763,74.235,1.610,0,0,21164032,312897536,15524364288,20197376,553205760,0,0,
24-10 19:29:39,18.109,5.128,75.962,0.801,0,0,8736768,312795136,15517863936,20230144,559480832,0,0,
24-10 19:29:40,18.790,5.096,75.637,0.478,0,0,10190848,312393728,15511605248,20295680,565907456,0,0,
24-10 19:29:41,18.447,5.825,74.110,1.618,0,4096,35495936,313659392,15497785344,20529152,577851392,0,0,
24-10 19:29:42,17.224,5.686,73.244,3.846,0,0,88600576,313585664,15455191040,21086208,618889216,0,0,
24-10 19:29:43,18.003,5.237,74.632,2.128,0,4096,51884032,312815616,15431106560,21377024,642686976,0,0,
24-10 19:29:44,17.167,6.333,72.500,4,0,4096,92987392,314757120,15386202112,21970944,683941888,0,0,
24-10 19:29:45,17.427,5.863,74.756,1.954,0,0,40206336,315404288,15373373440,22241280,695345152,0,0,
24-10 19:29:46,19.237,5.087,74.404,1.272,0,0,15175680,314466304,15363534848,22315008,705802240,0,0,
24-10 19:29:47,18.049,5.203,73.984,2.764,0,0,22179840,315752448,15359778816,22478848,707907584,0,0,
24-10 19:29:48,18.196,4.348,76.973,0.483,0,0,4313088,313143296,15355801600,22495232,714371072,0,0,
24-10 19:29:49,18.548,5.323,74.516,1.613,0,0,19550208,313991168,15348559872,22609920,720445440,0,0,
24-10 19:29:50,18.519,5.636,74.718,1.127,0,4096,24211456,314806272,15340011520,22777856,727838720,0,0,
24-10 19:29:51,16.585,5.203,78.049,0.163,0,0,4317184,314368000,15334334464,22794240,733822976,0,0,
24-10 19:29:52,18.850,5.112,74.601,1.438,0,0,15249408,315047936,15327076352,22884352,739999744,0,0,
24-10 19:29:53,18.017,5.950,72.727,3.306,0,0,65814528,315834368,15290580992,23351296,774463488,0,0,
24-10 19:29:54,16.722,5.351,75.920,2.007,0,4096,39391232,316223488,15247433728,23658496,815738880,0,0,
24-10 19:29:55,19.237,4.293,75.994,0.477,0,0,8740864,314114048,15240708096,23724032,824188928,0,0,
24-10 19:29:56,18.269,4.968,75.801,0.962,0,0,8777728,313647104,15234740224,23797760,830341120,0,0,
24-10 19:29:57,17.412,5.911,76.358,0.319,0,0,4386816,313839616,15228547072,23830528,836194304,0,0,
24-10 19:29:58,17.903,4.839,76.613,0.645,0,0,8749056,314847232,15221305344,23896064,842326016,0,0,
24-10 19:29:59,17.524,5.788,76.206,0.482,0,0,10878976,314408960,15215095808,23961600,848490496,0,0,
24-10 19:30:00,19.704,4.598,73.071,2.627,0,4096,77082624,316530688,15182708736,24326144,877486080,0,0,
24-10 19:30:01,19.194,4.839,74.355,1.613,0,4096,25608192,316133376,15175741440,24444928,884580352,0,0,
24-10 19:30:02,17.496,5.778,75.923,0.803,0,0,10510336,315424768,15170064384,24494080,890761216,0,0,
24-10 19:30:03,18.374,5.041,74.959,1.626,0,0,19136512,315170816,15158677504,24584192,902070272,0,0,
24-10 19:30:04,19.524,5.079,73.968,1.429,0,0,14323712,315293696,15157370880,24657920,903024640,0,0,
24-10 19:30:05,18.152,5.186,75.527,1.135,0,0,16830464,315584512,15146774528,24723456,913055744,0,0,
24-10 19:30:06,18.387,5.161,74.677,1.774,0,0,16314368,315633664,15144402944,24813568,915173376,0,0,
24-10 19:30:07,19.063,3.877,76.575,0.485,0,4096,12423168,315289600,15138209792,24875008,921440256,0,0,
24-10 19:30:08,17.932,6.300,74.152,1.616,0,0,23236608,314834944,15132241920,24989696,927547392,0,0,
24-10 19:30:09,17.949,5.449,75.801,0.801,0,0,10149888,315027456,15126032384,25038848,933498880,0,0,
24-10 19:30:10,18.740,5.331,74.475,1.454,0,0,22368256,315334656,15119032320,25145344,939737088,0,0,
24-10 19:30:11,17.476,5.340,76.375,0.809,0,0,10838016,315183104,15113097216,25194496,945586176,0,0,
24-10 19:30:12,19.489,5.431,73.642,1.438,0,0,22171648,315686912,15105810432,25300992,952025088,0,0,
24-10 19:30:13,17.771,5.008,76.414,0.808,0,4096,9957376,315310080,15100145664,25354240,957980672,0,0,
24-10 19:30:14,17.320,5.229,76.634,0.817,0,0,16396288,315207680,15089823744,25423872,968101888,0,0,
24-10 19:30:15,17.990,5.348,75.851,0.810,0,0,18587648,315363328,15087226880,25526272,970285056,0,0,
24-10 19:30:16,17.124,5.654,76.414,0.808,0,0,9818112,314740736,15081549824,25575424,976433152,0,0,
24-10 19:30:17,18.094,5.977,74.313,1.616,0,0,22794240,315052032,15074533376,25681920,982802432,0,0,
24-10 19:30:18,16.613,6.452,75.968,0.968,0,0,11894784,315023360,15068323840,25739264,988856320,0,0,
24-10 19:30:19,17.124,6.462,74.637,1.777,0,4096,21553152,316006400,15060840448,25858048,994992128,0,0,
24-10 19:30:20,18.271,5.873,72.268,3.589,0,0,49483776,317169664,15035985920,26087424,1017946112,0,0,
24-10 19:30:21,16.447,6.086,74.507,2.961,0,4096,39251968,316575744,15022776320,26296320,1030975488,0,0,
24-10 19:30:22,18.371,6.230,74.281,1.118,0,0,20828160,316416000,15016566784,26402816,1037053952,0,0,
24-10 19:30:23,17.391,5.153,77.295,0.161,0,0,4325376,315846656,15010856960,26419200,1043177472,0,0,
24-10 19:30:24,17.581,6.290,74.839,1.290,0,0,21618688,316887040,15003267072,26517504,1049387008,0,0,
24-10 19:30:25,17.638,5.016,76.699,0.647,0,0,11386880,316010496,14997356544,26574848,1055903744,0,0,
24-10 19:30:26,18.680,5.475,74.396,1.449,0,4096,22196224,316624896,14990114816,26685440,1062187008,0,0,
24-10 19:30:27,17.532,5.032,76.623,0.812,0,0,10842112,316469248,14983921664,26742784,1068367872,0,0,
24-10 19:30:28,18.006,6.270,74.116,1.608,0,0,21975040,316780544,14977097728,26849280,1074585600,0,0,
24-10 19:30:29,17.581,5.323,76.129,0.968,0,0,11177984,316514304,14971002880,26906624,1080819712,0,0,
24-10 19:30:30,18.196,5.636,75.201,0.966,0,0,17342464,315957248,14962196480,26980352,1089802240,0,0,
24-10 19:30:31,18.006,5.466,75.563,0.965,0,0,15065088,316882944,14957551616,27054080,1093312512,0,0,
24-10 19:30:32,19.139,5.263,73.844,1.754,0,0,24227840,317394944,14950002688,27176960,1099898880,0,0,
24-10 19:30:33,18.790,5.255,75.318,0.637,0,0,10797056,316985344,14944309248,27226112,1105870848,0,0,
24-10 19:30:34,17.524,6.431,74.920,1.125,0,0,17260544,316334080,14935793664,27299840,1114783744,0,0,
24-10 19:30:35,18.841,4.831,75.201,1.127,0,0,17235968,316522496,14931632128,27381760,1118511104,0,0,
24-10 19:30:36,17.915,4.886,75.896,1.303,0,0,17305600,316391424,14921551872,27455488,1128476672,0,0,
24-10 19:30:37,17.857,4.870,76.136,1.136,0,0,14999552,316665856,14918164480,27529216,1131319296,0,0,
24-10 19:30:38,18.387,5.484,74.677,1.452,0,0,21581824,315723776,14907310080,27627520,1142861824,0,0,
24-10 19:30:39,17.638,5.663,76.052,0.647,0,0,14786560,316993536,14904729600,27701248,1143894016,0,0,
24-10 19:30:40,18.123,4.693,76.375,0.809,0,0,10592256,316456960,14896730112,27750400,1152258048,0,0,
24-10 19:30:41,18.003,5.237,75.123,1.637,0,0,25432064,317493248,14891810816,27865088,1155936256,0,0,
24-10 19:30:42,18.530,5.112,75.559,0.799,0,0,10498048,316432384,14886375424,27914240,1162072064,0,0,
24-10 19:30:43,17.476,6.311,74.595,1.618,0,0,23085056,317169664,14878859264,28028928,1168404480,0,0,
24-10 19:30:44,17.915,4.723,76.710,0.651,0,0,12574720,316276736,14865424384,28086272,1182486528,0,0,
24-10 19:30:45,18.519,5.475,74.396,1.610,0,0,20668416,317513728,14865891328,28184576,1180590080,0,0,
24-10 19:30:46,19.139,4.785,75.279,0.797,0,0,10285056,317186048,14859956224,28233728,1186705408,0,0,
24-10 19:30:47,18.801,4.862,74.716,1.621,0,4096,21127168,316551168,14849859584,28327936,1197080576,0,0,
