"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","aa8791c86250",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-128k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 10:57:46 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 10:57:46,0.330,0.110,99.493,0.068,0,27556.576,486944.582,283869184,13176258560,83234816,2726961152,0.064,0.688,
24-10 10:57:47,2.326,1.661,96.013,0,0,0,155648,309739520,13119016960,83251200,2757173248,0,0,
24-10 10:57:48,3.311,4.636,81.954,10.099,0,131072,44113920,311324672,15913639936,851968,194203648,0,0,
24-10 10:57:49,13.856,0,83.472,2.671,0,2068480,0,312102912,15910768640,1925120,195223552,0,0,
24-10 10:57:50,9.333,2.500,88,0.167,0,1134592,0,314814464,15903768576,3051520,198213632,0,0,
24-10 10:57:51,17.391,5.636,76.490,0.483,0,278528,4300800,316784640,15895736320,3338240,203739136,0,0,
24-10 10:57:52,17.828,5.835,75.689,0.648,0,0,17252352,309690368,15896559616,3411968,209805312,0,0,
24-10 10:57:53,18.240,4.800,76.480,0.480,0,4096,4321280,308629504,15891640320,3440640,215617536,0,0,
24-10 10:57:54,18.459,5.618,75.120,0.803,0,0,23732224,309186560,15884124160,3538944,222248960,0,0,
24-10 10:57:55,17.175,5.457,77.207,0.161,0,0,4296704,309223424,15877931008,3555328,228253696,0,0,
24-10 10:57:56,17.734,7.718,71.757,2.791,0,4096,86265856,311664640,15846215680,3944448,256217088,0,0,
24-10 10:57:57,17.162,6.271,74.422,2.145,0,0,64720896,312819712,15815081984,4239360,284971008,0,0,
24-10 10:57:58,17.724,5.691,74.472,2.114,0,0,24788992,312680448,15803351040,4354048,296562688,0,0,
24-10 10:57:59,18.810,4.823,74.759,1.608,0,0,18153472,311640064,15790706688,4427776,309841920,0,0,
24-10 10:58:00,17.771,6.139,73.990,2.100,0,4096,20500480,311418880,15788593152,4554752,311877632,0,0,
24-10 10:58:01,17.014,5.939,75.441,1.605,0,835584,4304896,310419456,15782391808,5406720,318087168,0,0,
24-10 10:58:02,18.841,5.153,73.752,2.254,0,0,21368832,310448128,15775924224,5554176,324243456,0,0,
24-10 10:58:03,16.176,6.536,75.490,1.797,0,0,20451328,310759424,15768633344,5693440,330842112,0,0,
