"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","88e104d0728c",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-64k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 18:18:15 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 18:18:15,0.422,0.134,99.371,0.073,0,28908.571,553303.644,281894912,15701729280,169082880,259923968,0.063,0.680,
24-10 18:18:16,4.112,1.974,91.612,2.303,0,114688,26456064,309288960,15628148736,169095168,304713728,0,0,
24-10 18:18:17,15.833,1,71,12.167,0,1392640,18370560,309915648,15911620608,1912832,197873664,0,0,
24-10 18:18:18,1.664,0,98.003,0.333,0,835584,0,310124544,15910453248,1925120,198778880,0,0,
24-10 18:18:19,16.013,4.902,78.595,0.490,0,32768,4292608,314712064,15900631040,1961984,203763712,0,0,
24-10 18:18:20,18.314,5.186,74.554,1.945,0,1241088,12955648,314691584,15893663744,3260416,209281024,0,0,
24-10 18:18:21,16.526,6.071,72.850,4.553,0,135168,80867328,314798080,15842689024,3723264,258609152,0,0,
24-10 18:18:22,18.227,5.747,72.085,3.941,0,4096,76693504,315785216,15825772544,4091904,273240064,0,0,
24-10 18:18:23,17.057,6.020,71.739,5.184,0,8192,86142976,315744256,15769948160,4489216,327512064,0,0,
24-10 18:18:24,16.972,6.323,72.047,4.659,0,0,94236672,316002304,15744430080,5115904,351150080,0,0,
24-10 18:18:25,17.581,5.968,75.645,0.806,0,0,24539136,316637184,15728869376,5238784,365555712,0,0,
24-10 18:18:26,17.742,6.452,73.710,2.097,0,4096,34062336,318177280,15714459648,5472256,377901056,0,0,
24-10 18:18:27,17.333,6.167,70.333,6.167,0,0,91484160,318025728,15672610816,6045696,418136064,0,0,
24-10 18:18:28,16.750,7.131,71.808,4.312,0,4096,92573696,317968384,15631982592,6615040,457285632,0,0,
24-10 18:18:29,17.637,5.990,72.712,3.661,0,4096,85479424,318554112,15600402432,7159808,487010304,0,0,
24-10 18:18:30,17.881,6.126,71.854,4.139,0,4096,98004992,318664704,15555145728,7737344,530100224,0,0,
24-10 18:18:31,17.362,5.843,73.289,3.506,0,0,89079808,319225856,15518519296,8261632,564584448,0,0,
24-10 18:18:32,17.014,5.457,77.207,0.321,0,4096,4317184,317788160,15513743360,8282112,570724352,0,0,
24-10 18:18:33,18.459,5.457,74.960,1.124,0,0,19451904,317313024,15503888384,8380416,580841472,0,0,
24-10 18:18:34,18.255,5.493,74.313,1.939,0,0,23797760,317693952,15500259328,8560640,583618560,0,0,
24-10 18:18:35,18.371,5.112,76.038,0.479,0,0,8622080,317730816,15494049792,8593408,589594624,0,0,
24-10 18:18:36,18.269,4.968,76.122,0.641,0,0,10702848,317427712,15488098304,8658944,595648512,0,0,
24-10 18:18:37,18.750,5.769,73.878,1.603,0,0,25935872,318119936,15480324096,8822784,602349568,0,0,
24-10 18:18:38,16.933,5.911,76.837,0.319,0,0,4313088,317693952,15474647040,8839168,608305152,0,0,
24-10 18:18:39,17.476,5.178,77.023,0.324,0,0,10637312,317165568,15468953600,8904704,614309888,0,0,
24-10 18:18:40,18.901,5.331,73.667,2.100,0,8192,32145408,316157952,15462744064,9134080,621006848,0,0,
24-10 18:18:41,17.258,5,77.581,0.161,0,0,4304896,315973632,15456808960,9150464,627040256,0,0,
24-10 18:18:42,18.226,5.161,75.645,0.968,0,0,14872576,316899328,15449583616,9232384,633098240,0,0,
24-10 18:18:43,17.609,6.139,73.829,2.423,0,0,37105664,317657088,15440470016,9469952,640860160,0,0,
24-10 18:18:44,17.504,4.376,77.634,0.486,0,0,4407296,316272640,15435567104,9510912,647032832,0,0,
24-10 18:18:45,18.138,4.655,76.726,0.482,0,0,8654848,315752448,15425503232,9551872,657334272,0,0,
24-10 18:18:46,17.799,4.369,77.184,0.647,0,0,4464640,315604992,15423696896,9609216,659132416,0,0,
24-10 18:18:47,17.572,5.431,76.677,0.319,0,0,4423680,314916864,15418277888,9641984,665096192,0,0,
24-10 18:18:48,17.069,5.636,76.490,0.805,0,0,8929280,316035072,15410794496,9707520,671137792,0,0,
24-10 18:18:49,16.720,5.788,77.170,0.322,0,0,4370432,315568128,15405101056,9740288,677167104,0,0,
24-10 18:18:50,17.419,5.323,76.452,0.806,0,4096,8781824,315695104,15398633472,9818112,683192320,0,0,
