"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","fd61d286597c",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_off-lsfs.dstat.csv",,,,"Date:","26 Oct 2022 11:51:38 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
26-10 11:51:38,0.897,0.252,98.743,0.108,0,43367.381,847399.397,273190912,15853203456,19099648,273010688,0.066,0.715,
26-10 11:51:39,9,2.333,87.833,0.833,0,73728,135168,301637632,15770234880,19111936,325857280,0,0,
26-10 11:51:40,17.742,2.419,79.839,0,0,0,0,301723648,15769395200,19111936,326483968,0,0,
26-10 11:51:41,18.639,1.783,79.579,0,0,0,0,302116864,15768879104,19111936,326606848,0,0,
26-10 11:51:42,18.269,2.404,79.327,0,0,0,0,302063616,15768571904,19111936,326901760,0,0,
26-10 11:51:43,18.548,1.613,79.839,0,0,0,1236992,302718976,15767748608,19120128,327020544,0,0,
26-10 11:51:44,18.006,2.572,79.260,0.161,0,4096,4096,302895104,15767232512,19124224,327323648,0,0,
26-10 11:51:45,17.258,2.903,79.355,0.484,0,0,98304,303226880,15766376448,19132416,327753728,0,0,
26-10 11:51:46,17.363,3.215,79.421,0,0,0,0,303271936,15765762048,19132416,328179712,0,0,
26-10 11:51:47,17.363,3.055,79.582,0,0,0,0,303726592,15764938752,19132416,328486912,0,0,
26-10 11:51:48,18.325,3.318,78.357,0,0,0,0,304140288,15764115456,19136512,328818688,0,0,
26-10 11:51:49,17.093,3.355,79.393,0.160,0,0,12288,304701440,15763017728,19140608,329261056,0,0,
26-10 11:51:50,16.935,3.065,80,0,0,0,0,305029120,15762178048,19140608,329691136,0,0,
26-10 11:51:51,17.760,3.200,78.240,0.800,0,0,4702208,306548736,15760048128,19156992,330092544,0,0,
26-10 11:51:52,17.124,2.585,80.291,0,0,0,0,306401280,15759708160,19156992,330489856,0,0,
26-10 11:51:53,16.613,3.226,80.161,0,0,0,0,306774016,15758901248,19156992,330862592,0,0,
26-10 11:51:54,16.801,2.908,80.291,0,0,0,0,306405376,15758852096,19156992,331206656,0,0,
26-10 11:51:55,16.425,3.543,80.032,0,0,0,0,306376704,15758221312,19156992,331722752,0,0,
26-10 11:51:56,15.883,3.566,80.389,0.162,0,0,221184,306335744,15757897728,19165184,331993088,0,0,
26-10 11:51:57,17.335,3.050,79.454,0.161,0,0,12288,306388992,15757299712,19173376,332431360,0,0,
26-10 11:51:58,16.505,3.074,80.421,0,0,0,0,306266112,15756992512,19173376,332800000,0,0,
26-10 11:51:59,17.093,3.514,79.393,0,0,0,0,305819648,15756926976,19173376,333209600,0,0,
26-10 11:52:00,17.524,2.572,79.904,0,0,0,0,306114560,15756103680,19173376,333660160,0,0,
26-10 11:52:01,16.320,4.160,79.360,0.160,0,0,12288,306040832,15755780096,19181568,333963264,0,0,
26-10 11:52:02,16.879,4.299,78.344,0.478,0,0,4161536,306950144,15754149888,19197952,334454784,0,0,
26-10 11:52:03,16.775,3.420,79.316,0.489,0,0,6643712,307216384,15755132928,19238912,333094912,0,0,
26-10 11:52:04,15.916,4.180,79.904,0,0,0,0,306765824,15755034624,19238912,333533184,0,0,
26-10 11:52:05,16.667,3.686,79.647,0,0,0,0,306462720,15755001856,19238912,333824000,0,0,
26-10 11:52:06,16.212,4.013,79.775,0,0,0,0,306515968,15754403840,19238912,334270464,0,0,
26-10 11:52:07,16.586,3.543,79.871,0,0,0,8642560,306790400,15753838592,19238912,334499840,0,0,
26-10 11:52:08,17.225,3.349,79.266,0.159,0,0,40960,306135040,15753740288,19247104,335110144,0,0,
