"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","f30099a77877",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 15:26:34 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 15:26:34,0.387,0.124,99.418,0.071,0,28580.208,523853.911,279044096,15862075392,22564864,256086016,0.064,0.683,
24-10 15:26:35,6.383,3.110,90.507,0,0,73728,0,307183616,15779696640,22564864,308793344,0,0,
24-10 15:26:36,17.097,4.032,78.871,0,0,0,0,307769344,15778193408,22564864,309477376,0,0,
24-10 15:26:37,19.485,4.670,75.523,0.322,0,0,143360,309485568,15775805440,22577152,310038528,0,0,
24-10 15:26:38,20.800,6.880,72.320,0,0,0,0,310276096,15773818880,22577152,311021568,0,0,
24-10 15:26:39,18.182,5.104,76.555,0.159,0,0,3100672,311164928,15771607040,22581248,312119296,0,0,
24-10 15:26:40,19.163,6.924,73.591,0.322,0,0,4222976,312930304,15768006656,22601728,313483264,0,0,
24-10 15:26:41,20.934,6.924,72.142,0,0,0,0,312913920,15766794240,22601728,314478592,0,0,
24-10 15:26:42,22.042,5.835,71.151,0.972,0,0,17571840,313253888,15765082112,22601728,315621376,0,0,
24-10 15:26:43,16.190,5.556,78.254,0,0,0,0,313004032,15763853312,22601728,316821504,0,0,
24-10 15:26:44,20.466,6.156,72.047,1.331,0,0,21479424,315232256,15750664192,22700032,326713344,0,0,
24-10 15:26:45,17.588,4.858,75.544,2.010,0,0,26370048,315019264,15744581632,22814720,330772480,0,0,
24-10 15:26:46,21.078,7.353,70.098,1.471,0,0,17829888,316485632,15744217088,22904832,329084928,0,0,
24-10 15:26:47,18.196,6.119,74.396,1.288,0,0,16777216,316862464,15742763008,22908928,329969664,0,0,
24-10 15:26:48,19.669,6.281,66.942,7.107,0,0,72769536,317280256,15735525376,23154688,335392768,0,0,
24-10 15:26:49,17.785,5.034,74.329,2.852,0,0,46616576,317497344,15727185920,23400448,341618688,0,0,
24-10 15:26:50,18.364,5.175,72.955,3.506,0,0,81965056,318066688,15719358464,23810048,346943488,0,0,
24-10 15:26:51,22.508,6.752,70.579,0.161,0,0,4149248,319553536,15716339712,23826432,348209152,0,0,
24-10 15:26:52,21.683,6.149,70.874,1.294,0,0,42795008,318488576,15716143104,24039424,348917760,0,0,
24-10 15:26:53,16.320,4.320,79.040,0.320,0,0,32768,319299584,15713832960,24047616,350121984,0,0,
24-10 15:26:54,22.099,8.108,69.316,0.477,0,0,4161536,319070208,15712329728,24064000,351539200,0,0,
24-10 15:26:55,18.914,7.072,71.546,2.467,0,0,46182400,318849024,15709159424,24268800,354041856,0,0,
24-10 15:26:56,19.732,4.682,68.729,6.856,0,4096,95543296,318644224,15693062144,24707072,368316416,0,0,
24-10 15:26:57,18.197,6.511,71.452,3.840,0,4096,100392960,319176704,15676821504,25190400,382238720,0,0,
24-10 15:26:58,19.231,5.686,71.739,3.344,0,4096,105840640,319700992,15686152192,25694208,370421760,0,0,
24-10 15:26:59,17.715,6.291,71.523,4.470,0,4096,121249792,319066112,15655600128,26271744,399560704,0,0,
24-10 15:27:00,17.581,5.323,76.452,0.645,0,0,26976256,319909888,15675883520,26402816,377958400,0,0,
24-10 15:27:01,25,8.007,63.725,3.268,0,4096,61734912,319156224,15662751744,26685440,391110656,0,0,
24-10 15:27:02,22.383,6.924,69.887,0.805,0,0,10788864,319864832,15673184256,26742784,379805696,0,0,
24-10 15:27:03,16.827,5.128,77.885,0.160,0,0,4210688,319598592,15671971840,26759168,381059072,0,0,
24-10 15:27:04,23.089,8.943,65.691,2.276,0,4096,72814592,319942656,15668076544,27107328,383520768,0,0,
24-10 15:27:05,19.735,5.473,70.978,3.814,0,12288,91185152,320143360,15662985216,27578368,386953216,0,0,
24-10 15:27:06,23.435,6.421,67.897,2.247,0,0,47431680,319840256,15658627072,27783168,391106560,0,0,
