"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","55f482f98d57",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-30000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 15:48:19 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 15:48:19,0.398,0.126,99.405,0.071,0,28687.891,530362.190,276664320,15866486784,19828736,256155648,0.064,0.683,
24-10 15:48:20,4.125,2.145,93.564,0.165,0,77824,0,306937856,15781900288,19832832,309022720,0,0,
24-10 15:48:21,17.280,4.160,78.240,0.320,0,0,147456,307175424,15780872192,19845120,309506048,0,0,
24-10 15:48:22,16.264,3.865,79.871,0,0,0,0,307519488,15779741696,19845120,310157312,0,0,
24-10 15:48:23,16.561,4.618,78.822,0,0,0,0,308043776,15778029568,19845120,311128064,0,0,
24-10 15:48:24,17.480,4.567,77.795,0.157,0,0,0,309223424,15775526912,19849216,312193024,0,0,
24-10 15:48:25,15.680,5.600,78.400,0.320,0,0,7700480,311218176,15772250112,19869696,313249792,0,0,
24-10 15:48:26,16.242,4.777,78.981,0,0,0,0,311365632,15770505216,19869696,314437632,0,0,
24-10 15:48:27,15.705,5.288,77.724,1.282,0,0,17506304,311562240,15769067520,19869696,315469824,0,0,
24-10 15:48:28,16.114,5.687,78.199,0,0,0,0,311771136,15767580672,19869696,316489728,0,0,
24-10 15:48:29,15.545,5.609,78.526,0.321,0,0,4169728,313114624,15764819968,19886080,317550592,0,0,
24-10 15:48:30,15.756,5.305,78.457,0.482,0,0,6643712,312127488,15766155264,19927040,316956672,0,0,
24-10 15:48:31,15.520,5.120,79.360,0,0,0,0,311853056,15765200896,19927040,317956096,0,0,
24-10 15:48:32,15.484,5.484,72.581,6.452,0,0,34734080,311939072,15763714048,19935232,319102976,0,0,
24-10 15:48:33,16.134,6.550,76.198,1.118,0,0,14594048,313970688,15760564224,20000768,319946752,0,0,
24-10 15:48:34,16.375,4.928,78.696,0,0,0,0,314073088,15759208448,20000768,320884736,0,0,
24-10 15:48:35,16.242,4.936,78.822,0,0,0,0,313475072,15758528512,20000768,321949696,0,0,
