"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","237ac96d52e4",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-60000-lsfs.dstat.csv",,,,"Date:","24 Oct 2022 16:11:40 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
24-10 16:11:40,0.407,0.129,99.392,0.072,0,28823.686,536980.804,278880256,15805890560,20176896,313655296,0.064,0.683,
24-10 16:11:41,6.919,2.636,90.445,0,0,77824,0,306552832,15723585536,20180992,366645248,0,0,
24-10 16:11:42,15.942,4.992,79.066,0,0,0,0,307617792,15721955328,20180992,367091712,0,0,
24-10 16:11:43,16.452,3.548,79.516,0.484,0,0,143360,308498432,15720308736,20193280,367730688,0,0,
24-10 16:11:44,15.739,5.723,78.537,0,0,0,0,309563392,15718064128,20193280,368680960,0,0,
24-10 16:11:45,16.506,4.327,79.167,0,0,0,0,310128640,15716077568,20197376,369836032,0,0,
24-10 16:11:46,15.311,5.901,78.150,0.638,0,0,4218880,312635392,15712301056,20217856,370761728,0,0,
24-10 16:11:47,16.057,5.246,78.696,0,0,0,0,312782848,15710539776,20217856,372076544,0,0,
24-10 16:11:48,15.898,5.405,78.696,0,0,0,0,312250368,15709859840,20217856,373055488,0,0,
24-10 16:11:49,16.139,5.380,78.481,0,0,0,0,312344576,15708680192,20217856,373940224,0,0,
24-10 16:11:50,16.346,4.647,78.686,0.321,0,0,4173824,313311232,15706161152,20234240,375234560,0,0,
24-10 16:11:51,16.294,5.591,77.636,0.479,0,0,6643712,312832000,15706996736,20275200,374558720,0,0,
24-10 16:11:52,14.607,5.939,79.454,0,0,0,0,313233408,15705509888,20275200,375435264,0,0,
24-10 16:11:53,15.630,5.263,79.107,0,0,0,0,312950784,15704264704,20275200,376684544,0,0,
24-10 16:11:54,15.595,6.431,75.723,2.251,0,0,27967488,313548800,15702794240,20340736,377401344,0,0,
24-10 16:11:55,15.040,5.600,79.360,0,0,0,0,313221120,15701614592,20340736,378548224,0,0,
24-10 16:11:56,16.190,5.238,78.571,0,0,0,0,313597952,15700144128,20340736,379416576,0,0,
24-10 16:11:57,16.693,4.610,78.696,0,0,0,0,313737216,15698690048,20340736,380510208,0,0,
24-10 16:11:58,16.720,5.892,76.592,0.796,0,0,18313216,314081280,15697219584,20422656,381317120,0,0,
24-10 16:11:59,16.186,4.968,74.199,4.647,0,0,18935808,314290176,15695425536,20430848,382525440,0,0,
24-10 16:12:00,16.454,4.792,76.518,2.236,0,0,19922944,313933824,15694778368,20430848,383369216,0,0,
24-10 16:12:01,15.176,6.070,78.594,0.160,0,0,4153344,314724352,15692259328,20447232,384733184,0,0,
24-10 16:12:02,16.534,5.882,76.948,0.636,0,0,17809408,313962496,15691804672,20529152,385540096,0,0,
24-10 16:12:03,15.421,5.882,78.696,0,0,0,0,313921536,15690625024,20529152,386560000,0,0,
24-10 16:12:04,14.677,5.484,79.516,0.323,0,0,32768,313835520,15689428992,20537344,387624960,0,0,
24-10 16:12:05,16.773,5.911,76.518,0.799,0,0,25546752,314626048,15687053312,20643840,388788224,0,0,
24-10 16:12:06,16.306,4.659,77.704,1.331,0,0,33349632,315916288,15677853696,20791296,395325440,0,0,
24-10 16:12:07,16.303,5.210,72.101,6.387,0,0,78835712,316219392,15669112832,21200896,401309696,0,0,
24-10 16:12:08,16.476,5.383,74.062,4.078,0,0,45604864,317980672,15662006272,21430272,405360640,0,0,
24-10 16:12:09,16.587,5.423,76.715,1.276,0,0,7929856,319102976,15660019712,21487616,405901312,0,0,
24-10 16:12:10,17.496,6.581,72.713,3.210,0,0,39022592,318087168,15659581440,21667840,406937600,0,0,
24-10 16:12:11,15.739,5.564,78.696,0,0,0,0,317157376,15659159552,21667840,408092672,0,0,
24-10 16:12:12,16.693,4.928,78.219,0.159,0,0,4165632,317325312,15657963520,21684224,408932352,0,0,
24-10 16:12:13,16.238,7.074,75.080,1.608,0,0,46182400,317022208,15655120896,21889024,411328512,0,0,
24-10 16:12:14,17.028,5.175,74.958,2.838,0,4096,89088000,316112896,15646859264,22302720,418492416,0,0,
24-10 16:12:15,16.611,5.316,75.249,2.824,0,4096,81674240,316936192,15641595904,22691840,421326848,0,0,
24-10 16:12:16,15.605,5.892,77.707,0.796,0,0,4218880,318865408,15638564864,22716416,422268928,0,0,
24-10 16:12:17,16.264,6.441,75.684,1.610,0,0,25464832,317898752,15617036288,22831104,444190720,0,0,
24-10 16:12:18,16.558,6.169,75,2.273,0,4096,34324480,317685760,15637241856,23007232,423964672,0,0,
24-10 16:12:19,16.139,5.380,78.481,0,0,0,0,317771776,15635771392,23007232,425123840,0,0,
24-10 16:12:20,16,5.440,77.120,1.440,0,0,15220736,317816832,15634849792,23056384,425738240,0,0,
24-10 16:12:21,18.770,6.796,69.903,4.531,0,0,59281408,318205952,15632814080,23318528,426708992,0,0,
24-10 16:12:22,17.302,3.968,78.730,0,0,0,0,318009344,15631601664,23318528,427896832,0,0,
24-10 16:12:23,16.772,5.063,77.690,0.475,0,4096,4206592,317870080,15630422016,23339008,429027328,0,0,
24-10 16:12:24,16.827,6.731,73.237,3.205,0,0,33095680,316751872,15624290304,23511040,435884032,0,0,
24-10 16:12:25,18.357,4.348,74.718,2.576,0,0,33206272,317947904,15627673600,23666688,430751744,0,0,
24-10 16:12:26,16,4.800,79.200,0,0,0,0,317751296,15626461184,23666688,431943680,0,0,
24-10 16:12:27,17.412,4.153,77.955,0.479,0,0,7872512,318185472,15625281536,23715840,432476160,0,0,
24-10 16:12:28,17.771,5.493,74.798,1.939,0,0,65646592,318181376,15622938624,24010752,434044928,0,0,
24-10 16:12:29,15.781,4.831,78.744,0.644,0,0,4227072,318468096,15621324800,24035328,435167232,0,0,
24-10 16:12:30,17.750,5.230,75.753,1.268,0,4096,26636288,317689856,15604531200,24129536,452435968,0,0,
24-10 16:12:31,16.720,5.627,76.045,1.608,0,0,52494336,318230528,15618138112,24375296,437514240,0,0,
24-10 16:12:32,15.655,5.751,78.435,0.160,0,0,4214784,318226432,15616700416,24391680,438759424,0,0,
24-10 16:12:33,16.911,5.854,74.797,2.439,0,4096,72851456,318746624,15613419520,24739840,440639488,0,0,
24-10 16:12:34,17.468,3.846,77.885,0.801,0,0,4239360,318894080,15611949056,24764416,441659392,0,0,
24-10 16:12:35,17.042,5.788,75.241,1.929,0,0,21213184,317124608,15595061248,24870912,459763712,0,0,
