"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","431b4e420bec",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_off-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 12:01:42 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 12:01:42,1.021,0.276,98.575,0.128,0,47643.012,954646.905,278069248,15882608640,22544384,234987520,0.071,0.759,
29-10 12:01:43,11.311,2.623,85.574,0.492,0,73728,143360,306823168,15799373824,22556672,287907840,0,0,
29-10 12:01:44,17.320,2.288,80.392,0,0,0,339968,304914432,15800569856,22556672,288452608,0,0,
29-10 12:01:45,17.427,2.280,80.293,0,0,0,0,304869376,15800373248,22556672,288632832,0,0,
29-10 12:01:46,17.524,2.894,79.582,0,0,0,0,304631808,15800356864,22556672,288845824,0,0,
29-10 12:01:47,18.006,2.412,79.582,0,0,0,0,304574464,15800098816,22556672,289140736,0,0,
29-10 12:01:48,11.658,0.985,77.340,10.016,0,40960,39321600,304750592,15799799808,22573056,289226752,0,0,
29-10 12:01:49,15.132,0.493,75,9.375,0,2240512,13594624,307200000,15929569280,1941504,181227520,0,0,
29-10 12:01:50,3.161,0.666,96.007,0.166,0,1216512,0,306966528,15928561664,3153920,181227520,0,0,
29-10 12:01:51,17.157,2.451,80.065,0.327,0,135168,0,307179520,15928303616,3289088,181137408,0,0,
29-10 12:01:52,18.269,2.564,79.167,0,0,0,0,306405376,15928520704,3289088,181673984,0,0,
29-10 12:01:53,18.035,2.093,79.871,0,0,0,0,306622464,15928061952,3289088,181895168,0,0,
29-10 12:01:54,17.152,2.751,80.097,0,0,0,0,306249728,15928029184,3289088,182259712,0,0,
29-10 12:01:55,17.363,2.572,79.582,0.482,0,4096,40960,306180096,15927738368,3309568,182558720,0,0,
29-10 12:01:56,17.609,2.100,80.291,0,0,0,0,305901568,15927738368,3309568,182833152,0,0,
