"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","734ad2aebc29",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-create-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 11:46:12 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 11:46:12,1.017,0.275,98.580,0.128,0,47614.231,954430.427,278614016,15884136448,20803584,234434560,0.071,0.759,
29-10 11:46:13,9.135,3.915,86.297,0.653,0,73728,139264,307146752,15800950784,20815872,287440896,0,0,
29-10 11:46:14,17.666,2.755,79.579,0,0,0,0,306163712,15800836096,20815872,288296960,0,0,
29-10 11:46:15,11.716,2.805,80.858,4.620,0,40960,53358592,306061312,15800414208,20832256,288735232,0,0,
29-10 11:46:16,16.060,0.828,72.682,10.430,0,2265088,172032,308744192,15928467456,1953792,180453376,0,0,
29-10 11:46:17,10.855,2.961,85.855,0.329,0,8192,0,308817920,15928201216,1961984,180633600,0,0,
29-10 11:46:18,16.558,4.383,78.896,0.162,0,4096,0,309825536,15926054912,1961984,181669888,0,0,
29-10 11:46:19,22.990,5.949,71.061,0,0,0,0,311521280,15923134464,1961984,182788096,0,0,
29-10 11:46:20,22.705,5.958,69.082,2.254,0,1351680,4206592,310444032,15920062464,3321856,185339904,0,0,
29-10 11:46:21,17.778,4.444,76.984,0.794,0,139264,28672,309649408,15919423488,3469312,186494976,0,0,
29-10 11:46:22,21.509,5.297,73.194,0,0,0,0,309293056,15918260224,3469312,187850752,0,0,
29-10 11:46:23,22.258,6.200,71.224,0.318,0,0,4231168,309481472,15916564480,3485696,189190144,0,0,
29-10 11:46:24,19.516,6.129,74.355,0,0,0,0,309317632,15915450368,3485696,190386176,0,0,
29-10 11:46:25,18.182,4.785,77.033,0,0,0,0,309022720,15914303488,3485696,191676416,0,0,
29-10 11:46:26,21.916,5.357,72.240,0.487,0,0,4227072,309243904,15912300544,3502080,193085440,0,0,
29-10 11:46:27,21.600,6.400,71.680,0.320,0,0,12288,309088256,15911153664,3510272,194293760,0,0,
29-10 11:46:28,18.838,5.181,75.981,0,0,0,0,308862976,15909974016,3510272,195510272,0,0,
29-10 11:46:29,20.927,5.112,73.962,0,0,0,0,308621312,15908827136,3510272,196739072,0,0,
29-10 11:46:30,22.010,6.699,70.813,0.478,0,0,4231168,309743616,15906099200,3526656,198082560,0,0,
29-10 11:46:31,21.154,5.609,73.237,0,0,0,0,309829632,15904677888,3526656,199258112,0,0,
29-10 11:46:32,17.563,4.905,77.215,0.316,0,0,12288,309301248,15903756288,3534848,200503296,0,0,
29-10 11:46:33,21.452,6.290,71.613,0.645,0,0,4231168,309592064,15901818880,3551232,201883648,0,0,
29-10 11:46:34,21.452,6.129,72.419,0,0,0,0,309411840,15900639232,3551232,203063296,0,0,
