"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","84a96557a689",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_off-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 11:03:15 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 11:03:15,1.003,0.274,98.596,0.128,0,47570.263,948817.414,277745664,15827689472,21278720,291180544,0.071,0.760,
29-10 11:03:16,9.603,3.477,86.258,0.662,0,77824,147456,306753536,15743938560,21295104,344215552,0,0,
29-10 11:03:17,18.314,2.107,79.579,0,0,0,0,304750592,15745478656,21295104,344547328,0,0,
29-10 11:03:18,18.417,2.100,79.483,0,0,0,0,304795648,15745171456,21295104,344743936,0,0,
29-10 11:03:19,17.903,2.258,79.839,0,0,0,0,304553984,15745171456,21295104,344969216,0,0,
29-10 11:03:20,17.101,2.443,80.456,0,0,0,32768,304328704,15745155072,21303296,345178112,0,0,
29-10 11:03:21,17.685,2.733,79.260,0.322,0,0,1417216,304005120,15745089536,21311488,345473024,0,0,
29-10 11:03:22,17.440,3.520,79.040,0,0,0,0,303611904,15745040384,21311488,345845760,0,0,
29-10 11:03:23,16.694,3.079,80.227,0,0,0,0,303468544,15744716800,21311488,346226688,0,0,
29-10 11:03:24,17.524,3.055,79.421,0,0,0,0,303337472,15744376832,21311488,346595328,0,0,
29-10 11:03:25,17.230,3.221,79.549,0,0,0,0,302960640,15744344064,21315584,346951680,0,0,
29-10 11:03:26,17.175,3.371,79.133,0.321,0,0,20480,303312896,15743520768,21319680,347336704,0,0,
29-10 11:03:27,18.240,2.720,79.040,0,0,0,0,303964160,15742390272,21319680,347701248,0,0,
29-10 11:03:28,17.175,3.371,79.454,0,0,0,0,304082944,15741825024,21319680,348073984,0,0,
29-10 11:03:29,16.908,3.865,78.744,0.483,0,0,4182016,305373184,15739936768,21336064,348438528,0,0,
29-10 11:03:30,17.308,3.686,79.006,0,0,0,4751360,305520640,15739371520,21336064,348803072,0,0,
29-10 11:03:31,17.846,2.572,79.582,0,0,0,0,305623040,15738757120,21336064,349179904,0,0,
29-10 11:03:32,16.881,3.698,79.421,0,0,0,0,305549312,15738408960,21336064,349548544,0,0,
29-10 11:03:33,16.935,3.226,79.839,0,0,0,0,305102848,15738384384,21336064,349929472,0,0,
29-10 11:03:34,16.801,3.231,79.806,0.162,0,0,45056,304951296,15738077184,21344256,350294016,0,0,
29-10 11:03:35,16.313,3.426,74.715,5.546,0,0,21020672,305324032,15737237504,21352448,350674944,0,0,
29-10 11:03:36,17.097,3.226,77.742,1.935,0,0,26001408,305188864,15736913920,21356544,351035392,0,0,
29-10 11:03:37,16.774,3.548,79.677,0,0,0,0,304816128,15736848384,21356544,351395840,0,0,
29-10 11:03:38,17.208,2.597,80.195,0,0,0,0,304386048,15736815616,21356544,351789056,0,0,
29-10 11:03:39,16.478,3.393,79.806,0.323,0,0,12288,305287168,15735427072,21364736,352153600,0,0,
29-10 11:03:40,17.447,3.231,78.675,0.646,0,0,4194304,305659904,15734636544,21389312,352509952,0,0,
29-10 11:03:41,17.342,3.241,78.606,0.810,0,0,6639616,305963008,15735554048,21430272,351133696,0,0,
29-10 11:03:42,17.788,3.045,79.167,0,0,0,0,306118656,15734972416,21430272,351485952,0,0,
29-10 11:03:43,17.447,2.585,79.968,0,0,0,0,305979392,15734665216,21430272,351862784,0,0,
29-10 11:03:44,16.019,3.883,80.097,0,0,0,0,305590272,15734583296,21430272,352231424,0,0,
29-10 11:03:45,16.694,3.241,79.903,0.162,0,0,12288,305680384,15734034432,21438464,352620544,0,0,
29-10 11:03:46,16.854,3.692,79.294,0.161,0,0,40960,305549312,15733694464,21446656,352989184,0,0,
29-10 11:03:47,16.260,3.415,80.325,0,0,0,0,305410048,15733403648,21446656,353361920,0,0,
29-10 11:03:48,17.258,3.065,79.677,0,0,0,0,305266688,15733063680,21446656,353738752,0,0,
29-10 11:03:49,16.612,2.769,80.619,0,0,0,0,305635328,15732224000,21446656,354119680,0,0,
29-10 11:03:50,17.097,3.226,79.355,0.323,0,0,12288,305766400,15731658752,21454848,354484224,0,0,
29-10 11:03:51,17.932,2.585,78.837,0.646,0,0,4169728,306610176,15730286592,21471232,354852864,0,0,
29-10 11:03:52,18.314,2.755,77.958,0.972,0,0,10399744,307556352,15729172480,21520384,354824192,0,0,
29-10 11:03:53,17.846,2.572,79.582,0,0,0,0,307425280,15728832512,21520384,355205120,0,0,
29-10 11:03:54,17.391,3.060,79.549,0,0,0,0,307277824,15728508928,21520384,355590144,0,0,
29-10 11:03:55,16.098,3.577,80,0.325,0,0,12288,307142656,15728218112,21528576,355962880,0,0,
29-10 11:03:56,16.667,3.236,80.097,0,0,0,0,307023872,15727861760,21528576,356327424,0,0,
29-10 11:03:57,17.788,3.686,78.526,0,0,0,49152,308670464,15725756416,21536768,356712448,0,0,
29-10 11:03:58,17.788,3.045,79.167,0,0,0,0,308793344,15725174784,21536768,357085184,0,0,
29-10 11:03:59,18.240,2.560,79.200,0,0,0,0,308649984,15724867584,21536768,357466112,0,0,
29-10 11:04:00,17.817,3.050,78.973,0.161,0,0,12288,308465664,15724584960,21544960,357851136,0,0,
29-10 11:04:01,17.552,2.899,78.422,1.127,0,0,4243456,308064256,15724519424,21544960,358232064,0,0,
29-10 11:04:02,17.713,3.221,78.905,0.161,0,0,4153344,308346880,15723663360,21561344,358580224,0,0,
29-10 11:04:03,18.357,3.382,77.134,1.127,0,0,14139392,307314688,15724613632,21626880,358535168,0,0,
29-10 11:04:04,16.883,2.922,80.195,0,0,0,0,307429376,15724015616,21626880,358916096,0,0,
29-10 11:04:05,15.935,3.577,80.488,0,0,0,0,307306496,15723724800,21626880,359292928,0,0,
29-10 11:04:06,16.828,3.236,79.612,0.324,0,0,12288,307408896,15723126784,21635072,359673856,0,0,
29-10 11:04:07,17.236,2.602,79.024,1.138,0,0,4067328,307019776,15723061248,21635072,360046592,0,0,
29-10 11:04:08,17.280,3.520,79.040,0.160,0,0,45056,306868224,15722754048,21643264,360423424,0,0,
29-10 11:04:09,16.585,3.089,80.325,0,0,0,0,306733056,15722446848,21643264,360808448,0,0,
29-10 11:04:10,17.874,2.576,79.549,0,0,0,0,306589696,15722123264,21643264,361177088,0,0,
29-10 11:04:11,16.176,3.268,80.392,0.163,0,0,12288,306434048,15721799680,21651456,361570304,0,0,
29-10 11:04:12,17.447,2.746,79.806,0,0,0,0,306294784,15721492480,21651456,361947136,0,0,
29-10 11:04:13,17.713,2.899,78.905,0.483,0,0,4145152,307580928,15719636992,21667840,362328064,0,0,
29-10 11:04:14,19.139,3.987,75.758,1.116,0,0,17805312,307113984,15720038400,21749760,362217472,0,0,
29-10 11:04:15,16.260,3.252,80.488,0,0,0,0,306970624,15719714816,21749760,362606592,0,0,
29-10 11:04:16,16.317,3.716,79.483,0.485,0,0,12288,307343360,15718875136,21757952,362987520,0,0,
29-10 11:04:17,16.425,3.704,79.871,0,0,0,0,307191808,15718567936,21757952,363384832,0,0,
29-10 11:04:18,17.638,2.427,79.935,0,0,0,0,307056640,15718244352,21757952,363761664,0,0,
29-10 11:04:19,17.600,3.040,79.200,0.160,0,0,45056,306909184,15717953536,21766144,364146688,0,0,
29-10 11:04:20,16.721,2.760,80.519,0,0,0,0,307273728,15717081088,21766144,364539904,0,0,
29-10 11:04:21,16.586,3.865,79.227,0.322,0,0,12288,307122176,15716790272,21774336,364924928,0,0,
29-10 11:04:22,17.552,2.576,79.871,0,0,0,0,306708480,15716708352,21774336,365309952,0,0,
29-10 11:04:23,18.601,3.021,78.060,0.318,0,0,4120576,307105792,15715901440,21790720,365699072,0,0,
29-10 11:04:24,18.138,4.494,75.602,1.766,0,0,21397504,307134464,15715700736,21880832,365572096,0,0,
29-10 11:04:25,16.558,2.922,80.519,0,0,0,0,307470336,15714963456,21880832,365948928,0,0,
29-10 11:04:26,17.920,2.880,78.880,0.320,0,0,12288,307580928,15714398208,21889024,366338048,0,0,
29-10 11:04:27,16.911,2.764,79.837,0.488,0,0,4202496,307707904,15713783808,21889024,366710784,0,0,
29-10 11:04:28,16.450,2.932,80.619,0,0,0,0,307560448,15713492992,21889024,367108096,0,0,
29-10 11:04:29,17.120,3.360,79.200,0.320,0,0,45056,307130368,15713427456,21897216,367505408,0,0,
29-10 11:04:30,17.552,2.738,79.710,0,0,0,0,307240960,15712845824,21897216,367890432,0,0,
29-10 11:04:31,16.908,3.382,79.388,0.322,0,0,20480,307085312,15712522240,21905408,368279552,0,0,
29-10 11:04:32,18.283,3.021,77.901,0.795,0,0,4075520,306925568,15712215040,21905408,368676864,0,0,
29-10 11:04:33,16.505,3.236,80.259,0,0,0,0,306745344,15711875072,21905408,369078272,0,0,
29-10 11:04:34,16.854,3.852,78.812,0.482,0,0,4128768,307109888,15711051776,21921792,369463296,0,0,
29-10 11:04:35,18.650,4.180,75.241,1.929,0,0,25026560,307548160,15710404608,22036480,369332224,0,0,
29-10 11:04:36,17.391,3.060,79.227,0.322,0,0,12288,307408896,15710097408,22044672,369704960,0,0,
29-10 11:04:37,17.657,2.889,79.454,0,0,0,0,307781632,15709257728,22044672,370098176,0,0,
29-10 11:04:38,17.552,2.576,79.871,0,0,0,12288,307625984,15708934144,22044672,370495488,0,0,
29-10 11:04:39,16.908,3.382,79.710,0,0,0,0,307482624,15708610560,22044672,370884608,0,0,
29-10 11:04:40,17.949,2.564,79.327,0.160,0,0,53248,307331072,15708303360,22052864,371273728,0,0,
29-10 11:04:41,18.341,2.552,78.788,0.319,0,0,12288,307671040,15707447296,22061056,371683328,0,0,
29-10 11:04:42,17.468,2.885,79.647,0,0,0,0,307253248,15707414528,22061056,372084736,0,0,
29-10 11:04:43,17.230,2.899,79.871,0,0,0,0,307363840,15706800128,22061056,372482048,0,0,
29-10 11:04:44,17.225,4.147,78.150,0.478,0,0,4149248,307671040,15705976832,22077440,372867072,0,0,
