"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","4e4062e30ebd",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-delete-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 10:42:31 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 10:42:31,0.996,0.272,98.604,0.127,0,47463.679,943384.868,278315008,15830577152,17874944,290701312,0.071,0.760,
29-10 10:42:32,10.379,3.789,85.832,0,0,73728,0,306257920,15747125248,17874944,344395776,0,0,
29-10 10:42:33,20.968,5.161,73.871,0,0,0,0,305520640,15746887680,17874944,345206784,0,0,
29-10 10:42:34,16.108,6.061,77.831,0,0,0,0,304779264,15746191360,17874944,346398720,0,0,
29-10 10:42:35,22.419,6.613,70.968,0,0,0,0,304992256,15744720896,17874944,347418624,0,0,
29-10 10:42:36,21.971,6.947,70.921,0.162,0,0,4202496,306487296,15741620224,17891328,348581888,0,0,
29-10 10:42:37,18.067,6.022,75.594,0.317,0,0,122880,306409472,15740440576,17899520,349601792,0,0,
29-10 10:42:38,19.516,6.452,74.032,0,0,0,0,306708480,15738646528,17899520,350781440,0,0,
29-10 10:42:39,20.617,6.981,72.078,0.325,0,0,4173824,308224000,15735627776,17915904,352006144,0,0,
29-10 10:42:40,22.456,5.977,71.405,0.162,0,0,6643712,308011008,15736512512,17956864,351109120,0,0,
29-10 10:42:41,17.225,4.785,77.990,0,0,0,4743168,307367936,15735492608,17956864,352473088,0,0,
29-10 10:42:42,20.392,7.504,72.104,0,0,0,0,307494912,15734022144,17956864,353570816,0,0,
29-10 10:42:43,21.266,6.656,71.591,0.487,0,0,14565376,308006912,15732260864,18022400,354406400,0,0,
29-10 10:42:44,17.398,5.691,76.911,0,0,0,0,308326400,15730790400,18022400,355364864,0,0,
29-10 10:42:45,19.777,5.423,74.801,0,0,0,0,308240384,15729319936,18022400,356655104,0,0,
29-10 10:42:46,23.039,5.392,69.771,1.797,0,0,10977280,308310016,15727849472,18042880,357842944,0,0,
29-10 10:42:47,19.313,5.728,67.758,7.201,0,0,76464128,308531200,15721840640,18210816,362315776,0,0,
29-10 10:42:48,17.508,4.714,76.599,1.178,0,0,29671424,311136256,15711416320,18333696,368783360,0,0,
29-10 10:42:49,18.090,5.863,73.869,2.178,0,0,63823872,310788096,15703257088,18644992,374947840,0,0,
29-10 10:42:50,18.106,6.478,72.425,2.990,0,0,85200896,311459840,15694983168,19070976,380497920,0,0,
29-10 10:42:51,17.247,5.804,74.129,2.819,0,0,78422016,312270848,15686393856,19456000,386478080,0,0,
29-10 10:42:52,18.106,5.482,73.754,2.658,0,4096,81670144,312856576,15677444096,19832832,392814592,0,0,
29-10 10:42:53,16.532,6.969,75.041,1.459,0,4096,52133888,312651776,15674433536,20074496,395079680,0,0,
29-10 10:42:54,22.838,5.873,70.962,0.326,0,0,5681152,310693888,15673188352,20099072,398008320,0,0,
29-10 10:42:55,19.934,6.755,69.193,4.119,0,0,53460992,312623104,15666311168,20344832,402145280,0,0,
29-10 10:42:56,17.923,5.360,70.184,6.533,0,4096,69791744,312573952,15659651072,20701184,407474176,0,0,
29-10 10:42:57,18.303,5.324,65.724,10.649,0,4096,103518208,313913344,15654105088,21180416,409509888,0,0,
29-10 10:42:58,16.779,6.208,68.289,8.725,0,4096,94826496,313335808,15639040000,21626880,423211008,0,0,
29-10 10:42:59,19.435,5.648,67.774,7.143,0,8192,130527232,314638336,15634702336,22257664,424333312,0,0,
29-10 10:43:00,18.901,6.300,73.344,1.454,0,0,50671616,313802752,15637196800,22487040,421834752,0,0,
29-10 10:43:01,24.351,8.117,65.747,1.786,0,4096,58425344,312778752,15628726272,22761472,430989312,0,0,
29-10 10:43:02,18.841,6.441,73.913,0.805,0,0,23736320,313868288,15634173952,22884352,423874560,0,0,
29-10 10:43:03,21.095,5.797,71.659,1.449,0,0,7892992,315052032,15631843328,22949888,424624128,0,0,
29-10 10:43:04,23.214,6.818,66.071,3.896,0,4096,50016256,313184256,15627894784,23166976,429932544,0,0,
29-10 10:43:05,22.544,6.280,68.116,3.060,0,4096,31563776,314671104,15629086720,23326720,426975232,0,0,
29-10 10:43:06,19.904,5.618,73.997,0.482,0,0,7905280,313802752,15628939264,23384064,427757568,0,0,
29-10 10:43:07,22.617,6.624,68.498,2.262,0,4096,88678400,314593280,15625240576,23764992,429858816,0,0,
29-10 10:43:08,19.741,6.634,72.654,0.971,0,0,8011776,315719680,15622963200,23822336,430649344,0,0,
29-10 10:43:09,20.712,6.634,68.770,3.883,0,0,46022656,313679872,15619104768,24027136,436043776,0,0,
29-10 10:43:10,20.065,6.311,70.388,3.236,0,4096,41459712,314724352,15620214784,24219648,433332224,0,0,
29-10 10:43:11,20.942,5.195,73.214,0.649,0,0,7876608,315822080,15617904640,24276992,434241536,0,0,
29-10 10:43:12,23.987,8.104,60.778,7.131,0,4096,84963328,313683968,15602642944,24657920,450727936,0,0,
29-10 10:43:13,19.108,5.573,73.248,2.070,0,0,16068608,316170240,15613550592,24707072,437047296,0,0,
29-10 10:43:14,23.102,7.431,66.559,2.908,0,0,29966336,315555840,15611305984,24870912,439615488,0,0,
29-10 10:43:15,21.774,6.613,65,6.613,0,8192,70283264,316342272,15609380864,25190400,439816192,0,0,
29-10 10:43:16,20.684,6.352,72.313,0.651,0,0,5865472,316854272,15606095872,25247744,442294272,0,0,
29-10 10:43:17,20.191,8.903,63.911,6.995,0,4096,68251648,314044416,15606837248,25563136,443703296,0,0,
29-10 10:43:18,21.648,4.685,70.921,2.746,0,4096,35143680,316026880,15605624832,25731072,442642432,0,0,
29-10 10:43:19,22.476,7.655,65.798,4.072,0,0,54493184,313987072,15596781568,25968640,452759552,0,0,
29-10 10:43:20,23.285,7.177,65.869,3.668,0,4096,37425152,314871808,15602663424,26136576,445460480,0,0,
29-10 10:43:21,18.506,5.032,75.487,0.974,0,0,8294400,314912768,15601807360,26202112,446013440,0,0,
29-10 10:43:22,25.040,7.593,61.874,5.493,0,4096,59191296,314703872,15587467264,26468352,460083200,0,0,
29-10 10:43:23,22.204,7.455,65.478,4.862,0,0,47640576,315285504,15597674496,26689536,448921600,0,0,
29-10 10:43:24,18.740,5.816,73.344,2.100,0,4096,32518144,314978304,15590010880,26873856,456421376,0,0,
29-10 10:43:25,20.893,7.656,66.986,4.466,0,4096,81059840,315559936,15593459712,27238400,451596288,0,0,
