"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","1e3cb0f5db80",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-rand-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 09:51:53 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 09:51:53,0.984,0.269,98.620,0.127,0,46569.686,942211.056,278114304,15593521152,294666240,238534656,0.071,0.761,
29-10 09:51:54,10.345,3.777,84.565,1.314,0,802816,4415488,315551744,15500177408,294686720,293064704,0,0,
29-10 09:51:55,16.805,6.156,66.389,10.649,0,0,64499712,312868864,15447937024,294846464,346173440,0,0,
29-10 09:51:56,19.194,7.419,64.032,9.355,0,4096,81739776,310140928,15440596992,295092224,355614720,0,0,
29-10 09:51:57,17.532,5.357,74.513,2.597,0,0,23859200,310816768,15440678912,295157760,354541568,0,0,
29-10 09:51:58,18.501,6.699,72.568,2.233,0,4096,30900224,310861824,15427887104,295198720,367112192,0,0,
29-10 09:51:59,16.317,6.785,75.929,0.969,0,0,10838016,311287808,15427612672,295235584,366813184,0,0,
29-10 09:52:00,17.541,6.393,73.607,2.459,0,0,66621440,311775232,15400742912,295428096,392331264,0,0,
29-10 09:52:01,17.258,5.806,76.613,0.323,0,0,14831616,311635968,15391178752,295456768,401698816,0,0,
29-10 09:52:02,18.078,5.700,74.756,1.466,0,4096,36110336,312332288,15379550208,295559168,412282880,0,0,
29-10 09:52:03,17.579,6.302,72.305,3.814,0,0,92311552,312508416,15337598976,295940096,452419584,0,0,
29-10 09:52:04,17.978,5.939,72.552,3.531,0,0,47484928,311435264,15329841152,296013824,460988416,0,0,
29-10 09:52:05,17.476,6.796,73.301,2.427,0,4096,30793728,311107584,15307100160,296112128,483422208,0,0,
29-10 09:52:06,17.014,5.778,76.404,0.803,0,0,4497408,311435264,15316647936,296169472,473649152,0,0,
