"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","5bcfa3eb60c0",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-read-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 10:17:15 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 10:17:15,0.990,0.270,98.612,0.127,0,47005.646,942806.483,280358912,15887409152,17047552,233570304,0.071,0.760,
29-10 10:17:16,9.571,3.465,86.304,0.660,0,139264,139264,312250368,15806038016,17059840,281702400,0,0,
29-10 10:17:17,18.241,4.886,75.407,1.466,0,0,31055872,311250944,15790047232,17166336,298086400,0,0,
29-10 10:17:18,18.560,6.080,74.560,0.800,0,0,23703552,311193600,15783546880,17264640,304300032,0,0,
29-10 10:17:19,18.344,3.896,77.597,0.162,0,0,4304896,310591488,15778369536,17281024,309948416,0,0,
29-10 10:17:20,18.790,6.210,74.045,0.955,0,0,25702400,311894016,15769579520,17387520,317083648,0,0,
29-10 10:17:21,18.138,4.655,77.047,0.161,0,0,4296704,310902784,15764619264,17403904,322871296,0,0,
29-10 10:17:22,17.781,6.036,72.104,4.078,0,0,72437760,311058432,15756627968,17575936,330289152,0,0,
29-10 10:17:23,17.581,5.645,76.129,0.645,0,0,18231296,310640640,15749902336,17657856,337182720,0,0,
29-10 10:17:24,18.080,5.280,75.680,0.960,0,4096,8630272,310460416,15743709184,17694720,343326720,0,0,
29-10 10:17:25,18.519,4.831,75.362,1.288,0,0,11689984,310648832,15737499648,17752064,349143040,0,0,
29-10 10:17:26,17.903,6.452,73.065,2.581,0,0,24592384,311304192,15730257920,17858560,355500032,0,0,
29-10 10:17:27,17.370,4.545,77.597,0.487,0,0,4308992,310829056,15724437504,17874944,361562112,0,0,
29-10 10:17:28,18.123,5.663,73.786,2.427,0,0,20230144,309977088,15714484224,17973248,371974144,0,0,
29-10 10:17:29,18.620,5.778,73.034,2.568,0,0,20807680,311234560,15711064064,18087936,373858304,0,0,
29-10 10:17:30,17.657,5.457,76.083,0.803,0,0,8589312,310489088,15701258240,18112512,384196608,0,0,
29-10 10:17:31,17.903,5.161,75,1.935,0,0,11386880,311492608,15698161664,18178048,386076672,0,0,
29-10 10:17:32,19.032,5.161,73.226,2.581,0,4096,20054016,310882304,15692419072,18296832,392146944,0,0,
29-10 10:17:33,17.695,4.545,76.623,1.136,0,0,8609792,310865920,15686483968,18329600,398020608,0,0,
29-10 10:17:34,18.138,5.457,75.281,1.124,0,0,10924032,310870016,15679758336,18403328,404385792,0,0,
29-10 10:17:35,19.002,5.636,72.947,2.415,0,0,25583616,311009280,15662436352,18526208,421085184,0,0,
29-10 10:17:36,18.429,4.968,74.840,1.763,0,0,9949184,311218176,15666507776,18632704,416591872,0,0,
29-10 10:17:37,18.138,5.297,75.281,1.284,0,0,10797056,310517760,15658807296,18673664,424861696,0,0,
29-10 10:17:38,18.094,6.624,71.890,3.393,0,0,26431488,311668736,15653339136,18870272,428605440,0,0,
29-10 10:17:39,18.328,4.502,76.688,0.482,0,0,4304896,311316480,15643533312,18886656,438738944,0,0,
29-10 10:17:40,17.097,5.968,75,1.935,0,0,15200256,311640064,15640678400,18968576,441036800,0,0,
29-10 10:17:41,18.269,5.288,75,1.442,0,4096,10858496,311472128,15634485248,19038208,447229952,0,0,
29-10 10:17:42,18.740,5.816,72.375,3.069,0,0,26112000,311074816,15628517376,19206144,453189632,0,0,
29-10 10:17:43,18.429,4.487,76.763,0.321,0,0,4313088,310693888,15622840320,19222528,459120640,0,0,
29-10 10:17:44,18.152,5.835,74.392,1.621,0,0,43003904,312537088,15592144896,19443712,486998016,0,0,
29-10 10:17:45,17.696,6.010,72.120,4.174,0,4096,96116736,313802752,15564447744,20062208,511881216,0,0,
29-10 10:17:46,18.019,5.519,75,1.461,0,0,35844096,312860672,15548985344,20291584,527585280,0,0,
29-10 10:17:47,16.911,5.203,77.561,0.325,0,0,8732672,312201216,15543308288,20324352,533704704,0,0,
29-10 10:17:48,17.685,5.305,76.527,0.482,0,0,10190848,311975936,15536582656,20389888,540442624,0,0,
29-10 10:17:49,18.035,6.602,73.752,1.610,0,4096,35495936,312967168,15523487744,20623360,551952384,0,0,
29-10 10:17:50,17.247,6.633,72.305,3.814,0,0,88600576,312336384,15480680448,21180416,593661952,0,0,
29-10 10:17:51,16.858,5.892,74.959,2.291,0,4096,43229184,313126912,15463583744,21438464,609304576,0,0,
29-10 10:17:52,19.555,4.769,74.245,1.431,0,0,11792384,312512512,15457648640,21520384,615534592,0,0,
29-10 10:17:53,18.590,5.769,73.718,1.923,0,0,18305024,313131008,15445262336,21618688,627179520,0,0,
29-10 10:17:54,18.620,5.136,74.318,1.926,0,0,16035840,313532416,15443955712,21741568,627691520,0,0,
29-10 10:17:55,17.069,5.958,76.167,0.805,0,0,8597504,312774656,15434117120,21766144,637992960,0,0,
29-10 10:17:56,17.609,6.947,72.375,3.069,0,4096,27590656,313413632,15431196672,21983232,639881216,0,0,
29-10 10:17:57,18.167,4.662,76.849,0.322,0,0,4308992,313106432,15425261568,21999616,645951488,0,0,
29-10 10:17:58,18.740,4.523,74.960,1.777,0,0,15179776,312061952,15413116928,22081536,658731008,0,0,
29-10 10:17:59,18.153,5.892,74.841,1.115,0,0,11399168,313749504,15411810304,22155264,658350080,0,0,
29-10 10:18:00,18.871,5.645,73.065,2.419,0,0,24412160,313962496,15405084672,22319104,664489984,0,0,
29-10 10:18:01,16.396,5.519,77.760,0.325,0,0,4313088,313307136,15399407616,22335488,670609408,0,0,
29-10 10:18:02,18.901,5.170,74.152,1.777,0,0,26066944,313270272,15382011904,22458368,687538176,0,0,
29-10 10:18:03,17.581,5.161,76.290,0.968,0,0,11292672,312397824,15386697728,22573056,683536384,0,0,
29-10 10:18:04,17.516,7.325,73.567,1.592,0,0,19521536,313167872,15379427328,22671360,689807360,0,0,
29-10 10:18:05,17.286,5.008,77.221,0.485,0,0,4341760,312713216,15373778944,22704128,695746560,0,0,
29-10 10:18:06,18.271,5.546,74.225,1.958,0,4096,43753472,314142720,15351263232,22970368,715952128,0,0,
29-10 10:18:07,17.781,6.036,73.899,2.284,0,0,48328704,313483264,15334424576,23306240,732540928,0,0,
29-10 10:18:08,17.846,4.823,77.170,0.161,0,0,4374528,312717312,15329005568,23339008,738562048,0,0,
29-10 10:18:09,16.506,6.731,76.122,0.641,0,0,8744960,313524224,15321763840,23404544,744775680,0,0,
29-10 10:18:10,17.945,4.568,77.162,0.326,0,0,4370432,312909824,15316336640,23437312,750657536,0,0,
29-10 10:18:11,17.561,4.878,76.585,0.976,0,4096,8757248,312643584,15310110720,23515136,756822016,0,0,
29-10 10:18:12,17.342,4.700,77.634,0.324,0,0,4407296,312455168,15304175616,23556096,762798080,0,0,
29-10 10:18:13,17.846,4.823,77.010,0.322,0,0,4374528,311963648,15298240512,23588864,769052672,0,0,
29-10 10:18:14,17.891,5.751,75.399,0.958,0,0,8749056,311545856,15292313600,23654400,775102464,0,0,
29-10 10:18:15,17.742,4.839,77.097,0.323,0,0,4374528,310849536,15286894592,23687168,781078528,0,0,
29-10 10:18:16,18.138,5.136,75.762,0.963,0,0,8740864,311078912,15280168960,23752704,787271680,0,0,
29-10 10:18:17,16.963,5.331,77.221,0.485,0,0,4370432,310599680,15274373120,23785472,793374720,0,0,
29-10 10:18:18,17.891,5.591,75.559,0.958,0,0,8941568,311508992,15267074048,23859200,799514624,0,0,
29-10 10:18:19,18.889,4.762,75.873,0.476,0,0,4374528,311382016,15261024256,23891968,805478400,0,0,
29-10 10:18:20,17.208,5.032,77.110,0.649,0,0,8658944,310550528,15251202048,23932928,815857664,0,0,
29-10 10:18:21,18.471,4.936,75.637,0.955,0,0,4464640,311066624,15248621568,23990272,817766400,0,0,
29-10 10:18:22,17.657,5.778,75.602,0.963,0,0,10878976,310747136,15242653696,24055808,823808000,0,0,
29-10 10:18:23,18.639,5.024,74.878,1.459,0,4096,21585920,311549952,15234879488,24158208,830468096,0,0,
29-10 10:18:24,18.387,4.355,76.290,0.968,0,0,10731520,310890496,15229169664,24207360,836689920,0,0,
29-10 10:18:25,19.324,5.314,73.752,1.610,0,0,23560192,311771136,15221669888,24322048,842895360,0,0,
29-10 10:18:26,18.182,5.582,75.279,0.957,0,0,10629120,310960128,15215976448,24371200,849166336,0,0,
29-10 10:18:27,17.342,6.483,74.554,1.621,0,0,23302144,311332864,15208902656,24477696,855379968,0,0,
29-10 10:18:28,18.680,4.670,75.845,0.805,0,4096,12713984,311496704,15202750464,24539136,861343744,0,0,
29-10 10:18:29,17.799,5.825,74.919,1.456,0,0,20959232,311042048,15196364800,24637440,867794944,0,0,
29-10 10:18:30,17.799,5.016,76.375,0.809,0,0,10444800,311300096,15190056960,24694784,873824256,0,0,
29-10 10:18:31,18.820,6.380,73.206,1.595,0,0,23420928,311259136,15175831552,24793088,887533568,0,0,
