"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","fbecee947e97",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-seq-write-1th-4k-dynamic-4k-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 09:28:51 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 09:28:51,0.979,0.267,98.631,0.123,0,45991.390,922089.661,280010752,15470141440,298078208,353398784,0.069,0.732,
29-10 09:28:52,4.013,1.839,87.458,6.689,0,839680,44216320,305262592,15397945344,298094592,398823424,0,0,
29-10 09:28:53,16.556,1.159,72.185,10.099,0,2211840,184320,306163712,15939657728,1888256,172888064,0,0,
29-10 09:28:54,4.290,1.650,93.564,0.495,0,16384,0,306814976,15938523136,1900544,173408256,0,0,
29-10 09:28:55,16.774,5,76.290,1.935,0,921600,4292608,310677504,15928717312,2834432,178237440,0,0,
29-10 09:28:56,15.721,5.673,76.823,1.783,0,417792,4304896,310280192,15923998720,3264512,182816768,0,0,
29-10 09:28:57,16.264,5.958,75.362,2.415,0,0,12955648,307400704,15922282496,3321856,187219968,0,0,
29-10 09:28:58,15.595,5.466,77.653,1.286,0,4096,4329472,306827264,15917637632,3350528,192299008,0,0,
29-10 09:28:59,17.363,5.305,73.794,3.537,0,0,19451904,306593792,15912652800,3432448,197238784,0,0,
29-10 09:29:00,16.160,5.280,77.760,0.800,0,0,4300800,306532352,15907749888,3448832,202080256,0,0,
29-10 09:29:01,16.480,5.280,76.640,1.600,0,0,8605696,305868800,15898976256,3481600,211255296,0,0,
29-10 09:29:02,16.129,6.774,72.742,4.355,0,970752,21528576,307388416,15895572480,4542464,211980288,0,0,
29-10 09:29:03,15.470,6.220,77.671,0.638,0,0,4296704,307302400,15890669568,4558848,216817664,0,0,
29-10 09:29:04,16.372,6.100,75.281,2.247,0,0,17317888,307982336,15883083776,4640768,223473664,0,0,
29-10 09:29:05,16.264,5.958,75.684,2.093,0,0,16093184,307589120,15880040448,4722688,226717696,0,0,
29-10 09:29:06,16.317,5.977,75.283,2.423,0,0,18444288,307224576,15875104768,4804608,231772160,0,0,
29-10 09:29:07,15.235,5.511,77.958,1.297,0,4096,8630272,308035584,15868882944,4841472,237039616,0,0,
29-10 09:29:08,16.825,5.873,76.032,1.270,0,0,9748480,307601408,15864782848,4890624,241434624,0,0,
29-10 09:29:09,16.640,6.560,74.560,2.240,0,0,20553728,307466240,15859347456,4980736,246669312,0,0,
29-10 09:29:10,15.347,5.331,78.837,0.485,0,0,4317184,307040256,15854960640,4997120,251396096,0,0,
29-10 09:29:11,15.235,5.186,79.417,0.162,0,0,4308992,307314688,15849783296,5013504,256122880,0,0,
29-10 09:29:12,16.033,6.612,75.207,2.149,0,0,60149760,309936128,15817203712,5300224,285224960,0,0,
29-10 09:29:13,16.860,6.612,73.058,3.471,0,4096,79527936,312123392,15784796160,5771264,313982976,0,0,
29-10 09:29:14,16.054,7.023,73.077,3.846,0,4096,86339584,314527744,15746682880,6336512,347807744,0,0,
29-10 09:29:15,16.915,6.468,73.466,3.151,0,0,77881344,314769408,15702929408,6787072,390062080,0,0,
29-10 09:29:16,16.140,6.988,73.211,3.661,0,4096,81887232,313139200,15670996992,7307264,422391808,0,0,
29-10 09:29:17,15.798,6.218,74.454,3.529,0,4096,81223680,311537664,15643738112,7811072,449458176,0,0,
29-10 09:29:18,16.415,6.365,73.367,3.853,0,0,83042304,312737792,15606562816,8327168,484036608,0,0,
29-10 09:29:19,16.221,7.023,73.077,3.679,0,4096,89124864,312049664,15557099520,8822784,532217856,0,0,
29-10 09:29:20,16.723,5.068,74.831,3.378,0,4096,73764864,314793984,15532449792,9293824,553005056,0,0,
29-10 09:29:21,16.750,6.799,72.803,3.648,0,0,81907712,313856000,15498031104,9785344,587026432,0,0,
29-10 09:29:22,16.107,6.544,72.987,4.362,0,8192,92819456,313221120,15463194624,10391552,620904448,0,0,
29-10 09:29:23,15.500,6.333,76.500,1.667,0,4096,35209216,314314752,15426904064,10657792,654897152,0,0,
29-10 09:29:24,14.671,6.071,77.234,2.024,0,0,35016704,315969536,15389179904,10928128,689790976,0,0,
29-10 09:29:25,16.611,5.369,75.503,2.517,0,4096,52334592,311853056,15354519552,11268096,727236608,0,0,
29-10 09:29:26,16.750,6.365,73.702,3.183,0,4096,94724096,313380864,15315165184,11706368,763576320,0,0,
29-10 09:29:27,17.114,5.705,73.322,3.859,0,4096,106549248,313118720,15280648192,12193792,796790784,0,0,
29-10 09:29:28,17.025,6.281,74.380,2.314,0,4096,69304320,315318272,15237971968,12509184,836096000,0,0,
29-10 09:29:29,16.833,6.500,73.333,3.333,0,4096,87891968,315117568,15210762240,12931072,861913088,0,0,
29-10 09:29:30,16.972,6.489,73.378,3.161,0,0,91054080,314929152,15175110656,13357056,896356352,0,0,
29-10 09:29:31,16.047,6.081,74.493,3.378,0,4096,92106752,315596800,15139086336,13795328,930226176,0,0,
29-10 09:29:32,16.861,6.177,73.790,3.172,0,4096,88846336,315756544,15103782912,14225408,964132864,0,0,
29-10 09:29:33,17.224,5.351,74.080,3.344,0,8192,88449024,316694528,15067340800,14659584,998133760,0,0,
29-10 09:29:34,17.492,6.601,72.607,3.300,0,4096,89665536,314638336,15034146816,15101952,1031913472,0,0,
29-10 09:29:35,17.413,6.468,71.476,4.643,0,319488,89686016,316817408,14995824640,15855616,1066336256,0,0,
29-10 09:29:36,16.134,6.218,74.286,3.361,0,4096,88903680,317390848,14960418816,16293888,1099689984,0,0,
29-10 09:29:37,17.167,6,73.667,3.167,0,4096,84905984,320770048,14921125888,16707584,1134321664,0,0,
29-10 09:29:38,17.028,6.511,73.122,3.339,0,4096,87896064,317726720,14887276544,17141760,1169674240,0,0,
29-10 09:29:39,16.583,6.533,73.702,3.183,0,0,89554944,316432384,14848446464,17580032,1208401920,0,0,
29-10 09:29:40,16.415,6.365,73.702,3.518,0,0,95490048,316059648,14815076352,18042880,1240678400,0,0,
29-10 09:29:41,16.722,6.355,73.411,3.512,0,4096,90034176,315260928,14778351616,18481152,1276850176,0,0,
29-10 09:29:42,16.777,6.478,73.588,3.156,0,0,89124864,317194240,14741835776,18903040,1309835264,0,0,
29-10 09:29:43,15.630,7.059,73.782,3.529,0,0,93822976,315916288,14704287744,19398656,1347182592,0,0,
29-10 09:29:44,16.639,6.323,73.045,3.993,0,0,86921216,316764160,14672449536,19935232,1376518144,0,0,
29-10 09:29:45,16.086,6.965,72.968,3.980,0,4096,83636224,317161472,14639747072,20475904,1407311872,0,0,
29-10 09:29:46,16.582,5.415,73.773,4.230,0,4096,88985600,317026304,14604062720,21041152,1441775616,0,0,
29-10 09:29:47,17.774,5.980,71.927,4.319,0,4096,96546816,317349888,14567452672,21639168,1476354048,0,0,
29-10 09:29:48,16.777,6.645,72.591,3.987,0,4096,91803648,316801024,14528516096,22220800,1514266624,0,0,
29-10 09:29:49,18.227,5.017,72.408,4.348,0,0,88674304,319225856,14493454336,22781952,1545265152,0,0,
29-10 09:29:50,15.410,7.370,73.199,4.020,0,4096,89817088,316514304,14459805696,23363584,1580027904,0,0,
29-10 09:29:51,16.279,6.977,72.757,3.987,0,4096,89862144,315650048,14423470080,23937024,1615671296,0,0,
29-10 09:29:52,17.282,5.537,73.154,4.027,0,4096,90202112,317616128,14385647616,24518656,1649963008,0,0,
29-10 09:29:53,15.745,7.203,72.864,4.188,0,4096,91668480,317689856,14347100160,25108480,1686855680,0,0,
29-10 09:29:54,17.276,5.980,72.757,3.987,0,4096,89088000,317878272,14313631744,25681920,1718620160,0,0,
29-10 09:29:55,16.837,5.272,73.639,4.252,0,8192,91824128,318296064,14281228288,26292224,1748885504,0,0,
29-10 09:29:56,17.190,6.777,71.736,4.298,0,4096,90324992,319336448,14243987456,26873856,1783537664,0,0,
29-10 09:29:57,16.443,6.544,73.154,3.859,0,4096,90120192,319971328,14207528960,27447296,1817755648,0,0,
29-10 09:29:58,17.579,6.136,64.013,12.272,0,4096,80736256,320745472,14164652032,27897856,1858322432,0,0,
29-10 09:29:59,17.355,6.281,63.636,12.727,0,0,91856896,321024000,14135861248,28475392,1885245440,0,0,
29-10 09:30:00,16.722,6.954,63.907,12.417,0,0,90308608,318795776,14099120128,29020160,1922793472,0,0,
29-10 09:30:01,15.085,6.610,65.593,12.712,0,0,85213184,318910464,14063685632,29552640,1956556800,0,0,
29-10 09:30:02,16.944,6.645,64.452,11.960,0,0,92598272,318029824,14031056896,30101504,1988521984,0,0,
29-10 09:30:03,18.242,5.638,63.682,12.438,0,0,87166976,319668224,13993574400,30638080,2022952960,0,0,
29-10 09:30:04,16.528,6.177,64.608,12.688,0,0,91029504,319787008,13956608000,31191040,2058035200,0,0,
29-10 09:30:05,16.611,6.977,63.953,12.458,0,0,88866816,319778816,13921284096,31756288,2091892736,0,0,
