"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","6aff4448c91f",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_off-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 12:52:30 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 12:52:30,1.034,0.279,98.558,0.129,0,47739.857,959402.395,278704128,15884673024,19353600,235495424,0.071,0.758,
29-10 12:52:31,9.211,2.961,87.007,0.822,0,77824,229376,305631232,15803252736,19369984,288387072,0,0,
29-10 12:52:32,17.647,1.797,80.556,0,0,0,0,304898048,15802929152,19369984,289230848,0,0,
29-10 12:52:33,18.167,1.929,79.904,0,0,0,2052096,304615424,15801409536,19369984,290734080,0,0,
29-10 12:52:34,17.532,2.597,79.870,0,0,0,0,304467968,15800762368,19369984,291356672,0,0,
29-10 12:52:35,16.720,4.019,79.260,0,0,0,40960,304353280,15800471552,19378176,291692544,0,0,
29-10 12:52:36,17.760,3.040,79.040,0.160,0,0,4096,304746496,15799615488,19378176,292052992,0,0,
29-10 12:52:37,16.532,3.241,79.903,0.324,0,0,86016,304594944,15799291904,19386368,292429824,0,0,
29-10 12:52:38,17.391,3.221,78.905,0.483,0,0,4182016,305635328,15797678080,19402752,292794368,0,0,
29-10 12:52:39,17.817,2.729,79.454,0,0,0,0,305524736,15797354496,19402752,293146624,0,0,
29-10 12:52:40,16.640,3.393,79.968,0,0,0,0,305876992,15796498432,19402752,293535744,0,0,
29-10 12:52:41,17.335,3.050,79.294,0.321,0,0,565248,305491968,15796449280,19402752,293912576,0,0,
29-10 12:52:42,17.152,3.398,78.641,0.809,0,0,8835072,307142656,15794311168,19402752,294293504,0,0,
29-10 12:52:43,16.532,2.917,80.389,0.162,0,0,45056,307220480,15793762304,19410944,294694912,0,0,
29-10 12:52:44,17.308,3.045,79.647,0,0,0,0,306798592,15793680384,19410944,295092224,0,0,
29-10 12:52:45,17.675,3.344,78.981,0,0,0,0,306892800,15793082368,19410944,295489536,0,0,
29-10 12:52:46,17.014,3.371,79.615,0,0,0,0,306970624,15792541696,19410944,295886848,0,0,
29-10 12:52:47,17.363,3.376,73.151,6.109,0,0,42901504,307060736,15791960064,19419136,296280064,0,0,
29-10 12:52:48,18.006,2.572,78.617,0.804,0,0,4173824,307376128,15791104000,19443712,296669184,0,0,
29-10 12:52:49,17.468,3.526,78.365,0.641,0,0,6643712,306569216,15793070080,19484672,295305216,0,0,
29-10 12:52:50,17.065,3.828,79.107,0,0,0,0,306950144,15792230400,19484672,295690240,0,0,
