"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","4a8f8d8013cb",,,,"User:","root"
"Cmdline:","dstat -tcdmg --noheaders --output //shared_dir/metrics/run-stat-1th-cache_on-1000-lsfs.dstat.csv",,,,"Date:","29 Oct 2022 12:24:43 UTC"
"system","total cpu usage",,,,,"dsk/total",,"memory usage",,,,"paging",
"time","usr","sys","idl","wai","stl","read","writ","used","free","buff","cach","in","out"
29-10 12:24:43,1.026,0.277,98.569,0.128,0,47663.565,954416.301,278614016,15884615680,19963904,235524096,0.071,0.758,
29-10 12:24:44,8.472,1.993,87.375,2.159,0,122880,184320,305176576,15803629568,19976192,288292864,0,0,
29-10 12:24:45,17.069,3.543,79.388,0,0,0,0,305270784,15802253312,19976192,289325056,0,0,
29-10 12:24:46,20.388,5.825,73.786,0,0,0,0,305041408,15801040896,19976192,290529280,0,0,
29-10 12:24:47,19.871,6.462,73.667,0,0,0,0,306085888,15798779904,19976192,291487744,0,0,
29-10 12:24:48,17.524,5.305,76.688,0.482,0,0,4194304,307802112,15795470336,19992576,292683776,0,0,
29-10 12:24:49,22.293,6.688,67.357,3.662,0,0,798720,307798016,15793999872,20000768,293904384,0,0,
29-10 12:24:50,21.739,6.924,71.337,0,0,0,0,307593216,15792771072,20000768,295075840,0,0,
29-10 12:24:51,16.879,6.847,76.274,0,0,0,0,307920896,15791300608,20000768,296001536,0,0,
29-10 12:24:52,20.546,6.100,72.231,1.124,0,0,10809344,308998144,15790313472,20058112,295546880,0,0,
29-10 12:24:53,21.452,7.097,71.452,0,0,0,0,308441088,15789584384,20058112,296579072,0,0,
29-10 12:24:54,20.645,6.935,70.968,1.452,0,0,360448,308862976,15787855872,20066304,297656320,0,0,
29-10 12:24:55,16.879,5.414,71.975,5.732,0,0,55447552,308076544,15783030784,20074496,303001600,0,0,
29-10 12:24:56,22.294,6.139,70.598,0.969,0,0,10436608,308826112,15785107456,20131840,299802624,0,0,
29-10 12:24:57,20.994,7.372,71.635,0,0,0,0,308977664,15783653376,20131840,300900352,0,0,
29-10 12:24:58,19.169,6.070,74.760,0,0,0,0,309088256,15782166528,20131840,301998080,0,0,
29-10 12:24:59,19.231,6.571,73.397,0.801,0,0,18350080,308715520,15781076992,20221952,302977024,0,0,
29-10 12:25:00,21.951,5.528,72.520,0,0,0,0,308867072,15779676160,20221952,304058368,0,0,
29-10 12:25:01,22.508,5.627,71.865,0,0,0,0,309538816,15777673216,20221952,305156096,0,0,
29-10 12:25:02,16.160,5.920,77.600,0.320,0,0,4153344,309821440,15775977472,20238336,306241536,0,0,
29-10 12:25:03,20.583,6.483,72.447,0.486,0,0,17805312,309985280,15774425088,20320256,307224576,0,0,
29-10 12:25:04,21.044,7.015,71.778,0.163,0,0,12288,310087680,15772680192,20328448,308580352,0,0,
29-10 12:25:05,20.640,5.600,73.760,0,0,0,0,310562816,15771242496,20328448,309358592,0,0,
29-10 12:25:06,18.226,5.645,75.323,0.806,0,0,25526272,310120448,15769899008,20434944,310579200,0,0,
29-10 12:25:07,21.990,6.581,71.429,0,0,0,0,309977088,15768686592,20434944,311713792,0,0,
29-10 12:25:08,20.550,7.443,72.006,0,0,0,0,310292480,15766941696,20434944,312922112,0,0,
29-10 12:25:09,18.124,6.518,74.563,0.795,0,0,29179904,310898688,15765651456,20566016,313380864,0,0,
29-10 12:25:10,17.363,4.984,77.492,0.161,0,0,12288,310718464,15763677184,20574208,314990592,0,0,
29-10 12:25:11,21.987,5.700,72.313,0,0,0,0,310427648,15762448384,20574208,316272640,0,0,
29-10 12:25:12,18.123,6.634,73.786,1.456,0,0,38764544,310493184,15759413248,20770816,318545920,0,0,
29-10 12:25:13,21.338,6.210,72.452,0,0,0,0,310681600,15757680640,20770816,319639552,0,0,
29-10 12:25:14,17.447,4.847,77.544,0.162,0,0,4161536,311676928,15755161600,20787200,320872448,0,0,
29-10 12:25:15,22.130,6.988,68.885,1.997,0,4096,48082944,311701504,15750291456,21061632,324726784,0,0,
29-10 12:25:16,22.204,6.908,69.737,1.151,0,0,37658624,312438784,15747022848,21241856,326320128,0,0,
29-10 12:25:17,17.524,5.466,76.367,0.643,0,0,4157440,312926208,15745019904,21258240,327540736,0,0,
29-10 12:25:18,22.853,7.131,67.261,2.755,0,0,42840064,312516608,15744331776,21471232,328179712,0,0,
29-10 12:25:19,22.544,6.280,71.176,0,0,0,0,313417728,15741845504,21471232,329527296,0,0,
29-10 12:25:20,20.509,5.564,73.768,0.159,0,0,28672,312217600,15737520128,21471232,334745600,0,0,
